model,station,comparison,metric,median_delta,ci_low,ci_high,p_two_sided,p_fdr
CESM2,500005,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.0005449619753816193,-0.026105427467885054,0.026020989250363235,0.9805097451274363,0.9945027486256871
CESM2,500006,QDM_P_monthly minus QDM_NP_monthly,mRMSE,4.112746373380915,-0.2584770802978951,9.02466667118957,0.07096451774112944,0.16607081074847188
CESM2,500006,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.028641810184813654,-0.07555073034233092,0.009852271181264628,0.14292853573213393,0.3341186549582352
CESM2,500007,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-13.520094299869136,-21.398808807753497,-6.327704206046295,0.0009995002498750624,0.006663334999167083
CESM2,500007,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.10472668865719903,0.0003616190450857213,0.2632535107163041,0.050974512743628186,0.22702934247162135
CESM2,500008,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-1.5143641610858438,-4.826925794790728,1.472986910519491,0.34182908545727136,0.5258909007034944
CESM2,500008,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.00041721317014797865,-0.030245244853335025,0.03510429829134957,0.9765117441279361,0.9945027486256871
CESM2,500009,QDM_P_monthly minus QDM_NP_monthly,mRMSE,4.989116617041169,2.173326869351063,7.560575137860112,0.0009995002498750624,0.006663334999167083
CESM2,500009,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.09118875177018332,-0.1230290339888819,-0.054156117734885864,0.0009995002498750624,0.014992503748125937
CESM2,500201,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-10.928470997204585,-21.659287043803417,-0.26908985522606077,0.041979010494752625,0.1199400299850075
CESM2,500201,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.06718734320337844,-0.011334252607702051,0.17771072936269694,0.10694652673663169,0.31620553359683795
CESM2,500202,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-18.215218902025107,-30.83117981392046,-6.236173937811309,0.001999000499750125,0.009995002498750625
CESM2,500202,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.10269360724818977,-0.00911715683992915,0.31494587285703474,0.11394302848575712,0.31620553359683795
CESM2,500301,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-19.108011575292586,-30.51681436679422,-10.905317334379674,0.0009995002498750624,0.006663334999167083
CESM2,500301,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.1056442569419111,-0.017924382141896504,0.33735335153249196,0.1469265367316342,0.3341186549582352
EC-Earth3,500001,QDM_P_monthly minus QDM_NP_monthly,mRMSE,1.3421866399945657,-0.7234421345658496,3.9226098676084185,0.21989005497251374,0.35657846752299527
EC-Earth3,500001,QDM_P_monthly minus QDM_NP_monthly,mKGE,-0.01858235682602366,-0.039311350526625766,-0.002293425989719053,0.02798600699650175,0.1679160419790105
EC-Earth3,500002,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-0.6229039606774052,-4.55840019237502,2.9947732828794895,0.7336331834082959,0.8151479815647732
EC-Earth3,500002,QDM_P_monthly minus QDM_NP_monthly,mKGE,0.000534530533450317,-0.021662667314524615,0.02728505848626448,0.9705147426286856,0.9945027486256871
EC-Earth3,500003,QDM_P_monthly minus QDM_NP_monthly,mRMSE,-6.092207343548154,-12.16053473633522,1.1601991751972505,0.09195402298850575,0.19704433497536947
