model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500002,QDM_P_annual,mRMSE,141.84681336270745,264.18045993199604,122.33364656928859,27.2255902761509,209.16445550931053,0.0009995002498750624,2000,0.0015376926921154808,False,False,True,True
ACCESS-ESM1-5,500002,QDM_P_annual,mKGE,0.2642870923726286,-0.7934366511245301,-1.0577237434971587,-2.0440675462272746,-0.1962409403305474,0.0009995002498750624,2000,0.0028557149996430355,False,False,True,True
ACCESS-ESM1-5,500002,QDM_P_monthly,mRMSE,141.84681336270745,139.46761665547857,-2.3791967072288855,-12.758685784650915,8.691749076286944,0.6926536731634183,2000,0.8049821243224541,True,False,False,False
ACCESS-ESM1-5,500002,QDM_P_monthly,mKGE,0.2642870923726286,0.2864281716306367,0.022141079258008123,-0.06791867139344972,0.10302449506590088,0.6616691654172914,2000,0.7573990782386585,True,False,False,False
ACCESS-ESM1-5,500003,QDM_NP_annual,mRMSE,117.76242087873466,186.13372654516238,68.37130566642772,41.855998896348716,91.93622661762649,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
ACCESS-ESM1-5,500003,QDM_NP_annual,mKGE,0.2252309919280634,-0.33360950331467176,-0.5588404952427352,-1.0018162291250428,-0.11261052392873978,0.009995002498750625,2000,0.024987506246876564,False,False,True,True
ACCESS-ESM1-5,500003,QDM_NP_monthly,mRMSE,117.76242087873466,147.7547689465837,29.99234806784905,15.023800231563424,43.968828663091855,0.0009995002498750624,2000,0.00399800099950025,False,False,True,True
ACCESS-ESM1-5,500003,QDM_NP_monthly,mKGE,0.2252309919280634,0.015838586780992703,-0.2093924051470707,-0.4648472367948042,0.04839192342425166,0.12193903048475763,2000,0.2612979224673378,False,False,False,False
ACCESS-ESM1-5,500003,QDM_P_annual,mRMSE,117.76242087873466,293.2437447687504,175.48132389001574,110.10662723172442,232.75395170625316,0.0009995002498750624,2000,0.0015376926921154808,False,False,True,True
ACCESS-ESM1-5,500003,QDM_P_annual,mKGE,0.2252309919280634,-1.5173279163398425,-1.742558908267906,-2.6456443972846944,-0.8128616456941743,0.0009995002498750624,2000,0.0028557149996430355,False,False,True,True
