variant,model,station,metric,delta,ci_low,ci_high,p_value,improvement_direction,q_value,fdr_reject
sens_monthly,ACCESS-ESM1-5,500202,mRMSE,34.536339318817106,8.562899312049657,61.59236473147903,0.007,lower,0.0252,True
sens_monthly,ACCESS-ESM1-5,500202,mPBIAS_abs,17.212352798165185,-1.90448874494506,30.663792160280064,0.062,lower,0.14494,False
sens_monthly,ACCESS-ESM1-5,500202,mNSE,-1.235452594966202,-2.869232248869691,-0.2021030498837164,0.007,higher,0.0252,True
sens_monthly,ACCESS-ESM1-5,500301,mRMSE,27.849414555624644,3.182480645203227,49.28934377783001,0.027,lower,0.07477,False
sens_monthly,ACCESS-ESM1-5,500301,mPBIAS_abs,22.670273555359344,-13.469876604785396,38.875493200592665,0.156,lower,0.29558,False
sens_monthly,ACCESS-ESM1-5,500301,mNSE,-0.8344091580503428,-1.9742124012967497,-0.05790937762124702,0.027,higher,0.07477,False
sens_monthly,CESM2,500001,mRMSE,4.835267075836305,-12.585610341682006,21.18456273477512,0.533,lower,0.6817,False
sens_monthly,CESM2,500001,mPBIAS_abs,-3.321681252155321,-14.499510562385675,12.330261358453633,0.589,lower,0.68748,False
sens_monthly,CESM2,500001,mNSE,-0.15385192928554609,-0.6945869909580846,0.32312627679726674,0.533,higher,0.6817,False
sens_monthly,CESM2,500002,mRMSE,15.245159955266459,-33.99157801118865,76.52275485866609,0.666,lower,0.73546,False
sens_monthly,CESM2,500002,mPBIAS_abs,-18.00139902641117,-34.0352307303515,8.854438276338293,0.137,lower,0.26516,False
sens_monthly,CESM2,500002,mNSE,-0.5747960451185046,-2.9853036822396533,0.7596996270383699,0.666,higher,0.73546,False
sens_monthly,CESM2,500003,mRMSE,5.7096308992182765,-16.25479387381661,24.070521443071247,0.534,lower,0.6817,False
sens_monthly,CESM2,500003,mPBIAS_abs,-11.401901267576756,-21.443905958504356,-0.11308689934066224,0.045,lower,0.11739,False
sens_monthly,CESM2,500003,mNSE,-0.21116727893300766,-0.95124229014042,0.49644140191476216,0.534,higher,0.6817,False
sens_monthly,CESM2,500004,mRMSE,10.644166366311689,-13.006384671750611,31.222219705734652,0.344,lower,0.54,False
sens_monthly,CESM2,500004,mPBIAS_abs,-9.643117985389008,-21.512219901691697,13.468257256878251,0.211,lower,0.37235,False
