model,station,group,period,usable,note,wet_threshold_model_mm,obs_wet_freq_cal,mod_wet_freq_cal_raw,mod_wet_freq_cal_adapted,n_obs_wet_cal,n_mod_wet_cal,n_wet_target,n_delta_clipped_high,n_delta_clipped_low,n_output_capped,output_cap_mm,max_output_mm,obs_cal_max_mm,output_exceeds_obs_cal_max
MIROC6,500008,all,calibration,True,,0.804,0.6235,0.5711,0.6241,4555,4559,4559,0,0,0,,68.0,68.0,False
MIROC6,500008,all,validation,True,,0.804,0.6235,0.5711,0.6241,4555,4559,3235,0,0,0,,40.84,68.0,False
MIROC6,500009,all,calibration,True,,0.9122,0.5932,0.5711,0.5932,4333,4333,4333,0,0,0,,48.8,48.8,False
MIROC6,500009,all,validation,True,,0.9122,0.5932,0.5711,0.5932,4333,4333,3091,0,0,0,,47.65,48.8,False
MIROC6,500201,all,calibration,True,,3.9262,0.2353,0.5711,0.2353,1719,1719,1719,0,0,0,,296.9,296.9,False
MIROC6,500201,all,validation,True,,3.9262,0.2353,0.5711,0.2353,1719,1719,1238,0,0,0,,226.9,296.9,False
MIROC6,500202,all,calibration,True,,4.5602,0.2134,0.5711,0.2134,1559,1559,1559,0,0,0,,298.5,298.5,False
MIROC6,500202,all,validation,True,,4.5602,0.2134,0.5711,0.2134,1559,1559,1096,0,0,0,,183.03,298.5,False
MIROC6,500301,all,calibration,True,,3.58,0.2508,0.5711,0.2509,1832,1833,1833,0,0,0,,188.0,188.0,False
MIROC6,500301,all,validation,True,,3.58,0.2508,0.5711,0.2509,1832,1833,1307,0,0,0,,139.16,188.0,False
