Date,YEAR,MONTH,DAY,Precipitation_mm,QC_Flag,Source_Row
1961-08-27,1961,8,27,4.7,OK,240
1961-08-28,1961,8,28,1.8,OK,241
1961-08-29,1961,8,29,10.4,OK,242
1961-08-30,1961,8,30,7.6,OK,243
1961-08-31,1961,8,31,8.6,OK,244
1961-09-01,1961,9,1,15.3,OK,245
1961-09-02,1961,9,2,1.0,OK,246
1961-09-03,1961,9,3,20.8,OK,247
1961-09-04,1961,9,4,13.1,OK,248
1961-09-05,1961,9,5,2.3,OK,249
1961-09-06,1961,9,6,10.7,OK,250
1961-09-07,1961,9,7,7.8,OK,251
1961-09-08,1961,9,8,73.5,OK,252
1961-09-09,1961,9,9,14.2,OK,253
1961-09-10,1961,9,10,94.4,OK,254
1961-09-11,1961,9,11,0.0,OK,255
1961-09-12,1961,9,12,0.0,OK,256
1961-09-13,1961,9,13,0.0,OK,257
1961-09-14,1961,9,14,0.0,OK,258
1961-09-15,1961,9,15,27.6,OK,259
1961-09-16,1961,9,16,46.9,OK,260
1961-09-17,1961,9,17,41.4,OK,261
1961-09-18,1961,9,18,81.5,OK,262
1961-09-19,1961,9,19,0.0,OK,263
1961-09-20,1961,9,20,0.2,OK,264
1961-09-21,1961,9,21,2.4,OK,265
1961-09-22,1961,9,22,1.1,OK,266
1961-09-23,1961,9,23,1.2,OK,267
1961-09-24,1961,9,24,0.0,OK,268
1961-09-25,1961,9,25,0.0,OK,269
1961-09-26,1961,9,26,0.0,OK,270
1961-09-27,1961,9,27,1.1,OK,271
1961-09-28,1961,9,28,0.5,OK,272
1961-09-29,1961,9,29,14.3,OK,273
1961-09-30,1961,9,30,3.3,OK,274
1961-10-01,1961,10,1,0.3,OK,275
1961-10-02,1961,10,2,0.9,OK,276
1961-10-03,1961,10,3,39.6,OK,277
1961-10-04,1961,10,4,6.8,OK,278
1961-10-05,1961,10,5,0.0,OK,279
1961-10-06,1961,10,6,0.0,OK,280
1961-10-07,1961,10,7,0.0,OK,281
1961-10-08,1961,10,8,0.0,OK,282
1961-10-09,1961,10,9,2.7,OK,283
1961-10-10,1961,10,10,0.0,OK,284
1961-10-11,1961,10,11,0.0,OK,285
1961-10-12,1961,10,12,0.0,OK,286
1961-10-13,1961,10,13,0.0,OK,287
1961-10-14,1961,10,14,4.3,OK,288
1961-10-15,1961,10,15,0.0,OK,289
1961-10-16,1961,10,16,26.8,OK,290
1961-10-17,1961,10,17,0.0,OK,291
1961-10-18,1961,10,18,0.0,OK,292
1961-10-19,1961,10,19,14.7,OK,293
1961-10-20,1961,10,20,0.1,OK,294
