method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,calibration,True,,False,monthly,07,1.0,2.2038870967741944,259,259,620,259,0,0,0,,82.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,validation,True,,False,monthly,07,1.0,2.2038870967741944,259,259,434,196,0,0,0,,76.99677448307708,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,calibration,True,,False,monthly,08,1.0,1.1901419354838707,332,332,620,332,0,0,0,,87.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,validation,True,,False,monthly,08,1.0,1.1901419354838707,332,332,434,237,0,0,0,,72.60042800128905,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,calibration,True,,False,monthly,09,1.0,2.14362,262,262,600,262,0,0,0,,96.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,validation,True,,False,monthly,09,1.0,2.14362,262,262,420,201,0,0,0,,91.17723732976874,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,calibration,True,,False,monthly,10,1.0,2.4376129032258063,160,160,620,160,0,0,0,,80.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,validation,True,,False,monthly,10,1.0,2.4376129032258063,160,160,434,197,0,0,0,,55.309184986997465,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,calibration,True,,False,monthly,11,1.0,3.2039900000000037,54,54,600,54,0,0,0,,35.1,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,validation,True,,False,monthly,11,1.0,3.2039900000000037,54,54,420,42,0,0,0,,34.39710927573062,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=7, model=7",True,annual,all,1.0,3.6551580645161286,7,7,620,47,4,0,0,,14.052765957446812,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,validation,False,"insufficient wet days obs=7, model=7",True,annual,all,1.0,3.6551580645161286,7,7,434,45,1,0,0,,17.254946244317775,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.990020967741932,9,9,620,3,0,0,0,,6.780057871513089,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.990020967741932,9,9,434,7,0,0,0,,22.446002477421473,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=14, model=14",True,annual,all,1.0,3.145007079646018,14,14,565,4,0,0,0,,10.65300390194502,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,validation,False,"insufficient wet days obs=14, model=14",True,annual,all,1.0,3.145007079646018,14,14,395,4,0,0,0,,8.712527924224828,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,calibration,True,,False,monthly,03,1.0,2.461429032258065,38,38,620,38,0,0,0,,46.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,validation,True,,False,monthly,03,1.0,2.461429032258065,38,38,434,38,0,0,0,,67.34342105263158,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,calibration,True,,False,monthly,04,1.0,1.6074116666666667,121,121,600,121,0,0,0,,141.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,validation,True,,False,monthly,04,1.0,1.6074116666666667,121,121,420,118,0,0,0,,36.72453233965725,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,05,calibration,True,,False,monthly,05,1.0,1.8128145161290312,199,199,620,199,0,0,0,,134.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,05,validation,True,,False,monthly,05,1.0,1.8128145161290312,199,199,434,128,0,0,0,,71.83939622909922,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,06,calibration,True,,False,monthly,06,1.0,10.48876,188,188,600,188,0,0,0,,115.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,06,validation,True,,False,monthly,06,1.0,10.48876,188,188,420,131,0,0,0,,296.4108910141786,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,07,calibration,True,,False,monthly,07,1.0,7.036637096774194,275,275,620,275,0,0,0,,118.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,07,validation,True,,False,monthly,07,1.0,7.036637096774194,275,275,434,214,0,0,0,,118.06030028514746,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,08,calibration,True,,False,monthly,08,1.0,3.9963064516129037,329,329,620,329,0,0,0,,147.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,08,validation,True,,False,monthly,08,1.0,3.9963064516129037,329,329,434,204,0,0,0,,170.77793439594853,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,09,calibration,True,,False,monthly,09,1.0,6.810254999999996,249,249,600,249,0,0,0,,97.1,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,09,validation,True,,False,monthly,09,1.0,6.810254999999996,249,249,420,156,0,0,0,,83.34187062224251,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,10,calibration,True,,False,monthly,10,1.0,7.2883032258064535,132,132,620,132,0,0,0,,80.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,10,validation,True,,False,monthly,10,1.0,7.2883032258064535,132,132,434,160,0,0,0,,79.66328473828608,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,11,calibration,True,,False,monthly,11,1.0,5.230583333333328,50,50,600,50,0,0,0,,72.8,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,11,validation,True,,False,monthly,11,1.0,5.230583333333328,50,50,420,40,0,0,0,,65.82988449407551,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=14, model=14",True,annual,all,1.0,2.704406451612903,14,14,620,0,0,0,0,,,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,12,validation,False,"insufficient wet days obs=14, model=14",True,annual,all,1.0,2.704406451612903,14,14,434,2,0,0,0,,6.412385117927139,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,3.1767145161290298,9,9,620,61,4,0,0,,17.252459016393313,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,3.1767145161290298,9,9,434,60,0,0,0,,21.483761662604056,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=19, model=19",True,annual,all,1.0,3.1448247787610626,19,19,565,88,5,0,0,,18.368522727272698,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,02,validation,False,"insufficient wet days obs=19, model=19",True,annual,all,1.0,3.1448247787610626,19,19,395,63,3,0,0,,17.604444444444436,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,03,calibration,True,,False,monthly,03,1.0,2.372132258064516,41,41,620,41,0,0,0,,67.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,03,validation,True,,False,monthly,03,1.0,2.372132258064516,41,41,434,43,0,0,0,,111.98778625954199,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,04,calibration,True,,False,monthly,04,1.0,1.3529866666666668,148,148,600,148,0,0,0,,76.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,04,validation,True,,False,monthly,04,1.0,1.3529866666666668,148,148,420,130,0,0,0,,55.11820696420949,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,05,calibration,True,,False,monthly,05,1.0,1.1557870967741934,244,244,620,244,0,0,0,,123.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,05,validation,True,,False,monthly,05,1.0,1.1557870967741934,244,244,434,157,0,0,0,,85.66813803373888,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,06,calibration,True,,False,monthly,06,1.0,3.3657666666666666,212,212,600,212,0,0,0,,62.8,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,06,validation,True,,False,monthly,06,1.0,3.3657666666666666,212,212,420,157,0,0,0,,160.97756114556324,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,07,calibration,True,,False,monthly,07,1.0,2.1217016129032253,265,265,620,265,0,0,0,,157.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,07,validation,True,,False,monthly,07,1.0,2.1217016129032253,265,265,434,201,0,0,0,,147.93510811541455,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,08,calibration,True,,False,monthly,08,1.0,1.2245483870967742,320,320,620,320,0,0,0,,181.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,08,validation,True,,False,monthly,08,1.0,1.2245483870967742,320,320,434,229,0,0,0,,146.56734223490216,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,09,calibration,True,,False,monthly,09,1.0,2.0933500000000005,270,270,600,270,0,0,0,,129.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,09,validation,True,,False,monthly,09,1.0,2.0933500000000005,270,270,420,203,0,0,0,,100.43560638050585,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,10,calibration,True,,False,monthly,10,1.0,2.148448387096777,182,182,620,182,0,0,0,,98.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,10,validation,True,,False,monthly,10,1.0,2.148448387096777,182,182,434,214,0,0,0,,53.631811026293995,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,11,calibration,True,,False,monthly,11,1.0,3.1346766666666666,58,58,600,58,0,0,0,,92.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,11,validation,True,,False,monthly,11,1.0,3.1346766666666666,58,58,420,45,0,0,0,,58.803987877476686,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=13, model=13",True,annual,all,1.0,3.0558032258064496,13,13,620,60,4,0,0,,16.887500000000028,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,12,validation,False,"insufficient wet days obs=13, model=13",True,annual,all,1.0,3.0558032258064496,13,13,434,52,1,0,0,,18.88049263522714,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.990020967741932,9,9,620,3,0,0,0,,6.039832459781259,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",True,annual,all,1.0,2.990020967741932,9,9,434,7,0,0,0,,19.510006476683934,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=22, model=22",True,annual,all,1.0,2.8349345132743364,22,22,565,4,0,0,0,,9.857864747858946,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,02,validation,False,"insufficient wet days obs=22, model=22",True,annual,all,1.0,2.8349345132743364,22,22,395,4,0,0,0,,8.06222570455188,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,03,calibration,True,,False,monthly,03,1.0,2.4683580645161287,37,37,620,37,0,0,0,,59.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,03,validation,True,,False,monthly,03,1.0,2.4683580645161287,37,37,434,36,0,0,0,,85.43678567076887,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,04,calibration,True,,False,monthly,04,1.0,1.5748466666666667,127,127,600,127,0,0,0,,93.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,04,validation,True,,False,monthly,04,1.0,1.5748466666666667,127,127,420,123,0,0,0,,25.257212673938263,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,05,calibration,True,,False,monthly,05,1.0,1.619838709677419,220,220,620,220,0,0,0,,89.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,05,validation,True,,False,monthly,05,1.0,1.619838709677419,220,220,434,145,0,0,0,,64.75218973229195,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,06,calibration,True,,False,monthly,06,1.0,10.799,180,180,600,180,0,0,0,,49.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,06,validation,True,,False,monthly,06,1.0,10.799,180,180,420,128,0,0,0,,149.52852737548753,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,07,calibration,True,,False,monthly,07,1.0,7.4395354838709675,262,262,620,262,0,0,0,,98.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,07,validation,True,,False,monthly,07,1.0,7.4395354838709675,262,262,434,207,0,0,0,,97.56189893494502,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,08,calibration,True,,False,monthly,08,1.0,5.59515,279,279,620,279,0,0,0,,105.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,08,validation,True,,False,monthly,08,1.0,5.59515,279,279,434,171,0,0,0,,117.90841613493455,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,09,calibration,True,,False,monthly,09,1.0,6.493693333333329,256,256,600,256,0,0,0,,107.2,,,,,,,,,,
