station,method,raw_mRMSE,corrected_mRMSE,delta_mRMSE,raw_mKGE,corrected_mKGE,delta_mKGE,raw_q99_relbias_pct,corrected_q99_relbias_pct,delta_q99_relbias_pct,raw_KS_D,corrected_KS_D,delta_KS_D,latitude,longitude,elev
500003,QDM_P_annual,111.71924628029663,180.40485666384865,68.68561038355202,0.22353118598742916,-0.3202990238425837,-0.5438302098300128,-58.222403473770385,13.126560725630162,71.34896419940054,0.31744326828032426,0.08906857258188994,-0.22837469569843433,12.02,99.9,1.7014099999999999e+38
500003,QDM_P_monthly,111.71924628029663,118.78069007897906,7.061443798682433,0.22353118598742916,0.2504378566126725,0.026906670625243323,-58.222403473770385,-15.87904784815321,42.34335562561718,0.31744326828032426,0.05802010822059119,-0.2594231600597331,12.02,99.9,1.7014099999999999e+38
500004,QDM_NP_annual,121.29512244645869,137.0208628329297,15.725740386471017,0.20521408842525535,0.09112932121128024,-0.1140847672139751,-43.35692770626595,17.887062660227166,61.243990366493115,0.15958867154272954,0.15939978451633566,-0.00018888702639388577,11.47,99.65,1.7014099999999999e+38
500004,QDM_NP_monthly,121.29512244645869,118.94691969822331,-2.34820274823538,0.20521408842525535,0.24284071111895345,0.0376266226936981,-43.35692770626595,24.197473144555765,67.55440085082171,0.15958867154272954,0.15561085422021595,-0.003977817322513594,11.47,99.65,1.7014099999999999e+38
500004,QDM_P_annual,121.29512244645869,157.23778631962236,35.94266387316367,0.20521408842525535,-0.10779285400445464,-0.31300694242971,-43.35692770626595,16.473400133992442,59.83032784025839,0.15958867154272954,0.28082601437215865,0.1212373428294291,11.47,99.65,1.7014099999999999e+38
500004,QDM_P_monthly,121.29512244645869,111.3021999791658,-9.992922467292885,0.20521408842525535,0.24915796660543946,0.04394387818018411,-43.35692770626595,1.9721565584599685,45.32908426472592,0.15958867154272954,0.09743897309961334,-0.0621496984431162,11.47,99.65,1.7014099999999999e+38
500005,QDM_NP_annual,130.4751492865764,112.1511077690947,-18.324041517481703,0.18587659274170534,0.2845016471284369,0.09862505438673155,-49.690614834312036,-61.35645955205439,-11.665844717742353,0.149877436800914,0.12149270845779873,-0.02838472834311527,11.6,99.68,4.998713833
500005,QDM_NP_monthly,130.4751492865764,104.18389306045756,-26.291256226118833,0.18587659274170534,0.346068362124183,0.16019176938247767,-49.690614834312036,-59.80956331282657,-10.118948478514532,0.149877436800914,0.11532195531847009,-0.03455548148244392,11.6,99.68,4.998713833
500005,QDM_P_annual,130.4751492865764,121.50351740108499,-8.971631885491405,0.18587659274170534,0.25003213705570576,0.06415554431400042,-49.690614834312036,-60.73539786820362,-11.044783033891584,0.149877436800914,0.11657545000567196,-0.033301986795242045,11.6,99.68,4.998713833
500005,QDM_P_monthly,130.4751492865764,104.36739641381419,-26.107752872762205,0.18587659274170534,0.3427459492480128,0.15686935650630748,-49.690614834312036,-65.70227432020536,-16.011659485893325,0.149877436800914,0.11120708917641549,-0.038670347624498516,11.6,99.68,4.998713833
500006,QDM_NP_annual,127.01581147379599,107.49233287905982,-19.523478594736176,0.1878095689315246,0.2847556334694724,0.09694606453794782,-48.224390514953654,-64.25338216601897,-16.02899165106531,0.1726381545456761,0.13126388994058433,-0.041374264605091776,11.62,99.67,23.0072715
500006,QDM_NP_monthly,127.01581147379599,99.12648254461237,-27.88932892918362,0.1878095689315246,0.36558977419994,0.1777802052684154,-48.224390514953654,-62.2226299422977,-13.998239427344046,0.1726381545456761,0.12623992557007288,-0.04639822897560322,11.62,99.67,23.0072715
500006,QDM_P_annual,127.01581147379599,105.4972951016459,-21.51851637215009,0.1878095689315246,0.21561169421447599,0.027802125282951395,-48.224390514953654,-72.05358264603012,-23.829192131076468,0.1726381545456761,0.2213934051661457,0.04875525062046959,11.62,99.67,23.0072715
500006,QDM_P_monthly,127.01581147379599,99.73004823491098,-27.28576323888501,0.1878095689315246,0.34530340121181685,0.15749383228029226,-48.224390514953654,-67.25301287195666,-19.028622357003,0.1726381545456761,0.13009724857330945,-0.04254090597236665,11.62,99.67,23.0072715
500007,QDM_NP_annual,108.63315799150726,105.4295778978513,-3.203580093655958,0.22052919519035336,0.23895956995650627,0.018430374766152918,-24.87389500020038,-34.410036564861024,-9.536141564660642,0.14105439999933223,0.06727342213824512,-0.0737809778610871,11.9,99.78,21.27561878
500007,QDM_NP_monthly,108.63315799150726,91.15686975742585,-17.47628823408141,0.22052919519035336,0.35609946761956945,0.1355702724292161,-24.87389500020038,-27.802608387805986,-2.9287133876056046,0.14105439999933223,0.06330922811473824,-0.07774517188459398,11.9,99.78,21.27561878
500007,QDM_P_annual,108.63315799150726,96.0550644303078,-12.578093561199466,0.22052919519035336,0.3290028281750034,0.10847363298465007,-24.87389500020038,-43.889780367126654,-19.015885366926273,0.14105439999933223,0.09375716535475502,-0.047297234644577205,11.9,99.78,21.27561878
500007,QDM_P_monthly,108.63315799150726,83.30785244326148,-25.32530554824578,0.22052919519035336,0.3860786366088669,0.16554944141851352,-24.87389500020038,-46.90828685660843,-22.034391856408046,0.14105439999933223,0.08282410764634467,-0.05823029235298756,11.9,99.78,21.27561878
500008,QDM_NP_annual,91.79943461710323,76.20861146955865,-15.590823147544583,0.32593213175288205,0.4811575907120068,0.15522545895912476,76.28634653465326,-2.420880521626381,-78.70722705627965,0.17926515862243336,0.0782234814534776,-0.10104167716895576,12.53,99.55,130.2602983
500008,QDM_NP_monthly,91.79943461710323,60.564873019892744,-31.234561597210487,0.32593213175288205,0.6278359942944195,0.30190386254153745,76.28634653465326,4.797131975287571,-71.48921455936569,0.17926515862243336,0.06687185464645498,-0.11239330397597838,12.53,99.55,130.2602983
500008,QDM_P_annual,91.79943461710323,73.81930699828503,-17.9801276188182,0.32593213175288205,0.5084347803322405,0.1825026485793585,76.28634653465326,-14.508403492822513,-90.79475002747577,0.17926515862243336,0.08345169228736594,-0.09581346633506742,12.53,99.55,130.2602983
500008,QDM_P_monthly,91.79943461710323,60.5998178969236,-31.199616720179634,0.32593213175288205,0.628909847748639,0.30297771599575696,76.28634653465326,6.7825997274143175,-69.50374680723894,0.17926515862243336,0.05271645569783778,-0.12654870292459558,12.53,99.55,130.2602983
500009,QDM_NP_annual,93.30914208201594,77.83560679285412,-15.473535289161816,0.28246603374912255,0.461283421024798,0.17881738727567548,64.04926267281107,-1.9220338056275814,-65.97129647843865,0.1951254671645795,0.09011912085517046,-0.10500634630940905,12.22,99.87,14.44780313
