season_type,climate_year,season_start,season_end,enso_phase,index_mean_c,index_min_c,index_max_c,n_overlapping_windows,n_el_nino_windows,n_la_nina_windows,n_neutral_windows,classification_rule,model,member_id,index_source,season_id
HOT_DRY,2003,2003-11-01,2004-04-30,NEUTRAL,-0.010821875000000009,-0.342677,0.40007,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2003_04_HOT_DRY
RAINY,2004,2004-05-01,2004-10-31,NEUTRAL,0.38091525000000004,0.333324,0.466317,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2004_RAIN
HOT_DRY,2004,2004-11-01,2005-04-30,EL_NINO,0.64744575,0.386464,0.889715,8,6,0,2,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2004_05_HOT_DRY
RAINY,2005,2005-05-01,2005-10-31,TRANSITION_UNCLASSIFIED,0.43049799999999994,0.167399,0.66303,8,4,0,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2005_RAIN
HOT_DRY,2005,2005-11-01,2006-04-30,NEUTRAL,0.1453715,-0.257871,0.345567,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2005_06_HOT_DRY
RAINY,2006,2006-05-01,2006-10-31,TRANSITION_UNCLASSIFIED,-0.631069375,-1.336885,-0.074432,8,0,4,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2006_RAIN
HOT_DRY,2006,2006-11-01,2007-04-30,LA_NINA,-1.2567745,-1.634253,-0.740358,8,0,8,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2006_07_HOT_DRY
RAINY,2007,2007-05-01,2007-10-31,TRANSITION_UNCLASSIFIED,-0.5101895,-0.895532,-0.161669,8,0,4,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2007_RAIN
HOT_DRY,2007,2007-11-01,2008-04-30,NEUTRAL,0.062320125000000004,-0.192319,0.382148,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2007_08_HOT_DRY
RAINY,2008,2008-05-01,2008-10-31,NEUTRAL,0.41513774999999997,0.248173,0.665439,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2008_RAIN
HOT_DRY,2008,2008-11-01,2009-04-30,NEUTRAL,0.251302125,-0.585136,0.807682,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2008_09_HOT_DRY
RAINY,2009,2009-05-01,2009-10-31,NEUTRAL,-0.5331843749999999,-0.612191,-0.361039,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2009_RAIN
HOT_DRY,2009,2009-11-01,2010-04-30,NEUTRAL,0.02429087499999999,-0.535622,0.380115,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2009_10_HOT_DRY
RAINY,2010,2010-05-01,2010-10-31,NEUTRAL,0.306540875,0.100083,0.430519,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2010_RAIN
HOT_DRY,2010,2010-11-01,2011-04-30,NEUTRAL,0.26904775000000003,-0.001728,0.5676,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2010_11_HOT_DRY
RAINY,2011,2011-05-01,2011-10-31,TRANSITION_UNCLASSIFIED,-0.285464625,-0.737668,0.192775,8,0,2,6,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2011_RAIN
HOT_DRY,2011,2011-11-01,2012-04-30,LA_NINA,-0.7397065,-1.154497,-0.150208,8,0,6,2,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2011_12_HOT_DRY
RAINY,2012,2012-05-01,2012-10-31,NEUTRAL,0.017501875,-0.41217,0.178797,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2012_RAIN
HOT_DRY,2012,2012-11-01,2013-04-30,NEUTRAL,0.283639625,0.124298,0.440015,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2012_13_HOT_DRY
RAINY,2013,2013-05-01,2013-10-31,TRANSITION_UNCLASSIFIED,0.481852,0.260826,0.773051,8,3,0,5,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2013_RAIN
HOT_DRY,2013,2013-11-01,2014-04-30,EL_NINO,0.7080080000000001,0.008282,1.082329,8,6,0,2,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2013_14_HOT_DRY
RAINY,2014,2014-05-01,2014-10-31,NEUTRAL,-0.22438487499999998,-0.50636,0.382347,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2014_RAIN
HOT_DRY,2014,2014-11-01,2015-04-30,NEUTRAL,-0.43353549999999996,-0.477406,-0.389665,3,0,0,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2014_15_HOT_DRY
RAINY,1981,1981-05-01,1981-10-31,LA_NINA,-1.183002375,-1.616512,-0.758526,8,0,8,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1981_RAIN
HOT_DRY,1981,1981-11-01,1982-04-30,LA_NINA,-1.646515625,-1.945619,-1.239,8,0,8,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1981_82_HOT_DRY
RAINY,1982,1982-05-01,1982-10-31,TRANSITION_UNCLASSIFIED,-0.6749382500000001,-1.555262,-0.213966,8,0,4,4,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1982_RAIN
HOT_DRY,1982,1982-11-01,1983-04-30,NEUTRAL,-0.216557375,-0.356915,0.001208,8,0,0,8,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1982_83_HOT_DRY
RAINY,1983,1983-05-01,1983-10-31,NEUTRAL,0.103626125,-0.136169,0.406813,8,0,0,8,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1983_RAIN
HOT_DRY,1983,1983-11-01,1984-04-30,NEUTRAL,-0.121157125,-0.439269,0.251527,8,0,0,8,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1983_84_HOT_DRY
RAINY,1984,1984-05-01,1984-10-31,EL_NINO,0.59938425,0.012666,1.016488,8,6,0,2,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1984_RAIN
HOT_DRY,1984,1984-11-01,1985-04-30,EL_NINO,1.138780125,0.769259,1.305878,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1984_85_HOT_DRY
RAINY,1985,1985-05-01,1985-10-31,EL_NINO,1.5304591250000001,1.20444,1.726059,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1985_RAIN
HOT_DRY,1985,1985-11-01,1986-04-30,EL_NINO,1.201055625,0.970077,1.627976,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1985_86_HOT_DRY
RAINY,1986,1986-05-01,1986-10-31,EL_NINO,0.983184375,0.833899,1.292104,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1986_RAIN
HOT_DRY,1986,1986-11-01,1987-04-30,EL_NINO,1.083545875,0.28828,1.612483,8,7,0,1,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1986_87_HOT_DRY
RAINY,1987,1987-05-01,1987-10-31,TRANSITION_UNCLASSIFIED,-0.03298424999999999,-0.432888,0.519034,8,1,0,7,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1987_RAIN
HOT_DRY,1987,1987-11-01,1988-04-30,NEUTRAL,0.05423462500000001,-0.214643,0.389931,8,0,0,8,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1987_88_HOT_DRY
RAINY,1988,1988-05-01,1988-10-31,EL_NINO,0.7768938750000001,0.195875,1.286426,8,6,0,2,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1988_RAIN
HOT_DRY,1988,1988-11-01,1989-04-30,EL_NINO,1.224639,0.632728,1.474499,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1988_89_HOT_DRY
RAINY,1989,1989-05-01,1989-10-31,TRANSITION_UNCLASSIFIED,-0.16738175,-0.787001,1.090195,8,2,4,2,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1989_RAIN
HOT_DRY,1989,1989-11-01,1990-04-30,LA_NINA,-0.810278,-0.999262,-0.46628,8,0,7,1,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1989_90_HOT_DRY
RAINY,1990,1990-05-01,1990-10-31,TRANSITION_UNCLASSIFIED,0.3443220000000001,-0.759285,1.269515,8,4,1,3,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1990_RAIN
HOT_DRY,1990,1990-11-01,1991-04-30,EL_NINO,1.086083125,0.682001,1.345608,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1990_91_HOT_DRY
RAINY,1991,1991-05-01,1991-10-31,EL_NINO,1.8568945000000001,0.682001,3.230137,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1991_RAIN
HOT_DRY,1991,1991-11-01,1992-04-30,EL_NINO,2.4531522500000005,0.649666,3.453361,8,8,0,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1991_92_HOT_DRY
RAINY,1992,1992-05-01,1992-10-31,LA_NINA,-0.6820477500000001,-1.922893,1.317041,8,2,5,1,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1992_RAIN
HOT_DRY,1992,1992-11-01,1993-04-30,LA_NINA,-1.8987993749999998,-2.118673,-1.42465,8,0,8,0,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1992_93_HOT_DRY
RAINY,1993,1993-05-01,1993-10-31,TRANSITION_UNCLASSIFIED,-0.663777875,-1.791761,0.020954,8,0,4,4,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1993_RAIN
HOT_DRY,1993,1993-11-01,1994-04-30,NEUTRAL,0.10743237499999998,-0.145568,0.628979,8,0,0,8,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1993_94_HOT_DRY
RAINY,1994,1994-05-01,1994-10-31,TRANSITION_UNCLASSIFIED,0.6057735,0.394833,0.87045,8,3,0,5,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1994_RAIN
HOT_DRY,1994,1994-11-01,1995-04-30,EL_NINO,0.562175,-0.12523,0.891664,8,5,0,3,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1994_95_HOT_DRY
RAINY,1995,1995-05-01,1995-10-31,TRANSITION_UNCLASSIFIED,-0.56151275,-1.319878,0.163021,8,0,4,4,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1995_RAIN
HOT_DRY,1995,1995-11-01,1996-04-30,LA_NINA,-1.0524463750000002,-1.393069,-0.336105,8,0,7,1,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1995_96_HOT_DRY
RAINY,1996,1996-05-01,1996-10-31,TRANSITION_UNCLASSIFIED,-0.11524549999999999,-0.614256,0.342428,8,0,1,7,strict majority of overlapping persistent episode windows,CESM2,r11i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1996_RAIN
