source_type,season_type,metric,phase_contrast_absolute,phase_contrast_absolute_ci_low,phase_contrast_absolute_ci_high,phase_contrast_absolute_permutation_p,phase_contrast_absolute_valid_bootstrap,phase_contrast_pct,phase_contrast_pct_ci_low,phase_contrast_pct_ci_high,phase_contrast_pct_permutation_p,phase_contrast_pct_valid_bootstrap,neutral_centered_asymmetry_absolute,neutral_centered_asymmetry_absolute_ci_low,neutral_centered_asymmetry_absolute_ci_high,neutral_centered_asymmetry_absolute_permutation_p,neutral_centered_asymmetry_absolute_valid_bootstrap,neutral_centered_asymmetry_pct,neutral_centered_asymmetry_pct_ci_low,neutral_centered_asymmetry_pct_ci_high,neutral_centered_asymmetry_pct_permutation_p,neutral_centered_asymmetry_pct_valid_bootstrap,resampling_unit,bootstrap_repetitions,permutation_repetitions,true_asymmetry_p_bh_primary
OBSERVED,HOT_DRY,Rx1day,8.839523809523815,-1.1960297619047606,21.616674107142845,0.1734,5000,19.16239629646214,-4.162949217240924,51.90484288375946,0.2716,5000,-10.499702380952392,-36.18211309523809,9.323552083333327,0.343,5000,-21.61258595918906,-67.74647670089446,34.18429698264089,0.5016,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,HOT_DRY,CDD,-3.514285714285716,-15.453835227272725,8.458333333333336,0.6462,5000,-4.499233712290821,-26.927583077162595,14.40974322814475,0.7448,5000,-14.940476190476186,-49.16688988095237,10.066889880952374,0.2876,5000,-22.96901726038078,-63.044077803669175,22.97672472365258,0.38,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,HOT_DRY,Rx5day,31.07150974025975,12.974895833333328,44.98269412878788,0.0218,5000,43.323441576747875,18.777196946837055,74.76296580918498,0.0392,5000,-24.591071428571432,-78.51880654761904,17.274479166666612,0.3194,5000,-32.56262623595594,-77.19602618777141,34.98915141989815,0.4204,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,HOT_DRY,CWD,3.1666666666666665,1.0383860930735942,4.854166666666666,0.0088,5000,52.530885780885775,19.21296296296297,83.12238662238659,0.008,5000,0.27083333333333304,-2.6340178571428536,3.0416666666666665,0.893,5000,2.462121212121211,-43.67313062894959,66.11870189995186,0.945,5000,management-season climate year,5000,4999,0.9792
OBSERVED,HOT_DRY,R10mm,3.208333333333334,1.065401785714286,4.833333333333333,0.0056,5000,55.90235690235691,18.2222485768501,100.69443226693565,0.0166,5000,-1.6398809523809523,-6.637127976190476,2.3453124999999995,0.4592,5000,-33.96113389534441,-80.155078621588,60.84704143346806,0.416,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,HOT_DRY,R20mm,1.4928571428571429,0.24563311688311784,2.5833333333333335,0.022,5000,59.88455988455989,11.545146030440153,119.11387751741012,0.0484,5000,-1.3851190476190478,-3.057261904761905,1.0834325396825384,0.215,5000,-39.93589743589743,-92.25172881652662,82.31831709956698,0.4334,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,RAINY,PRCPTOT,319.4439666666666,161.61814229166674,462.4514034943181,0.0002,5000,33.729625955087116,16.850382559406135,48.663638262170636,0.0002,5000,77.9311891666666,-138.73801289962108,262.6819304564387,0.558,5000,5.964996259410525,-13.951195391806829,28.723282191840422,0.6582,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,RAINY,wet_day_frequency_pct,8.607542819499344,3.45836935935441,13.207502529173734,0.0004,5000,12.715439413552629,4.8796738904629,19.800642340354475,0.0006,5000,-0.6093544137022349,-6.78858166290232,6.7213078474967025,0.8624,5000,-0.5917191766248315,-9.8782580962455,10.093514702574904,0.9146,5000,management-season climate year,5000,4999,0.9755733333333333
RAW,RAINY,Rx1day,4.829604166666671,-0.5435791517857164,11.37723966720779,0.1338,5000,15.129097414639354,-1.0216298929364374,28.26842279653711,0.0352,5000,7.754085606060597,1.4962983522727376,23.668037451298694,0.2268,5000,18.34294035439719,2.6523675373257456,53.105428809710624,0.197,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,RAINY,CDD,-2.125,-5.280321969696969,0.8961458333333292,0.1668,5000,-16.109307359307355,-41.75809316913062,6.573778199245256,0.179,5000,2.472619047619049,-2.16734172077922,7.883869047619046,0.3624,5000,14.174751674751683,-16.5459782915945,70.23629511098149,0.5182,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,RAINY,Rx5day,7.10724954545455,-12.88745284550864,23.605428390151516,0.443,5000,9.30275244947299,-12.856986087999557,23.485622607099994,0.2402,5000,32.980560000000004,13.714766541666679,70.61310563311682,0.0856,5000,27.608689241210314,10.82373381077689,63.49507150918533,0.0782,5000,management-season climate year,5000,4999,0.5622857142857143
RAW,RAINY,CWD,5.592207792207792,-0.6834253246753246,10.328157467532463,0.073,5000,22.407475845459143,-2.403628270431923,36.11975131369249,0.0242,5000,-3.7719696969696965,-14.535305735930734,7.0909523809523805,0.5178,5000,-11.460227385185249,-37.650790028383234,26.246595427273583,0.525,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,RAINY,R10mm,14.14761904761905,7.79131628787879,20.37377435064934,0.0002,5000,39.987257203768095,22.676289460158394,61.418308230961806,0.0002,5000,0.8575757575757592,-8.734788961038955,8.871089015151513,0.8758,5000,3.6760236930208645,-23.514415650806537,31.84119953022843,0.8268,5000,management-season climate year,5000,4999,0.9709090909090908
RAW,RAINY,R20mm,3.1095238095238096,1.4139136904761913,5.7369345238095235,0.0094,5000,49.93972057515061,20.114357000926233,91.91807931990918,0.0032,5000,2.101515151515152,-0.6208617424242426,5.728050595238093,0.3296,5000,22.607942166765703,-15.614224383233642,83.2930270500661,0.4402,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,PRCPTOT,82.8204,52.599211562499995,128.81032749999991,0.0008,5000,50.21159841730554,30.00336203050575,73.02474227730481,0.0002,5000,-31.477061363636466,-98.53245857323232,50.78402677083325,0.4012,5000,-10.572174493137405,-38.53710755979878,29.38991871108455,0.5986,5000,management-season climate year,5000,4999,0.9251657142857143
RAW,HOT_DRY,wet_day_frequency_pct,13.65788907225371,8.821132596685084,16.12273086029992,0.0002,5000,33.42421894118606,19.92833604093641,45.21243314835487,0.0002,5000,0.39845973547631885,-6.303438389419038,4.1218643618505615,0.9058,5000,0.3186659429306373,-18.493347398666714,12.05839375956533,0.9746,5000,management-season climate year,5000,4999,0.9792
RAW,HOT_DRY,Rx1day,6.816088888888887,2.7686286647727263,12.060021138888887,0.0096,5000,54.53366989488571,17.24868156921996,85.80702825703288,0.0006,5000,-3.136874242424245,-8.720376219696963,6.898522897727272,0.4582,5000,-9.569676766198118,-33.11159295558472,48.17744621976474,0.698,5000,management-season climate year,5000,4999,0.9306666666666666
