source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
RAW,HOT_DRY,R20mm,LA_NINA,0.4375,48.83928571428573,0.125,0.75,-0.966238839285698,157.34045138888885,0.1832,5000,5,5,10.0,5,9.0,management-season climate year,5000,4999,0.3589224489795918
QDM,RAINY,PRCPTOT,EL_NINO,-132.52118614401758,-14.085198508461703,-233.21119290074375,-4.7641451698952855,-24.096988450683067,-0.5710637808564134,0.1278,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.29211428571428566
QDM,RAINY,PRCPTOT,LA_NINA,234.9337684225295,26.521940684099746,102.49333360542857,380.8301989030061,10.511805883301564,48.42516529022306,0.0116,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.10123636363636362
QDM,RAINY,wet_day_frequency_pct,EL_NINO,-5.669466403162048,-11.885582771658727,-9.601675724637678,0.9059103260869567,-20.876899834049762,1.6887473429877722,0.0388,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.17737142857142857
QDM,RAINY,wet_day_frequency_pct,LA_NINA,3.3977096273292027,7.54461349496073,-0.04093070652174313,8.376431482919253,-0.22448979390745336,19.017623174326246,0.2176,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.4010264150943396
QDM,RAINY,Rx1day,EL_NINO,1.0744046791645196,3.2609016464408445,-14.577727651388036,15.294809109352844,-18.706727328317104,27.892435197291576,0.8136,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.8888089887640449
QDM,RAINY,Rx1day,LA_NINA,28.030915802219383,43.43027016220081,7.838672301971977,43.52888804000001,11.872430527936933,77.40700941862879,0.007,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.084
QDM,RAINY,CDD,EL_NINO,0.25,1.4103887168902647,-2.208413461538461,4.666666666666668,-14.635407050041195,41.109741020301925,0.9032,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.9412085106382979
QDM,RAINY,CDD,LA_NINA,-1.8666666666666667,-13.98803216451499,-4.200104166666667,0.42916666666666625,-31.13849253139,5.508231127264976,0.2996,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.46389677419354836
QDM,RAINY,Rx5day,EL_NINO,1.9741780333038292,3.2074191087113437,-26.119487160649886,45.462527205933135,-17.831571604181622,40.94199203922309,0.824,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.8888089887640449
QDM,RAINY,Rx5day,LA_NINA,59.69598807560749,58.79015158121631,33.63178691000599,90.03945649917428,28.413575795646544,85.13093613025312,0.0008,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.024
QDM,RAINY,CWD,EL_NINO,-2.8409090909090917,-17.144127548751825,-5.454545454545455,-0.5480113636363648,-33.13806908646764,-1.9762845849802315,0.0798,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.2249142857142857
QDM,RAINY,CWD,LA_NINA,-1.5821428571428569,-11.244745909825811,-4.342872023809523,0.5821726190476192,-25.43789481572245,7.772598224036119,0.2754,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.45682758620689656
QDM,RAINY,R10mm,EL_NINO,-5.199999999999999,-18.772563176895304,-8.75,-0.7979166666666675,-31.84435917097586,-3.276349235012841,0.067,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.20700000000000002
QDM,RAINY,R10mm,LA_NINA,5.624999999999999,23.031655538435196,1.699806547619047,10.6125,6.311522593742768,47.559235702720066,0.0462,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.19283478260869566
