source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,52.6525,71.62299999999999,-18.970499999999987,-26.486603465367256,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,53.903,64.78699999999999,-10.883999999999993,-16.799666599780814,True
RAW,RAINY,Rx1day,CESM2,grid_366816579f298e84,EL_NINO,11,4,48.78745454545454,43.027,5.760454545454536,13.387999501370153,True
RAW,RAINY,Rx1day,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,45.696,44.0075,1.6884999999999977,3.8368459921604217,True
RAW,RAINY,Rx1day,CESM2,grid_92e164725cf75def,EL_NINO,11,4,49.31627272727273,39.814750000000004,9.501522727272729,23.864328489498813,True
RAW,RAINY,Rx1day,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,68.3752,81.2668,-12.891599999999997,-15.863304572100779,True
RAW,RAINY,Rx1day,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,40.1532,47.3303,-7.177100000000003,-15.16385909237846,True
RAW,RAINY,Rx1day,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,27.087666666666667,28.6375,-1.549833333333332,-5.411901644114647,True
RAW,RAINY,Rx1day,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,30.32816666666667,32.97279999999999,-2.6446333333333207,-8.020651365165595,True
RAW,RAINY,Rx1day,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,23.24466666666667,22.7577,0.486966666666671,2.139788584376589,True
RAW,RAINY,Rx1day,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,45.049666666666674,37.85375,7.195916666666676,19.0097854681945,True
RAW,RAINY,Rx1day,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,48.822333333333326,33.151,15.671333333333322,47.27258101816935,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,65.59899999999999,71.62299999999999,,,False
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,91.88499999999999,64.78699999999999,,,False
RAW,RAINY,Rx1day,CESM2,grid_366816579f298e84,LA_NINA,5,4,51.867399999999996,43.027,8.840399999999995,20.546168684779314,True
RAW,RAINY,Rx1day,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,47.2826,44.0075,3.275100000000002,7.442140544225421,True
RAW,RAINY,Rx1day,CESM2,grid_92e164725cf75def,LA_NINA,5,4,53.8024,39.814750000000004,13.987649999999995,35.13182928437323,True
RAW,RAINY,Rx1day,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,92.37985714285715,81.2668,11.113057142857144,13.674781267205235,True
RAW,RAINY,Rx1day,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,42.838428571428565,47.3303,-4.491871428571436,-9.490477407858045,True
RAW,RAINY,Rx1day,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,30.65875,28.6375,2.021250000000002,7.0580532518550925,True
RAW,RAINY,Rx1day,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,36.524750000000004,32.97279999999999,3.551950000000012,10.772363887810597,True
RAW,RAINY,Rx1day,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,26.279,22.7577,3.5213,15.473004741252412,True
RAW,RAINY,Rx1day,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,52.73391666666668,37.85375,14.880166666666682,39.309623661240124,True
RAW,RAINY,Rx1day,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,53.31433333333333,33.151,20.163333333333327,60.82270016992948,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,6.75,7.384615384615385,-0.634615384615385,-8.593750000000005,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,8.25,9.846153846153847,-1.5961538461538467,-16.210937500000004,True
RAW,RAINY,CDD,CESM2,grid_366816579f298e84,EL_NINO,11,4,13.454545454545455,12.25,1.204545454545455,9.833024118738408,True
RAW,RAINY,CDD,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,17.181818181818183,14.0,3.1818181818181834,22.72727272727274,True
RAW,RAINY,CDD,CESM2,grid_92e164725cf75def,EL_NINO,11,4,10.545454545454545,9.25,1.295454545454545,14.004914004914001,True
RAW,RAINY,CDD,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,14.0,12.6,1.4000000000000004,11.111111111111114,True
RAW,RAINY,CDD,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,20.8,14.8,6.0,40.54054054054054,True
RAW,RAINY,CDD,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,19.666666666666668,18.2,1.4666666666666686,8.058608058608069,True
RAW,RAINY,CDD,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,16.5,16.8,-0.3000000000000007,-1.7857142857142898,True
RAW,RAINY,CDD,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,33.166666666666664,20.8,12.366666666666664,59.45512820512818,True
RAW,RAINY,CDD,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,8.416666666666666,8.75,-0.3333333333333339,-3.8095238095238164,True
RAW,RAINY,CDD,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,6.333333333333333,5.5,0.833333333333333,15.151515151515145,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,4.0,7.384615384615385,,,False
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,5.5,9.846153846153847,,,False
RAW,RAINY,CDD,CESM2,grid_366816579f298e84,LA_NINA,5,4,16.8,12.25,4.550000000000001,37.142857142857146,True
RAW,RAINY,CDD,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,20.4,14.0,6.399999999999999,45.71428571428571,True
RAW,RAINY,CDD,CESM2,grid_92e164725cf75def,LA_NINA,5,4,12.2,9.25,2.9499999999999993,31.891891891891884,True
RAW,RAINY,CDD,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,8.0,12.6,-4.6,-36.507936507936506,True
RAW,RAINY,CDD,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,16.857142857142858,14.8,2.057142857142857,13.899613899613897,True
RAW,RAINY,CDD,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,19.25,18.2,1.0500000000000007,5.769230769230774,True
RAW,RAINY,CDD,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,13.0,16.8,-3.8000000000000007,-22.61904761904762,True
RAW,RAINY,CDD,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,23.5,20.8,2.6999999999999993,12.980769230769228,True
RAW,RAINY,CDD,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,7.75,8.75,-1.0,-11.428571428571429,True
RAW,RAINY,CDD,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,5.5,5.5,0.0,0.0,True
RAW,RAINY,Rx5day,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,157.568,204.38876923076924,-46.82076923076923,-22.907701537115916,True
RAW,RAINY,Rx5day,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,112.21825,162.9957692307692,-50.777519230769215,-31.152660876049158,True
RAW,RAINY,Rx5day,CESM2,grid_366816579f298e84,EL_NINO,11,4,145.2340909090909,102.98075,42.253340909090895,41.030329366498975,True
RAW,RAINY,Rx5day,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,133.92727272727274,104.46275,29.464522727272737,28.20576973827775,True
RAW,RAINY,Rx5day,CESM2,grid_92e164725cf75def,EL_NINO,11,4,151.80163636363636,131.653,20.14863636363637,15.304350347987794,True
RAW,RAINY,Rx5day,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,135.7052,135.3671,0.3380999999999972,0.24976526792699053,True
RAW,RAINY,Rx5day,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,88.7158,116.64739999999999,-27.93159999999999,-23.94532582809389,True
RAW,RAINY,Rx5day,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,81.62966666666667,83.31004,-1.6803733333333355,-2.0170117951369795,True
RAW,RAINY,Rx5day,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,92.05226666666668,109.09183,-17.03956333333332,-15.619467867880958,True
