Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,p_MK_BH,Significant_MK_BH,Trend_MK_BH
1981-2014,Observed,Historical,465008,Rx1day,mm,mm year-1,1981,2014,34,200.0,4549.333333333333,2601.222437325717,2.950388433902,0.0031737464307779,Increasing,True,3.901793947317157,9.548242106818418e-05,Increasing,True,0.35650623885918,0.768421052631579,0.2599999999999999,1.7241379310344829,0.5717810164109871,59.46332428700526,33,-0.2141094917945064,0.1501080000984872,OK,FACTOR_LT_ONE,True,0.013348404105918817,True,Increasing
1981-2014,Observed,Historical,465009,Rx1day,mm,mm year-1,1981,2014,34,247.0,4550.333333333333,4021.023050218728,3.646813057523222,0.0002655129456466,Increasing,True,3.879420226314247,0.0001047057323174,Increasing,True,0.4402852049910873,1.3333333333333346,0.5107142857142859,2.2444444444444445,0.8836765915065699,38.47561463864715,33,-0.058161704246715,0.1626580830818742,OK,FACTOR_LT_ONE,True,0.005264543618885741,True,Increasing
1981-2014,Observed,Historical,465010,Rx1day,mm,mm year-1,1981,2014,34,155.0,4550.333333333333,1273.4487661232192,2.28296427178283,0.0224324730032701,Increasing,True,4.3154886861223245,1.5925020862313326e-05,Increasing,True,0.2762923351158645,0.7857142857142857,0.1111111111111111,1.4,0.2798583472543885,121.49003356006506,33,-0.3600708263728057,-0.0290419426747611,OK,FACTOR_LT_ONE,True,0.0406056156894636,True,Increasing
1981-2014,Observed,Historical,465011,Rx1day,mm,mm year-1,1981,2014,34,155.0,4550.333333333333,2730.6905911980225,2.28296427178283,0.0224324730032701,Increasing,True,2.9470294367255137,0.0032084265927124,Increasing,True,0.2762923351158645,0.6461538461538466,0.1,1.2374999999999998,0.600107814342837,56.656486030318646,33,-0.1999460928285815,0.1934867886763904,OK,FACTOR_LT_ONE,True,0.0406056156894636,True,Increasing
1981-2014,Observed,Historical,465012,Rx1day,mm,mm year-1,1981,2014,34,119.0,4548.333333333333,4522.795344348021,1.7496688688447932,0.0801754685015033,No significant trend,False,1.7546016728542562,0.0793274651294323,No significant trend,False,0.2121212121212121,0.4833333333333331,-0.0583333333333332,1.4666666666666677,0.994385198464204,34.19198118848904,33,-0.0028074007678979,0.3202316437041018,OK,FACTOR_LT_ONE,True,0.10825084667144835,False,No significant trend
1981-2014,Observed,Historical,465201,Rx1day,mm,mm year-1,1981,2014,34,-10.0,4549.333333333333,288.62347420801746,-0.1334346527895376,0.8938496414687364,No significant trend,False,-0.529756976084177,0.5962804387342552,No significant trend,False,-0.017825311942959,-0.1300000000000011,-1.3761904761904764,1.0777777777777782,0.0634430262766744,535.9139056785584,33,-0.4682784868616628,-0.3259399254301989,OK,FACTOR_LT_ONE,True,0.9001443572537274,False,No significant trend
1981-2014,Observed,Historical,465001,Rx5day,mm,mm year-1,1981,2014,34,69.0,4550.333333333333,1417.0071577389022,1.0080621459820287,0.3134246287449332,No significant trend,False,1.8064372939778843,0.0708500606217868,No significant trend,False,0.1229946524064171,0.4166666666666643,-0.4096774193548388,1.5,0.3114073308341298,109.18175853127232,33,-0.344296334582935,0.250912679668527,OK,FACTOR_LT_ONE,True,0.37041092488037564,False,No significant trend
1981-2014,Observed,Historical,465002,Rx5day,mm,mm year-1,1981,2014,34,35.0,4550.333333333333,442.515282701187,0.5040310729910144,0.614239541598542,No significant trend,False,1.616273230524195,0.1060352519052532,No significant trend,False,0.0623885918003565,0.5666666666666723,-1.257142857142859,2.0642857142857145,0.0972489816206549,349.6180570057368,33,-0.4513755091896725,0.1078145866985448,OK,FACTOR_LT_ONE,True,0.6554944361835187,False,No significant trend
1981-2014,Observed,Historical,465003,Rx5day,mm,mm year-1,1981,2014,34,37.0,4550.333333333333,388.3187382285646,0.5336799596375447,0.5935629766221353,No significant trend,False,1.826872872131095,0.0677188859304979,No significant trend,False,0.0659536541889483,0.3666666666666663,-0.8545454545454525,1.88125,0.0853385257260049,398.4132572100349,33,-0.4573307371369975,-0.0252400873146081,OK,FACTOR_LT_ONE,True,0.6430265580073132,False,No significant trend
1981-2014,Observed,Historical,465004,Rx5day,mm,mm year-1,1981,2014,34,-153.0,4550.333333333333,1345.0864486194423,-2.2533153851362995,0.0242392703746717,Decreasing,True,-4.14446512326065,3.406077880463638e-05,Decreasing,True,-0.2727272727272727,-4.03157894736842,-7.975000000000001,-0.5428571428571445,0.2956017394958851,115.01962085197168,33,-0.3521991302520574,-0.0290053483107528,OK,FACTOR_LT_ONE,True,0.04227092272656162,True,Decreasing
1981-2014,Observed,Historical,465005,Rx5day,mm,mm year-1,1981,2014,34,117.0,4550.333333333333,2043.63367223454,1.719635425498755,0.0854987325135718,No significant trend,False,2.5659988909551976,0.0102879157123552,Increasing,True,0.2085561497326203,0.8923076923076929,-0.1333333333333352,2.1,0.4491173552636158,75.70404394647188,33,-0.2754413223681921,0.0478796841614628,OK,FACTOR_LT_ONE,False,0.11320665508741452,False,No significant trend
1981-2014,Observed,Historical,465006,Rx5day,mm,mm year-1,1981,2014,34,-193.0,4550.333333333333,1571.057345024145,-2.846293118066905,0.004423145961631,Decreasing,True,-4.844011995796219,1.2724324500774782e-06,Decreasing,True,-0.3440285204991087,-6.235000000000001,-10.594117647058823,-2.5259259259259244,0.3452620346547824,98.475930126507,33,-0.3273689826726088,-0.0037008461955293,OK,FACTOR_LT_ONE,True,0.014055774944738513,True,Decreasing
