Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,465001,2005,OK,PRCPTOT,1253.2,mm
1981-2014,Observed,Historical,465001,2005,OK,R10mm,48.0,days
1981-2014,Observed,Historical,465001,2005,OK,R20mm,24.0,days
1981-2014,Observed,Historical,465001,2005,OK,R50mm,2.0,days
1981-2014,Observed,Historical,465001,2005,OK,R95p,823.1,mm
1981-2014,Observed,Historical,465001,2005,OK,R99p,394.20000000000005,mm
1981-2014,Observed,Historical,465001,2005,OK,Rx1day,90.5,mm
1981-2014,Observed,Historical,465001,2005,OK,Rx5day,132.1,mm
1981-2014,Observed,Historical,465001,2005,OK,SDII,18.7044776119403,mm day-1
1981-2014,Observed,Historical,465001,2006,OK,CDD,35.0,days
1981-2014,Observed,Historical,465001,2006,OK,CWD,5.0,days
1981-2014,Observed,Historical,465001,2006,OK,PRCPTOT,1144.1,mm
1981-2014,Observed,Historical,465001,2006,OK,R10mm,42.0,days
1981-2014,Observed,Historical,465001,2006,OK,R20mm,19.0,days
1981-2014,Observed,Historical,465001,2006,OK,R50mm,2.0,days
1981-2014,Observed,Historical,465001,2006,OK,R95p,735.4000000000001,mm
1981-2014,Observed,Historical,465001,2006,OK,R99p,370.8,mm
1981-2014,Observed,Historical,465001,2006,OK,Rx1day,107.5,mm
1981-2014,Observed,Historical,465001,2006,OK,Rx5day,194.7,mm
1981-2014,Observed,Historical,465001,2006,OK,SDII,18.160317460317458,mm day-1
1981-2014,Observed,Historical,465001,2007,OK,CDD,57.0,days
1981-2014,Observed,Historical,465001,2007,OK,CWD,8.0,days
1981-2014,Observed,Historical,465001,2007,OK,PRCPTOT,1153.9,mm
1981-2014,Observed,Historical,465001,2007,OK,R10mm,40.0,days
1981-2014,Observed,Historical,465001,2007,OK,R20mm,17.0,days
1981-2014,Observed,Historical,465001,2007,OK,R50mm,4.0,days
1981-2014,Observed,Historical,465001,2007,OK,R95p,773.2,mm
1981-2014,Observed,Historical,465001,2007,OK,R99p,540.2,mm
1981-2014,Observed,Historical,465001,2007,OK,Rx1day,82.0,mm
1981-2014,Observed,Historical,465001,2007,OK,Rx5day,188.1,mm
1981-2014,Observed,Historical,465001,2007,OK,SDII,14.793589743589745,mm day-1
1981-2014,Observed,Historical,465001,2008,OK,CDD,43.0,days
1981-2014,Observed,Historical,465001,2008,OK,CWD,7.0,days
1981-2014,Observed,Historical,465001,2008,OK,PRCPTOT,750.1999999999999,mm
1981-2014,Observed,Historical,465001,2008,OK,R10mm,25.0,days
1981-2014,Observed,Historical,465001,2008,OK,R20mm,10.0,days
1981-2014,Observed,Historical,465001,2008,OK,R50mm,1.0,days
1981-2014,Observed,Historical,465001,2008,OK,R95p,357.5,mm
1981-2014,Observed,Historical,465001,2008,OK,R99p,224.0,mm
1981-2014,Observed,Historical,465001,2008,OK,Rx1day,50.0,mm
1981-2014,Observed,Historical,465001,2008,OK,Rx5day,125.5,mm
1981-2014,Observed,Historical,465001,2008,OK,SDII,9.617948717948718,mm day-1
1981-2014,Observed,Historical,465001,2009,OK,CDD,72.0,days
1981-2014,Observed,Historical,465001,2009,OK,CWD,5.0,days
1981-2014,Observed,Historical,465001,2009,OK,PRCPTOT,751.6,mm
1981-2014,Observed,Historical,465001,2009,OK,R10mm,26.0,days
