Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion
2021-2050,FGOALS-g3,SSP5-8.5,465003,R99p,mm,mm year-1,2021,2050,30,-17.0,2191.6666666666665,307.12294789899846,-0.3417690501642741,0.7325247029379605,No significant trend,False,-0.9129854341518172,0.361250202294468,No significant trend,False,-0.03908045977011494,0.0,-0.0,-0.0,0.14013214352806014,214.08364451367137,29,-0.42993392823596993,-0.13624048233656477,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465004,R99p,mm,mm year-1,2021,2050,30,11.0,2552.3333333333335,169.9597448804048,0.1979389689896639,0.8430928144812551,No significant trend,False,0.7670558116461457,0.44304833293776236,No significant trend,False,0.02528735632183908,0.0,-0.0,-0.0,0.06658994836635945,450.51844514052345,29,-0.4667050258168203,-0.25687221114205405,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465005,R99p,mm,mm year-1,2021,2050,30,28.0,2808.0,392.3183104663767,0.5095246653650681,0.610384513874678,No significant trend,False,1.3631525962555007,0.17283442342619182,No significant trend,False,0.06436781609195402,0.0,-0.0,1.378695652173913,0.13971449802933644,214.7236000783596,29,-0.4301427509853318,-0.10732444732107091,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465006,R99p,mm,mm year-1,2021,2050,30,9.0,2552.3333333333335,174.1718582990141,0.15835117519173111,0.874180084819818,No significant trend,False,0.6061791497866426,0.5443957966276329,No significant trend,False,0.020689655172413793,0.0,-0.0,-0.0,0.06824024747251434,439.6232591636385,29,-0.46587987626374283,-0.3153027776662436,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465007,R99p,mm,mm year-1,2021,2050,30,-32.0,1884.0,411.55418783538687,-0.7142023002553416,0.47510209471473874,No significant trend,False,-1.528087352413288,0.1264908512262392,No significant trend,False,-0.0735632183908046,0.0,-0.0,-0.0,0.21844702114404824,137.33306978911565,29,-0.3907764894279759,-0.17440304208215973,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465008,R99p,mm,mm year-1,2021,2050,30,-1.0,2873.0,446.13878587969106,0.0,1.0,No significant trend,False,0.0,1.0,No significant trend,False,-0.0022988505747126436,0.0,-1.5676470588235294,1.3477272727272727,0.15528673368593493,193.19100407298504,29,-0.42235663315703253,-0.10831267352760628,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465009,R99p,mm,mm year-1,2021,2050,30,1.0,2648.3333333333335,467.9599373268178,0.0,1.0,No significant trend,False,0.0,1.0,No significant trend,False,0.0022988505747126436,0.0,-0.0,-0.0,0.17669978753687265,169.77949106893962,29,-0.4116501062315637,-0.08985712235949193,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465010,R99p,mm,mm year-1,2021,2050,30,14.0,2733.3333333333335,427.6669922912513,0.24865491809470192,0.8036277238089218,No significant trend,False,0.6286233173484378,0.5295956912483128,No significant trend,False,0.03218390804597701,0.0,-0.0,0.2816666666666667,0.15646353376509192,191.737967806868,29,-0.42176823311745404,-0.09225783495421337,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465011,R99p,mm,mm year-1,2021,2050,30,7.0,2648.3333333333335,406.23018013032726,0.11659097307744984,0.90718419137679,No significant trend,False,0.29769062487422737,0.7659392994718376,No significant trend,False,0.016091954022988506,0.0,-0.0,-0.0,0.1533908798478265,195.5787725434648,29,-0.42330456007608674,-0.11322068070295992,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465012,R99p,mm,mm year-1,2021,2050,30,7.0,2648.3333333333335,414.4348229674683,0.11659097307744984,0.90718419137679,No significant trend,False,0.2947291763405817,0.7682007731697452,No significant trend,False,0.016091954022988506,0.0,-0.0,-0.0,0.15648891993737002,191.70686341248057,29,-0.421755540031315,-0.11289875480348446,OK,FACTOR_LT_ONE,True
2021-2050,FGOALS-g3,SSP5-8.5,465201,R99p,mm,mm year-1,2021,2050,30,20.0,2733.3333333333335,325.1605264584432,0.3634187264461028,0.7162921149986887,No significant trend,False,1.0536701865777693,0.2920339430652634,No significant trend,False,0.04597701149425287,0.0,-0.0,2.637241379310345,0.1189611682165036,252.18313210745748,29,-0.4405194158917482,-0.10072984694116006,OK,FACTOR_LT_ONE,True
2021-2050,MIROC6,SSP2-4.5,465001,PRCPTOT,mm,mm year-1,2021,2050,30,111.0,3141.6666666666665,732.4532379957427,1.9625134103851736,0.049702740867608466,Increasing,True,4.064458874044592,4.814402655117651e-05,Increasing,True,0.25517241379310346,18.853600000000007,0.3277777777777576,35.16000000000002,0.23314161421615154,128.67715658941194,29,-0.38342919289192423,0.09033918266534567,OK,FACTOR_LT_ONE,True
2021-2050,MIROC6,SSP2-4.5,465002,PRCPTOT,mm,mm year-1,2021,2050,30,109.0,3141.6666666666665,707.1285616224565,1.9268313483781705,0.054000651353365896,No significant trend,False,4.061388791184712,4.878165440506846e-05,Increasing,True,0.25057471264367814,16.02533333333331,-0.5299999999999727,32.85631578947368,0.22508070926974744,133.2855227679533,29,-0.3874596453651263,0.10727331943610942,OK,FACTOR_LT_ONE,False
2021-2050,MIROC6,SSP2-4.5,465003,PRCPTOT,mm,mm year-1,2021,2050,30,113.0,3141.6666666666665,655.7381899113584,1.9981954723921767,0.045695472216719296,Increasing,True,4.373738201067226,1.2213683951248672e-05,Increasing,True,0.2597701149425287,15.780000000000005,0.4685000000000059,33.18166666666667,0.20872303127151992,143.7311436943158,29,-0.39563848436424004,0.11935159214720303,OK,FACTOR_LT_ONE,True
2021-2050,MIROC6,SSP2-4.5,465004,PRCPTOT,mm,mm year-1,2021,2050,30,89.0,3141.6666666666665,813.4032045535582,1.5700107283081388,0.11641261541028022,No significant trend,False,3.0855297107791353,0.0020318992275949878,Increasing,True,0.2045977011494253,20.341999999999917,-3.9706249999999983,50.52599999999999,0.25890818182076125,115.87119336679984,29,-0.3705459090896194,0.13004943801124988,OK,FACTOR_LT_ONE,False
2021-2050,MIROC6,SSP2-4.5,465005,PRCPTOT,mm,mm year-1,2021,2050,30,115.0,3141.6666666666665,745.4183509121738,2.03387753439918,0.041963944579415956,Increasing,True,4.175464650253669,2.973784325387112e-05,Increasing,True,0.26436781609195403,17.445454545454535,0.39476190476190304,32.5866666666667,0.2372684406086495,126.43906590797717,29,-0.38136577969567526,0.09511084982674503,OK,FACTOR_LT_ONE,True
2021-2050,MIROC6,SSP2-4.5,465006,PRCPTOT,mm,mm year-1,2021,2050,30,87.0,3141.6666666666665,804.8657565206925,1.5343286663011357,0.12494881685497079,No significant trend,False,3.031354488493608,0.002434592349651602,Increasing,True,0.2,19.042999999999985,-5.007777777777745,50.17464285714285,0.2561906917307244,117.10027322746076,29,-0.3719046541346378,0.12835661476868482,OK,FACTOR_LT_ONE,False
2021-2050,MIROC6,SSP2-4.5,465007,PRCPTOT,mm,mm year-1,2021,2050,30,113.0,3141.6666666666665,756.7373277212317,1.9981954723921767,0.045695472216719296,Increasing,True,4.071415673266564,4.672827866209355e-05,Increasing,True,0.2597701149425287,19.120833333333376,1.0165000000000077,36.265999999999984,0.24087129794840267,124.54784050869496,29,-0.37956435102579866,0.10530650403667634,OK,FACTOR_LT_ONE,True
2021-2050,MIROC6,SSP2-4.5,465008,PRCPTOT,mm,mm year-1,2021,2050,30,117.0,3141.6666666666665,779.3067489434748,2.069559596406183,0.03849360497181474,Increasing,True,4.155313266653715,3.248421566425352e-05,Increasing,True,0.2689655172413793,15.946875000000006,1.2049999999999728,30.701428571428583,0.24805519860269754,120.9408235303711,29,-0.37597240069865123,0.10389185119261311,OK,FACTOR_LT_ONE,True
