Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,MK_p_FDR_BH,MK_significant_FDR_BH
1981-2014,Observed,Historical,351009,CWD,days,days year-1,1981,2014,34,-13.0,4546.333333333333,474.9389396327925,-0.1779715606042131,0.8587453105075717,No significant trend,False,-0.5506331538610827,0.581885176759396,No significant trend,False,-0.0231729055258467,-0.1,-1.375,1.0,0.1044663698877027,325.46359212585514,33,-0.4477668150561486,-0.2992428309281792,OK,FACTOR_LT_ONE,True,0.9538843188808157,False
1981-2014,Observed,Historical,351010,CWD,days,days year-1,1981,2014,34,41.0,4546.333333333333,651.3049885484538,0.5932385353473771,0.5530215266798347,No significant trend,False,1.5673564990314073,0.1170313859671362,No significant trend,False,0.0730837789661319,0.2142857142857142,-0.6363636363636364,1.0,0.1432594006631983,237.3317202403612,33,-0.4283702996684008,-0.0246352201853614,OK,FACTOR_LT_ONE,True,0.8487950565696535,False
1981-2014,Observed,Historical,351011,CWD,days,days year-1,1981,2014,34,37.0,4358.333333333333,912.8146334825572,0.5453085151297751,0.585541348649682,No significant trend,False,1.1915470723031525,0.2334388888302515,No significant trend,False,0.0659536541889483,0.0,-0.0476190476190476,0.1304347826086956,0.2094412160954242,162.33671974340115,33,-0.3952793919522879,-0.1759020179177979,OK,FACTOR_LT_ONE,True,0.8487950565696535,False
1981-2014,Observed,Historical,351012,CWD,days,days year-1,1981,2014,34,-39.0,4381.0,490.2374111598364,-0.5741124567433651,0.5658917044129058,No significant trend,False,-1.7162492936905296,0.0861164246013763,No significant trend,False,-0.0695187165775401,0.0,-0.1,0.0476190476190476,0.111900801451686,303.8405405405407,33,-0.444049599274157,-0.0539845758354755,OK,FACTOR_LT_ONE,True,0.8487950565696535,False
1981-2014,Observed,Historical,351201,CWD,days,days year-1,1981,2014,34,-16.0,4365.333333333333,877.495913481908,-0.2270296361968359,0.8204006974349555,No significant trend,False,-0.5063708626279305,0.6125963252734155,No significant trend,False,-0.0285204991087344,0.0,-0.0714285714285714,0.0526315789473684,0.201014641145825,169.14190830176832,33,-0.3994926794270875,-0.0558432734589736,OK,FACTOR_LT_ONE,True,0.9473550786829261,False
1981-2014,Observed,Historical,351001,R10mm,days,days year-1,1981,2014,34,-12.0,4518.0,559.4598344910097,-0.1636513423150656,0.8700056241991116,No significant trend,False,-0.465059187904288,0.6418890713797283,No significant trend,False,-0.0213903743315508,0.0,-0.2142857142857142,0.1666666666666666,0.1238290912994709,274.5719898547399,33,-0.4380854543502645,-0.2557588950230813,OK,FACTOR_LT_ONE,True,0.9538843188808157,False
1981-2014,Observed,Historical,351002,R10mm,days,days year-1,1981,2014,34,69.0,4532.333333333333,1937.4713464910185,1.010061903866938,0.3124656326911125,No significant trend,False,1.5448676126466423,0.1223782888054318,No significant trend,False,0.1229946524064171,0.1428571428571428,-0.1538461538461538,0.4482758620689655,0.4274776818028282,79.5363160401958,33,-0.2862611590985859,0.3332403609515996,OK,FACTOR_LT_ONE,True,0.7206868624972433,False
1981-2014,Observed,Historical,351003,R10mm,days,days year-1,1981,2014,34,21.0,4492.333333333333,1939.180177867647,0.2983966951356509,0.7654004111416848,No significant trend,False,0.4541725834341468,0.6497046144864552,No significant trend,False,0.0374331550802139,0.0,-0.2352941176470588,0.3076923076923077,0.4316643565780916,78.76490027929633,33,-0.2841678217109541,0.2852356644131837,OK,FACTOR_LT_ONE,True,0.9460017274211586,False
1981-2014,Observed,Historical,351004,R10mm,days,days year-1,1981,2014,34,-173.0,4525.666666666667,2287.375602958115,-2.556743527962159,0.0105657085655595,Decreasing,True,-3.596331397381321,0.000322736598475,Decreasing,True,-0.3083778966131907,-0.3076923076923077,-0.5294117647058824,-0.0833333333333333,0.5054229070394303,67.27039777274581,33,-0.2472885464802849,0.4752573328326537,OK,FACTOR_LT_ONE,True,0.07952085920394782,False
1981-2014,Observed,Historical,351005,R10mm,days,days year-1,1981,2014,34,8.0,4528.0,564.4916363899604,0.1040267021986087,0.917148158236624,No significant trend,False,0.2946247887603512,0.7682805235962745,No significant trend,False,0.0142602495543672,0.0,-0.2941176470588235,0.3076923076923077,0.1246668808281714,272.7268042172504,33,-0.4376665595859142,0.0316808209323265,OK,FACTOR_LT_ONE,True,0.9627721221110771,False
1981-2014,Observed,Historical,351006,R10mm,days,days year-1,1981,2014,34,2.0,4520.666666666667,533.7679510236813,0.0148730061437971,0.9881334955176992,No significant trend,False,0.0432836376857324,0.9654754342335852,No significant trend,False,0.0035650623885918,0.0,-0.2608695652173913,0.2758620689655172,0.1180728397781333,287.95784080308607,33,-0.4409635801109333,0.2166940109004307,OK,FACTOR_LT_ONE,True,1.0,False
1981-2014,Observed,Historical,351007,R10mm,days,days year-1,1981,2014,34,87.0,4527.0,833.6958625692849,1.278183491260768,0.2011847356336359,No significant trend,False,2.97847958790728,0.0028968232379558,Increasing,True,0.1550802139037433,0.1818181818181818,-0.0952380952380952,0.4444444444444444,0.1841607825423646,184.6212832646852,33,-0.4079196087288176,0.2571016922332356,OK,FACTOR_LT_ONE,False,0.558641751400933,False
1981-2014,Observed,Historical,351008,R10mm,days,days year-1,1981,2014,34,25.0,4505.666666666667,1469.0270639038354,0.3575458257810827,0.7206832262340739,No significant trend,False,0.6261758922398415,0.5311995779302563,No significant trend,False,0.0445632798573975,0.0,-0.1818181818181818,0.3125,0.3260398898950585,104.2817184453825,33,-0.3369800550524707,0.1972588902380977,OK,FACTOR_LT_ONE,True,0.9418586066507527,False
1981-2014,Observed,Historical,351009,R10mm,days,days year-1,1981,2014,34,-53.0,4517.0,411.00344217595057,-0.7737101573401999,0.4391022120012493,No significant trend,False,-2.564960102161424,0.0103187669561413,Decreasing,True,-0.0944741532976827,-0.074074074074074,-0.3333333333333333,0.1428571428571428,0.0909903569129844,373.6659702578677,33,-0.4545048215435078,-0.1566225041798686,OK,FACTOR_LT_ONE,False,0.826205477844456,False
