Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
CESM2,SSP2-4.5,465004,R99p,1995-2014,2021-2050,151.2305,80.187,-71.04350000000001,-46.9769656253203,mm
CESM2,SSP2-4.5,465005,PRCPTOT,1995-2014,2021-2050,1388.685,1217.9023333333332,-170.78266666666673,-12.298157369501848,mm
CESM2,SSP2-4.5,465005,SDII,1995-2014,2021-2050,6.521198805748513,5.972001182947671,-0.5491976228008424,-8.421727954631873,mm day-1
CESM2,SSP2-4.5,465005,Rx1day,1995-2014,2021-2050,33.119,32.26133333333333,-0.8576666666666668,-2.5896514588806028,mm
CESM2,SSP2-4.5,465005,Rx5day,1995-2014,2021-2050,98.936,98.02733333333335,-0.9086666666666616,-0.9184388560955179,mm
CESM2,SSP2-4.5,465005,CDD,1995-2014,2021-2050,28.5,25.633333333333333,-2.866666666666667,-10.058479532163746,days
CESM2,SSP2-4.5,465005,CWD,1995-2014,2021-2050,29.8,27.3,-2.5,-8.389261744966444,days
CESM2,SSP2-4.5,465005,R10mm,1995-2014,2021-2050,42.0,33.766666666666666,-8.233333333333334,-19.603174603174608,days
CESM2,SSP2-4.5,465005,R20mm,1995-2014,2021-2050,5.65,4.933333333333334,-0.7166666666666668,-12.684365781710918,days
CESM2,SSP2-4.5,465005,R50mm,1995-2014,2021-2050,0.05,0.03333333333333333,-0.01666666666666667,-33.333333333333336,days
CESM2,SSP2-4.5,465005,R95p,1995-2014,2021-2050,254.2795,217.60933333333332,-36.67016666666669,-14.421204488237032,mm
CESM2,SSP2-4.5,465005,R99p,1995-2014,2021-2050,38.7465,49.028666666666666,10.282166666666669,26.537020548092524,mm
CESM2,SSP2-4.5,465006,PRCPTOT,1995-2014,2021-2050,1961.2635000000002,1688.4543333333334,-272.8091666666669,-13.90986813687538,mm
CESM2,SSP2-4.5,465006,SDII,1995-2014,2021-2050,8.797329205191684,7.790545769989266,-1.0067834352024176,-11.444194160749053,mm day-1
CESM2,SSP2-4.5,465006,Rx1day,1995-2014,2021-2050,105.604,71.21499999999999,-34.38900000000001,-32.564107420173485,mm
CESM2,SSP2-4.5,465006,Rx5day,1995-2014,2021-2050,267.71799999999996,183.70899999999997,-84.00899999999999,-31.379660687738586,mm
CESM2,SSP2-4.5,465006,CDD,1995-2014,2021-2050,21.55,18.933333333333334,-2.616666666666667,-12.142304717710754,days
CESM2,SSP2-4.5,465006,CWD,1995-2014,2021-2050,30.55,25.5,-5.050000000000001,-16.530278232405895,days
CESM2,SSP2-4.5,465006,R10mm,1995-2014,2021-2050,56.2,48.56666666666667,-7.633333333333333,-13.582443653618029,days
CESM2,SSP2-4.5,465006,R20mm,1995-2014,2021-2050,20.6,16.766666666666666,-3.8333333333333357,-18.60841423948221,days
CESM2,SSP2-4.5,465006,R50mm,1995-2014,2021-2050,3.95,2.3,-1.6500000000000004,-41.77215189873418,days
CESM2,SSP2-4.5,465006,R95p,1995-2014,2021-2050,479.69899999999996,313.489,-166.20999999999998,-34.64881102524708,mm
CESM2,SSP2-4.5,465006,R99p,1995-2014,2021-2050,139.254,70.604,-68.64999999999999,-49.29840435463254,mm
CESM2,SSP2-4.5,465007,PRCPTOT,1995-2014,2021-2050,1587.3335000000002,1389.5346666666667,-197.7988333333335,-12.46107597006763,mm
CESM2,SSP2-4.5,465007,SDII,1995-2014,2021-2050,7.227808046120385,6.576957528258335,-0.6508505178620503,-9.00481188361667,mm day-1
CESM2,SSP2-4.5,465007,Rx1day,1995-2014,2021-2050,43.4955,39.86033333333333,-3.63516666666667,-8.35756955700399,mm
CESM2,SSP2-4.5,465007,Rx5day,1995-2014,2021-2050,125.5085,119.282,-6.2265000000000015,-4.961018576431079,mm
CESM2,SSP2-4.5,465007,CDD,1995-2014,2021-2050,24.3,23.666666666666668,-0.6333333333333329,-2.606310013717419,days
CESM2,SSP2-4.5,465007,CWD,1995-2014,2021-2050,34.4,28.466666666666665,-5.933333333333334,-17.248062015503876,days
CESM2,SSP2-4.5,465007,R10mm,1995-2014,2021-2050,51.1,41.233333333333334,-9.866666666666667,-19.308545335942597,days
CESM2,SSP2-4.5,465007,R20mm,1995-2014,2021-2050,10.35,8.1,-2.25,-21.73913043478261,days
CESM2,SSP2-4.5,465007,R50mm,1995-2014,2021-2050,0.25,0.3,0.04999999999999999,19.999999999999996,days
CESM2,SSP2-4.5,465007,R95p,1995-2014,2021-2050,301.0565,242.86766666666665,-58.18883333333338,-19.328210263964863,mm
CESM2,SSP2-4.5,465007,R99p,1995-2014,2021-2050,29.0905,36.556333333333335,7.465833333333336,25.664162985625328,mm
CESM2,SSP2-4.5,465008,PRCPTOT,1995-2014,2021-2050,1321.925,1158.9133333333334,-163.01166666666654,-12.33138541646966,mm
CESM2,SSP2-4.5,465008,SDII,1995-2014,2021-2050,5.859852029539963,5.386682028835788,-0.47317000070417503,-8.074777286506363,mm day-1
CESM2,SSP2-4.5,465008,Rx1day,1995-2014,2021-2050,33.032,31.27466666666667,-1.757333333333328,-5.320093646564932,mm
CESM2,SSP2-4.5,465008,Rx5day,1995-2014,2021-2050,96.132,93.85666666666665,-2.27533333333335,-2.3668844228075456,mm
CESM2,SSP2-4.5,465008,CDD,1995-2014,2021-2050,26.55,24.366666666666667,-2.1833333333333336,-8.22347771500314,days
CESM2,SSP2-4.5,465008,CWD,1995-2014,2021-2050,37.9,31.933333333333334,-5.966666666666665,-15.743183817062441,days
CESM2,SSP2-4.5,465008,R10mm,1995-2014,2021-2050,35.2,28.066666666666666,-7.133333333333336,-20.265151515151523,days
CESM2,SSP2-4.5,465008,R20mm,1995-2014,2021-2050,4.7,3.966666666666667,-0.7333333333333334,-15.602836879432626,days
CESM2,SSP2-4.5,465008,R50mm,1995-2014,2021-2050,0.05,0.03333333333333333,-0.01666666666666667,-33.333333333333336,days
CESM2,SSP2-4.5,465008,R95p,1995-2014,2021-2050,256.224,210.51666666666668,-45.70733333333331,-17.83881811748053,mm
CESM2,SSP2-4.5,465008,R99p,1995-2014,2021-2050,46.1655,51.16,4.994499999999995,10.818684948717104,mm
CESM2,SSP2-4.5,465009,PRCPTOT,1995-2014,2021-2050,1294.6895,1138.2236666666665,-156.46583333333342,-12.085201380974622,mm
CESM2,SSP2-4.5,465009,SDII,1995-2014,2021-2050,6.110842414894817,5.642152955546291,-0.4686894593485258,-7.669801109682078,mm day-1
CESM2,SSP2-4.5,465009,Rx1day,1995-2014,2021-2050,32.0045,33.221,1.2164999999999964,3.801027980440239,mm
CESM2,SSP2-4.5,465009,Rx5day,1995-2014,2021-2050,94.185,98.23433333333332,4.049333333333323,4.299339951513853,mm
CESM2,SSP2-4.5,465009,CDD,1995-2014,2021-2050,28.2,26.433333333333334,-1.7666666666666657,-6.264775413711581,days
CESM2,SSP2-4.5,465009,CWD,1995-2014,2021-2050,31.65,27.066666666666666,-4.583333333333332,-14.48130595050026,days
