Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion
1981-2014,Observed,Historical,465004,Rx1day,mm,mm year-1,1981,2014,34,-133.0,4550.333333333333,1680.1559295279164,-1.956826518670997,0.05036786813108444,No significant trend,False,-3.2203207968460803,0.0012804722075034699,Decreasing,True,-0.23707664884135474,-1.682142857142857,-3.4500000000000006,0.012499999999999881,0.3692379890545564,92.08153279963932,33,-0.3153810054727218,0.07114689113031177,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465005,Rx1day,mm,mm year-1,1981,2014,34,245.0,4550.333333333333,3387.556678432112,3.6171641708766917,0.0002978484014356818,Increasing,True,4.192243897362425,2.76208811931186e-05,Increasing,True,0.43672014260249553,1.2,0.5799999999999997,1.942857142857143,0.7444634118596687,45.67047817040201,33,-0.12776829407016566,0.3077772167355397,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465006,Rx1day,mm,mm year-1,1981,2014,34,-183.0,4550.333333333333,2069.1701561396676,-2.6980486848342538,0.006974723958351328,Decreasing,True,-4.001043609689192,6.306373289506384e-05,Decreasing,True,-0.32620320855614976,-3.0999999999999983,-4.84375,-1.0,0.45472935817295457,74.76974905822604,33,-0.2726353209135227,0.16221371552102443,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465007,Rx1day,mm,mm year-1,1981,2014,34,209.0,4550.333333333333,1910.1980807226619,3.083484211239147,0.0020459196617492515,Increasing,True,4.759092354708272,1.9446544694690255e-06,Increasing,True,0.37254901960784315,1.13125,0.4937499999999999,1.9777777777777774,0.41979299993905106,80.99229859701423,33,-0.29010350003047447,-0.25719295882107984,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465008,Rx1day,mm,mm year-1,1981,2014,34,200.0,4549.333333333333,2601.2224373257172,2.950388433902,0.0031737464307779145,Increasing,True,3.9017939473171572,9.548242106818418e-05,Increasing,True,0.35650623885918004,0.768421052631579,0.2599999999999999,1.7241379310344827,0.5717810164109871,59.46332428700526,33,-0.21410949179450647,0.15010800009848724,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465009,Rx1day,mm,mm year-1,1981,2014,34,247.0,4550.333333333333,4021.0230502187283,3.646813057523222,0.00026551294564666923,Increasing,True,3.8794202263142465,0.00010470573231747184,Increasing,True,0.44028520499108736,1.3333333333333346,0.5107142857142859,2.2444444444444445,0.8836765915065699,38.47561463864715,33,-0.05816170424671505,0.16265808308187424,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465010,Rx1day,mm,mm year-1,1981,2014,34,155.0,4550.333333333333,1273.4487661232192,2.28296427178283,0.022432473003270156,Increasing,True,4.3154886861223245,1.5925020862313326e-05,Increasing,True,0.27629233511586454,0.7857142857142857,0.1111111111111111,1.4,0.2798583472543885,121.49003356006506,33,-0.36007082637280574,-0.029041942674761165,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465011,Rx1day,mm,mm year-1,1981,2014,34,155.0,4550.333333333333,2730.6905911980225,2.28296427178283,0.022432473003270156,Increasing,True,2.9470294367255137,0.0032084265927124615,Increasing,True,0.27629233511586454,0.6461538461538466,0.10000000000000003,1.2374999999999998,0.600107814342837,56.656486030318646,33,-0.1999460928285815,0.19348678867639046,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465012,Rx1day,mm,mm year-1,1981,2014,34,119.0,4548.333333333333,4522.795344348021,1.7496688688447932,0.0801754685015033,No significant trend,False,1.7546016728542562,0.07932746512943235,No significant trend,False,0.21212121212121213,0.4833333333333331,-0.05833333333333327,1.4666666666666675,0.994385198464204,34.19198118848904,33,-0.0028074007678979655,0.3202316437041018,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465201,Rx1day,mm,mm year-1,1981,2014,34,-10.0,4549.333333333333,288.62347420801746,-0.13343465278953767,0.8938496414687364,No significant trend,False,-0.529756976084177,0.5962804387342552,No significant trend,False,-0.017825311942959002,-0.13000000000000114,-1.3761904761904764,1.0777777777777782,0.06344302627667442,535.9139056785584,33,-0.4682784868616628,-0.32593992543019895,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465001,Rx5day,mm,mm year-1,1981,2014,34,69.0,4550.333333333333,1417.0071577389022,1.0080621459820287,0.31342462874493326,No significant trend,False,1.8064372939778843,0.07085006062178681,No significant trend,False,0.12299465240641712,0.4166666666666643,-0.4096774193548388,1.5,0.31140733083412986,109.18175853127232,33,-0.34429633458293507,0.25091267966852704,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465002,Rx5day,mm,mm year-1,1981,2014,34,35.0,4550.333333333333,442.515282701187,0.5040310729910144,0.614239541598542,No significant trend,False,1.616273230524195,0.10603525190525324,No significant trend,False,0.062388591800356503,0.5666666666666723,-1.2571428571428587,2.0642857142857145,0.09724898162065498,349.6180570057368,33,-0.4513755091896725,0.10781458669854481,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465003,Rx5day,mm,mm year-1,1981,2014,34,37.0,4550.333333333333,388.3187382285646,0.5336799596375447,0.5935629766221353,No significant trend,False,1.826872872131095,0.06771888593049796,No significant trend,False,0.0659536541889483,0.36666666666666636,-0.8545454545454525,1.8812499999999996,0.08533852572600498,398.4132572100349,33,-0.4573307371369975,-0.025240087314608153,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465004,Rx5day,mm,mm year-1,1981,2014,34,-153.0,4550.333333333333,1345.0864486194423,-2.2533153851362995,0.02423927037467175,Decreasing,True,-4.14446512326065,3.406077880463638e-05,Decreasing,True,-0.2727272727272727,-4.03157894736842,-7.975000000000001,-0.5428571428571445,0.2956017394958851,115.01962085197167,33,-0.35219913025205746,-0.02900534831075289,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465005,Rx5day,mm,mm year-1,1981,2014,34,117.0,4550.333333333333,2043.6336722345397,1.719635425498755,0.08549873251357189,No significant trend,False,2.5659988909551976,0.010287915712355248,Increasing,True,0.20855614973262032,0.8923076923076929,-0.13333333333333522,2.1,0.44911735526361585,75.70404394647188,33,-0.2754413223681921,0.04787968416146284,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465006,Rx5day,mm,mm year-1,1981,2014,34,-193.0,4550.333333333333,1571.057345024145,-2.846293118066905,0.004423145961631083,Decreasing,True,-4.844011995796219,1.2724324500774782e-06,Decreasing,True,-0.34402852049910876,-6.235000000000001,-10.594117647058823,-2.5259259259259244,0.34526203465478245,98.47593012650701,33,-0.3273689826726088,-0.0037008461955293117,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465007,Rx5day,mm,mm year-1,1981,2014,34,127.0,4550.333333333333,1499.7239696257743,1.8678798587314063,0.06177881890019752,No significant trend,False,3.25360538922551,0.0011395044859405577,Increasing,True,0.22638146167557932,1.0058823529411753,-0.1,3.0499999999999994,0.32958551819480797,103.1598723943436,33,-0.335207240902596,-0.2733435201745884,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465008,Rx5day,mm,mm year-1,1981,2014,34,40.0,4549.333333333333,2449.2083211095105,0.5782168287546633,0.5631177383704165,No significant trend,False,0.7880463174122725,0.4306696139412787,No significant trend,False,0.07130124777183601,0.4538461538461543,-0.8181818181818182,1.971428571428571,0.5383664246284094,63.15401266612686,33,-0.23081678768579525,-0.08314404684081411,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465009,Rx5day,mm,mm year-1,1981,2014,34,129.0,4550.333333333333,3927.9576481610707,1.8975287453779366,0.057758188637250366,No significant trend,False,2.04233307835679,0.04111850304430182,Increasing,True,0.22994652406417113,1.1399999999999992,-0.02307692307692286,2.775000000000002,0.8632241553353757,39.38722032956838,33,-0.06838792233231215,0.1259391333716835,OK,FACTOR_LT_ONE,False
1981-2014,Observed,Historical,465010,Rx5day,mm,mm year-1,1981,2014,34,26.0,4549.333333333333,821.3993213892988,0.3706518133042713,0.7108968850905183,No significant trend,False,0.8722939067718811,0.38304806087129206,No significant trend,False,0.04634581105169341,0.3999999999999996,-0.8411764705882334,1.9999999999999987,0.18055377814829254,188.30954604602678,33,-0.40972311092585373,-0.08047337239198919,OK,FACTOR_LT_ONE,True
1981-2014,Observed,Historical,465011,Rx5day,mm,mm year-1,1981,2014,34,75.0,4550.333333333333,1511.7501662313678,1.0970088059216196,0.27263754267559726,No significant trend,False,1.9032318953130394,0.05701029301417241,No significant trend,False,0.13368983957219252,0.46250000000000036,-0.45600000000000024,1.8777777777777784,0.3322284447069155,102.33922032170979,33,-0.33388577764654226,0.007588303753302075,OK,FACTOR_LT_ONE,True
