Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,PRCPTOT,1246.27,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,R10mm,31.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,R20mm,3.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,R95p,186.78,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,R99p,0.0,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,Rx1day,26.27,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,Rx5day,90.33,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2022,OK,SDII,5.538977777777777,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,CDD,22.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,CWD,17.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,PRCPTOT,1182.73,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,R10mm,28.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,R20mm,3.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,R95p,163.69,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,R99p,0.0,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,Rx1day,25.93,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,Rx5day,66.23,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2023,OK,SDII,5.578915094339623,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,CDD,15.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,CWD,22.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,PRCPTOT,1157.17,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,R10mm,29.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,R20mm,1.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,R95p,110.69,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,R99p,30.01,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,Rx1day,30.01,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,Rx5day,63.62,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2024,OK,SDII,5.432723004694836,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,CDD,16.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,CWD,28.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,PRCPTOT,1342.87,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,R10mm,35.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,R20mm,3.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,R95p,208.71,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,R99p,36.27,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,Rx1day,36.27,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,Rx5day,69.59,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2025,OK,SDII,6.021838565022421,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,CDD,10.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,CWD,27.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,PRCPTOT,1214.4,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,R10mm,36.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,R20mm,4.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,R95p,218.67999999999998,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,R99p,30.6,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,Rx1day,30.6,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,Rx5day,100.42,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2026,OK,SDII,5.622222222222223,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,CDD,22.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,CWD,38.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2027,OK,PRCPTOT,1122.24,mm
