Dataset,Model,Scenario,Station,Year,n_expected_days,n_observed_records,n_valid,completeness_pct,missing_days,status
Historical,ACCESS-ESM1-5,Historical,351003,2011,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2012,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2013,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2014,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2000,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2001,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2002,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2003,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2004,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2005,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2006,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2007,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2008,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2009,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2010,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2011,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2012,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2013,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351004,2014,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,2000,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351005,2001,365,365,365,100.0,0,OK
