model,season_type,ENSO_phase,station,index,mag_err_raw,mag_err_qdm,delta_mag_err
FGOALS-g3,HOT_DRY,EL_NINO,351002,CWD,24.4,20.83,-3.57
MIROC6,HOT_DRY,EL_NINO,351002,CWD,65.74,43.75,-21.99
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,CWD,24.24,4.48,-19.76
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,PRCPTOT,38.62,63.41,24.79
CanESM5,HOT_DRY,EL_NINO,351002,PRCPTOT,30.83,76.07,45.24
CESM2,HOT_DRY,EL_NINO,351002,PRCPTOT,19.15,344.09,324.94
EC-Earth3,HOT_DRY,EL_NINO,351002,PRCPTOT,2.31,51.65,49.34
FGOALS-g3,HOT_DRY,EL_NINO,351002,PRCPTOT,11.61,54.07,42.46
MIROC6,HOT_DRY,EL_NINO,351002,PRCPTOT,73.21,13.96,-59.25
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,PRCPTOT,15.43,40.85,25.42
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R20mm,152.78,59.03,-93.75
CanESM5,HOT_DRY,EL_NINO,351002,R20mm,27.78,55.55,27.77
CESM2,HOT_DRY,EL_NINO,351002,R20mm,159.72,1347.22,1187.5
EC-Earth3,HOT_DRY,EL_NINO,351002,R20mm,34.72,12.16,-22.56
FGOALS-g3,HOT_DRY,EL_NINO,351002,R20mm,90.28,34.72,-55.56
MIROC6,HOT_DRY,EL_NINO,351002,R20mm,440.97,81.35,-359.62
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R20mm,152.78,222.22,69.44
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R50mm,87.5,187.5,100.0
CanESM5,HOT_DRY,EL_NINO,351002,R50mm,87.5,62.5,-25.0
CESM2,HOT_DRY,EL_NINO,351002,R50mm,87.5,87.5,0.0
EC-Earth3,HOT_DRY,EL_NINO,351002,R50mm,87.5,187.5,100.0
FGOALS-g3,HOT_DRY,EL_NINO,351002,R50mm,187.5,62.5,-125.0
MIROC6,HOT_DRY,EL_NINO,351002,R50mm,87.5,187.5,100.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R50mm,87.5,87.5,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R95p,173.37,273.37,100.0
CanESM5,HOT_DRY,EL_NINO,351002,R95p,173.37,61.61,-111.76
CESM2,HOT_DRY,EL_NINO,351002,R95p,173.37,173.37,0.0
EC-Earth3,HOT_DRY,EL_NINO,351002,R95p,173.37,232.36,58.99
FGOALS-g3,HOT_DRY,EL_NINO,351002,R95p,178.29,63.52,-114.77
MIROC6,HOT_DRY,EL_NINO,351002,R95p,173.37,235.95,62.58
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R95p,173.37,173.37,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,R99p,229.03,329.03,100.0
CanESM5,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
CESM2,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
EC-Earth3,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
MIROC6,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,R99p,229.03,229.03,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,Rx1day,114.89,91.93,-22.96
CanESM5,HOT_DRY,EL_NINO,351002,Rx1day,83.93,22.6,-61.33
CESM2,HOT_DRY,EL_NINO,351002,Rx1day,45.43,217.7,172.27
EC-Earth3,HOT_DRY,EL_NINO,351002,Rx1day,24.49,58.73,34.24
FGOALS-g3,HOT_DRY,EL_NINO,351002,Rx1day,67.08,69.76,2.68
MIROC6,HOT_DRY,EL_NINO,351002,Rx1day,54.65,93.36,38.71
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,Rx1day,81.36,85.14,3.78
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,Rx5day,82.07,77.96,-4.11
CanESM5,HOT_DRY,EL_NINO,351002,Rx5day,52.51,46.87,-5.64
CESM2,HOT_DRY,EL_NINO,351002,Rx5day,0.46,220.54,220.08
EC-Earth3,HOT_DRY,EL_NINO,351002,Rx5day,12.24,46.07,33.83
FGOALS-g3,HOT_DRY,EL_NINO,351002,Rx5day,32.96,94.32,61.36
MIROC6,HOT_DRY,EL_NINO,351002,Rx5day,86.14,43.8,-42.34
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,Rx5day,48.31,66.02,17.71
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,SDII,68.85,50.02,-18.83
CanESM5,HOT_DRY,EL_NINO,351002,SDII,81.11,2.15,-78.96
CESM2,HOT_DRY,EL_NINO,351002,SDII,44.03,39.0,-5.03
EC-Earth3,HOT_DRY,EL_NINO,351002,SDII,46.19,51.27,5.08
FGOALS-g3,HOT_DRY,EL_NINO,351002,SDII,81.28,18.13,-63.15
MIROC6,HOT_DRY,EL_NINO,351002,SDII,0.73,90.6,89.87
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,SDII,71.07,31.88,-39.19
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,wet_day_freq,5.7,27.4,21.7
CanESM5,HOT_DRY,EL_NINO,351002,wet_day_freq,26.19,50.68,24.49
CESM2,HOT_DRY,EL_NINO,351002,wet_day_freq,38.46,148.76,110.3
EC-Earth3,HOT_DRY,EL_NINO,351002,wet_day_freq,29.44,77.6,48.16
FGOALS-g3,HOT_DRY,EL_NINO,351002,wet_day_freq,40.01,26.81,-13.2
MIROC6,HOT_DRY,EL_NINO,351002,wet_day_freq,42.78,60.19,17.41
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,wet_day_freq,34.4,20.2,-14.2
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,CDD,1.04,2.31,1.27
CanESM5,HOT_DRY,EL_NINO,351003,CDD,17.86,37.64,19.78
CESM2,HOT_DRY,EL_NINO,351003,CDD,10.57,15.58,5.01
EC-Earth3,HOT_DRY,EL_NINO,351003,CDD,6.62,12.91,6.29
FGOALS-g3,HOT_DRY,EL_NINO,351003,CDD,34.43,45.15,10.72
MIROC6,HOT_DRY,EL_NINO,351003,CDD,1.33,13.09,11.76
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,CDD,23.32,38.3,14.98
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,CWD,26.21,17.71,-8.5
CanESM5,HOT_DRY,EL_NINO,351003,CWD,33.87,142.24,108.37
CESM2,HOT_DRY,EL_NINO,351003,CWD,79.47,132.29,52.82
EC-Earth3,HOT_DRY,EL_NINO,351003,CWD,41.94,65.68,23.74
FGOALS-g3,HOT_DRY,EL_NINO,351003,CWD,76.49,97.92,21.43
MIROC6,HOT_DRY,EL_NINO,351003,CWD,89.21,67.56,-21.65
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,CWD,76.33,58.63,-17.7
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,PRCPTOT,0.55,22.8,22.25
CanESM5,HOT_DRY,EL_NINO,351003,PRCPTOT,0.71,67.12,66.41
CESM2,HOT_DRY,EL_NINO,351003,PRCPTOT,51.34,282.54,231.2
EC-Earth3,HOT_DRY,EL_NINO,351003,PRCPTOT,33.03,91.95,58.92
FGOALS-g3,HOT_DRY,EL_NINO,351003,PRCPTOT,19.93,65.59,45.66
MIROC6,HOT_DRY,EL_NINO,351003,PRCPTOT,80.84,58.36,-22.48
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,PRCPTOT,16.11,33.71,17.6
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R20mm,37.5,29.61,-7.89
CanESM5,HOT_DRY,EL_NINO,351003,R20mm,62.5,110.58,48.08
CESM2,HOT_DRY,EL_NINO,351003,R20mm,250.0,312.5,62.5
EC-Earth3,HOT_DRY,EL_NINO,351003,R20mm,156.25,133.93,-22.32
FGOALS-g3,HOT_DRY,EL_NINO,351003,R20mm,0.0,31.25,31.25
MIROC6,HOT_DRY,EL_NINO,351003,R20mm,133.93,87.5,-46.43
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R20mm,62.5,25.0,-37.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R50mm,25.0,41.67,16.67
CanESM5,HOT_DRY,EL_NINO,351003,R50mm,25.0,62.5,37.5
CESM2,HOT_DRY,EL_NINO,351003,R50mm,25.0,25.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351003,R50mm,25.0,25.0,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351003,R50mm,125.0,93.75,-31.25
