source_type,model,season_type,station,index,A_LaNina_pct,A_ElNino_pct,ASYM_pct,A_LaNina_abs,A_ElNino_abs,ASYM_abs
OBSERVED,OBSERVED,HOT_DRY,351007,R95p,-22.31,-74.35,52.04,-47.209,-157.345,110.136
OBSERVED,OBSERVED,HOT_DRY,351007,R99p,-33.5,-83.09,49.59,-53.773,-133.39,79.617
OBSERVED,OBSERVED,HOT_DRY,351007,Rx1day,-22.51,-34.18,11.67,-14.142,-21.47,7.328
OBSERVED,OBSERVED,HOT_DRY,351007,Rx5day,2.59,-44.5,47.09,2.689,-46.15,48.839
OBSERVED,OBSERVED,HOT_DRY,351007,SDII,-31.54,-47.64,16.1,-5.271,-7.96,2.689
OBSERVED,OBSERVED,HOT_DRY,351007,wet_day_freq,39.46,13.92,25.54,6.794,2.397,4.397
OBSERVED,OBSERVED,HOT_DRY,351008,CDD,-17.7,-27.61,9.91,-10.511,-16.4,5.889
OBSERVED,OBSERVED,HOT_DRY,351008,CWD,117.39,52.17,65.22,5.4,2.4,3.0
OBSERVED,OBSERVED,HOT_DRY,351008,PRCPTOT,-5.68,-18.53,12.85,-19.32,-63.02,43.7
OBSERVED,OBSERVED,HOT_DRY,351008,R20mm,-28.57,-28.57,0.0,-1.2,-1.2,0.0
OBSERVED,OBSERVED,HOT_DRY,351008,R50mm,-92.06,-28.57,-63.49,-1.289,-0.4,-0.889
OBSERVED,OBSERVED,HOT_DRY,351008,R95p,-51.18,-43.6,-7.58,-113.742,-96.895,-16.847
OBSERVED,OBSERVED,HOT_DRY,351008,R99p,-79.82,-47.59,-32.23,-123.518,-73.64,-49.878
OBSERVED,OBSERVED,HOT_DRY,351008,Rx1day,-56.58,-10.31,-46.27,-44.951,-8.19,-36.761
OBSERVED,OBSERVED,HOT_DRY,351008,Rx5day,-40.35,-16.83,-23.52,-50.313,-20.98,-29.333
OBSERVED,OBSERVED,HOT_DRY,351008,SDII,-62.36,-57.74,-4.62,-12.623,-11.687,-0.936
OBSERVED,OBSERVED,HOT_DRY,351008,wet_day_freq,77.54,36.12,41.42,10.701,4.985,5.716
OBSERVED,OBSERVED,HOT_DRY,351009,CDD,-23.36,16.03,-39.39,-9.111,6.25,-15.361
OBSERVED,OBSERVED,HOT_DRY,351009,CWD,59.72,-6.25,65.97,5.733,-0.6,6.333
OBSERVED,OBSERVED,HOT_DRY,351009,PRCPTOT,33.93,-8.5,42.43,71.253,-17.855,89.108
OBSERVED,OBSERVED,HOT_DRY,351009,R20mm,66.67,-37.5,104.17,0.267,-0.15,0.417
OBSERVED,OBSERVED,HOT_DRY,351009,R50mm,0.0,0.0,0.0,0.0,0.0,0.0
OBSERVED,OBSERVED,HOT_DRY,351009,R95p,14.65,-9.43,24.08,4.182,-2.69,6.872
OBSERVED,OBSERVED,HOT_DRY,351009,R99p,38.76,-15.5,54.26,5.0,-2.0,7.0
OBSERVED,OBSERVED,HOT_DRY,351009,Rx1day,4.55,13.13,-8.58,0.824,2.38,-1.556
OBSERVED,OBSERVED,HOT_DRY,351009,Rx5day,23.62,-15.47,39.09,9.733,-6.375,16.108
OBSERVED,OBSERVED,HOT_DRY,351009,SDII,-0.92,-5.69,4.77,-0.038,-0.236,0.198
OBSERVED,OBSERVED,HOT_DRY,351009,wet_day_freq,33.42,-3.61,37.03,9.482,-1.024,10.506
OBSERVED,OBSERVED,HOT_DRY,351010,CDD,-12.42,8.37,-20.79,-5.044,3.4,-8.444
OBSERVED,OBSERVED,HOT_DRY,351010,CWD,42.36,-14.06,56.42,4.067,-1.35,5.417
OBSERVED,OBSERVED,HOT_DRY,351010,PRCPTOT,26.11,-10.94,37.05,55.662,-23.31,78.972
OBSERVED,OBSERVED,HOT_DRY,351010,R20mm,122.22,-37.5,159.72,0.489,-0.15,0.639
OBSERVED,OBSERVED,HOT_DRY,351010,R50mm,0.0,0.0,0.0,0.0,0.0,0.0
OBSERVED,OBSERVED,HOT_DRY,351010,R95p,-5.46,-29.31,23.85,-2.102,-11.28,9.178
OBSERVED,OBSERVED,HOT_DRY,351010,R99p,166.1,-9.8,175.9,11.693,-0.69,12.383
OBSERVED,OBSERVED,HOT_DRY,351010,Rx1day,6.95,7.36,-0.41,1.26,1.335,-0.075
OBSERVED,OBSERVED,HOT_DRY,351010,Rx5day,18.32,-18.1,36.42,7.876,-7.78,15.656
OBSERVED,OBSERVED,HOT_DRY,351010,SDII,-6.39,-3.82,-2.57,-0.292,-0.175,-0.117
OBSERVED,OBSERVED,HOT_DRY,351010,wet_day_freq,36.54,-5.1,41.64,9.359,-1.306,10.665
OBSERVED,OBSERVED,HOT_DRY,351011,CDD,21.09,-12.6,33.69,10.8,-6.45,17.25
OBSERVED,OBSERVED,HOT_DRY,351011,CWD,8.59,-26.14,34.73,0.378,-1.15,1.528
OBSERVED,OBSERVED,HOT_DRY,351011,PRCPTOT,4.23,3.91,0.32,15.358,14.205,1.153
OBSERVED,OBSERVED,HOT_DRY,351011,R20mm,13.25,0.96,12.29,0.689,0.05,0.639
OBSERVED,OBSERVED,HOT_DRY,351011,R50mm,55.56,75.0,-19.44,0.556,0.75,-0.194
OBSERVED,OBSERVED,HOT_DRY,351011,R95p,2.88,63.71,-60.83,4.093,90.435,-86.342
OBSERVED,OBSERVED,HOT_DRY,351011,R99p,-79.71,3.89,-83.6,-89.756,4.375,-94.131
OBSERVED,OBSERVED,HOT_DRY,351011,Rx1day,-41.12,23.0,-64.12,-46.204,25.84,-72.044
OBSERVED,OBSERVED,HOT_DRY,351011,Rx5day,-16.91,38.18,-55.09,-23.213,52.42,-75.633
OBSERVED,OBSERVED,HOT_DRY,351011,SDII,-0.82,30.0,-30.82,-0.136,4.981,-5.117
OBSERVED,OBSERVED,HOT_DRY,351011,wet_day_freq,5.21,-16.98,22.19,0.616,-2.007,2.623
OBSERVED,OBSERVED,HOT_DRY,351012,CDD,-21.42,-3.41,-18.01,-16.022,-2.55,-13.472
OBSERVED,OBSERVED,HOT_DRY,351012,CWD,17.65,-19.12,36.77,0.6,-0.65,1.25
OBSERVED,OBSERVED,HOT_DRY,351012,PRCPTOT,57.07,22.53,34.54,103.358,40.805,62.553
OBSERVED,OBSERVED,HOT_DRY,351012,R20mm,75.21,-3.85,79.06,1.956,-0.1,2.056
OBSERVED,OBSERVED,HOT_DRY,351012,R50mm,22.22,25.0,-2.78,0.222,0.25,-0.028
OBSERVED,OBSERVED,HOT_DRY,351012,R95p,46.64,71.62,-24.98,38.667,59.375,-20.708
OBSERVED,OBSERVED,HOT_DRY,351012,R99p,0.0,0.0,0.0,65.444,74.625,-9.181
OBSERVED,OBSERVED,HOT_DRY,351012,Rx1day,33.58,109.45,-75.87,19.278,62.825,-43.547
OBSERVED,OBSERVED,HOT_DRY,351012,Rx5day,40.33,65.65,-25.32,34.873,56.765,-21.892
OBSERVED,OBSERVED,HOT_DRY,351012,SDII,12.01,111.11,-99.1,1.732,16.016,-14.284
OBSERVED,OBSERVED,HOT_DRY,351012,wet_day_freq,25.63,-25.78,51.41,1.812,-1.822,3.634
OBSERVED,OBSERVED,HOT_DRY,351201,CDD,1.51,15.35,-13.84,0.978,9.95,-8.972
OBSERVED,OBSERVED,HOT_DRY,351201,CWD,-0.97,-40.22,39.25,-0.044,-1.85,1.806
OBSERVED,OBSERVED,HOT_DRY,351201,PRCPTOT,9.84,8.01,1.83,22.353,18.195,4.158
OBSERVED,OBSERVED,HOT_DRY,351201,R20mm,43.52,56.25,-12.73,1.044,1.35,-0.306
OBSERVED,OBSERVED,HOT_DRY,351201,R50mm,-22.22,0.0,-22.22,-0.222,0.0,-0.222
OBSERVED,OBSERVED,HOT_DRY,351201,R95p,-25.05,47.45,-72.5,-22.122,41.9,-64.022
OBSERVED,OBSERVED,HOT_DRY,351201,R99p,-59.18,99.67,-158.85,-31.544,53.125,-84.669
OBSERVED,OBSERVED,HOT_DRY,351201,Rx1day,-19.37,23.34,-42.71,-13.72,16.53,-30.25
OBSERVED,OBSERVED,HOT_DRY,351201,Rx5day,1.25,10.95,-9.7,1.244,10.9,-9.656
OBSERVED,OBSERVED,HOT_DRY,351201,SDII,2.44,78.05,-75.61,0.287,9.188,-8.901
OBSERVED,OBSERVED,HOT_DRY,351201,wet_day_freq,0.96,-34.98,35.94,0.106,-3.862,3.968
OBSERVED,OBSERVED,RAINY,351001,CDD,-1.54,38.46,-40.0,-0.2,5.0,-5.2
OBSERVED,OBSERVED,RAINY,351001,CWD,64.65,-30.23,94.88,4.633,-2.167,6.8
OBSERVED,OBSERVED,RAINY,351001,PRCPTOT,12.68,-27.02,39.7,106.117,-226.083,332.2
OBSERVED,OBSERVED,RAINY,351001,R20mm,4.1,-49.4,53.5,0.567,-6.833,7.4
OBSERVED,OBSERVED,RAINY,351001,R50mm,90.0,-50.0,140.0,1.8,-1.0,2.8
OBSERVED,OBSERVED,RAINY,351001,R95p,80.49,-4.73,85.22,144.507,-8.483,152.99
OBSERVED,OBSERVED,RAINY,351001,R99p,109.96,240.74,-130.78,55.2,120.85,-65.65
OBSERVED,OBSERVED,RAINY,351001,Rx1day,37.34,84.42,-47.08,30.273,68.433,-38.16
OBSERVED,OBSERVED,RAINY,351001,Rx5day,46.1,39.64,6.46,65.213,56.083,9.13
OBSERVED,OBSERVED,RAINY,351001,SDII,19.79,0.54,19.25,2.314,0.063,2.251
OBSERVED,OBSERVED,RAINY,351001,wet_day_freq,-5.61,-25.51,19.9,-2.192,-9.96,7.768
OBSERVED,OBSERVED,RAINY,351002,CDD,-28.22,3.74,-31.96,-5.033,0.667,-5.7
OBSERVED,OBSERVED,RAINY,351002,CWD,-22.67,6.67,-29.34,-1.7,0.5,-2.2
OBSERVED,OBSERVED,RAINY,351002,PRCPTOT,-5.01,0.21,-5.22,-48.133,2.017,-50.15
OBSERVED,OBSERVED,RAINY,351002,R20mm,-3.48,10.87,-14.35,-0.533,1.667,-2.2
OBSERVED,OBSERVED,RAINY,351002,R50mm,-37.14,-14.29,-22.85,-1.3,-0.5,-0.8
OBSERVED,OBSERVED,RAINY,351002,R95p,-39.98,-16.61,-23.37,-137.857,-57.267,-80.59
OBSERVED,OBSERVED,RAINY,351002,R99p,-48.45,3.42,-51.87,-57.39,4.05,-61.44
OBSERVED,OBSERVED,RAINY,351002,Rx1day,-22.16,-9.79,-12.37,-20.857,-9.217,-11.64
OBSERVED,OBSERVED,RAINY,351002,Rx5day,-0.87,-6.41,5.54,-1.52,-11.25,9.73
OBSERVED,OBSERVED,RAINY,351002,SDII,-16.32,-1.55,-14.77,-2.528,-0.24,-2.288
OBSERVED,OBSERVED,RAINY,351002,wet_day_freq,9.68,-0.79,10.47,3.369,-0.273,3.642
OBSERVED,OBSERVED,RAINY,351003,CDD,29.06,81.13,-52.07,2.567,7.167,-4.6
OBSERVED,OBSERVED,RAINY,351003,CWD,6.35,-53.08,59.43,2.233,-18.667,20.9
OBSERVED,OBSERVED,RAINY,351003,PRCPTOT,-5.03,6.66,-11.69,-58.59,77.6,-136.19
OBSERVED,OBSERVED,RAINY,351003,R20mm,3.82,44.94,-41.12,0.567,6.667,-6.1
OBSERVED,OBSERVED,RAINY,351003,R50mm,-4.0,40.0,-44.0,-0.1,1.0,-1.1
OBSERVED,OBSERVED,RAINY,351003,R95p,-4.63,85.36,-89.99,-12.103,223.117,-235.22
OBSERVED,OBSERVED,RAINY,351003,R99p,1.87,28.07,-26.2,1.79,26.85,-25.06
OBSERVED,OBSERVED,RAINY,351003,Rx1day,2.76,54.83,-52.07,2.183,43.383,-41.2
OBSERVED,OBSERVED,RAINY,351003,Rx5day,19.19,31.11,-11.92,24.64,39.95,-15.31
OBSERVED,OBSERVED,RAINY,351003,SDII,3.27,25.05,-21.78,0.421,3.228,-2.807
OBSERVED,OBSERVED,RAINY,351003,wet_day_freq,-11.94,-28.02,16.08,-6.989,-16.393,9.404
OBSERVED,OBSERVED,RAINY,351004,CDD,-12.4,-10.0,-2.4,-2.067,-1.667,-0.4
OBSERVED,OBSERVED,RAINY,351004,CWD,6.96,4.35,2.61,0.533,0.333,0.2
OBSERVED,OBSERVED,RAINY,351004,PRCPTOT,7.71,17.25,-9.54,66.477,148.667,-82.19
OBSERVED,OBSERVED,RAINY,351004,R20mm,12.21,32.47,-20.26,1.567,4.167,-2.6
OBSERVED,OBSERVED,RAINY,351004,R50mm,20.0,-7.69,27.69,0.433,-0.167,0.6
OBSERVED,OBSERVED,RAINY,351004,R95p,15.41,59.55,-44.14,30.84,119.15,-88.31
OBSERVED,OBSERVED,RAINY,351004,R99p,179.97,99.08,80.89,71.867,39.567,32.3
OBSERVED,OBSERVED,RAINY,351004,Rx1day,15.45,-21.92,37.37,13.25,-18.8,32.05
OBSERVED,OBSERVED,RAINY,351004,Rx5day,60.21,20.46,39.75,74.45,25.3,49.15
OBSERVED,OBSERVED,RAINY,351004,SDII,12.93,6.36,6.57,1.621,0.797,0.824
OBSERVED,OBSERVED,RAINY,351004,wet_day_freq,-4.18,9.22,-13.4,-1.558,3.442,-5.0
OBSERVED,OBSERVED,RAINY,351005,CDD,51.84,108.16,-56.32,4.233,8.833,-4.6
OBSERVED,OBSERVED,RAINY,351005,CWD,-70.0,-82.07,12.07,-21.467,-25.167,3.7
OBSERVED,OBSERVED,RAINY,351005,PRCPTOT,-4.47,5.23,-9.7,-40.403,47.267,-87.67
OBSERVED,OBSERVED,RAINY,351005,R20mm,5.45,36.36,-30.91,0.6,4.0,-3.4
OBSERVED,OBSERVED,RAINY,351005,R50mm,0.0,50.0,-50.0,0.0,1.0,-1.0
OBSERVED,OBSERVED,RAINY,351005,R95p,10.19,40.43,-30.24,19.823,78.683,-58.86
OBSERVED,OBSERVED,RAINY,351005,R99p,17.14,199.2,-182.06,9.693,112.683,-102.99
OBSERVED,OBSERVED,RAINY,351005,Rx1day,21.83,25.89,-4.06,15.503,18.383,-2.88
OBSERVED,OBSERVED,RAINY,351005,Rx5day,21.65,28.66,-7.01,25.23,33.4,-8.17
OBSERVED,OBSERVED,RAINY,351005,SDII,18.44,31.19,-12.75,2.034,3.44,-1.406
OBSERVED,OBSERVED,RAINY,351005,wet_day_freq,-29.13,-34.06,4.93,-15.725,-18.387,2.662
OBSERVED,OBSERVED,RAINY,351006,CDD,71.0,12.5,58.5,4.733,0.833,3.9
