source_type,model,season_type,station,ENSO_phase,index,neutral_value,phase_value,abs_response,pct_response
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,R99p,87.233,43.85,-43.383,-49.73
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,CDD,6.667,7.5,0.833,12.5
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,CWD,49.833,50.0,0.167,0.33
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,PRCPTOT,901.95,998.94,96.99,10.75
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,wet_day_freq,71.287,67.61,-3.677,-5.16
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,SDII,8.555,11.148,2.593,30.31
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,Rx1day,64.2,62.36,-1.84,-2.87
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,Rx5day,98.033,188.12,90.087,91.89
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,R20mm,6.167,8.6,2.433,39.46
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,R50mm,0.5,2.4,1.9,380.0
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,R95p,217.783,357.16,139.377,64.0
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,R99p,87.233,193.06,105.827,121.31
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,CDD,6.667,11.4,4.733,71.0
OBSERVED,OBSERVED,RAINY,351006,LA_NINA,CWD,49.833,48.4,-1.433,-2.88
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,PRCPTOT,900.683,938.5,37.817,4.2
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,wet_day_freq,73.642,89.405,15.763,21.41
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,SDII,7.7,5.695,-2.005,-26.04
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,Rx1day,50.733,37.4,-13.333,-26.28
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,Rx5day,86.683,79.3,-7.383,-8.52
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,R20mm,6.0,3.0,-3.0,-50.0
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,R50mm,0.333,0.0,-0.333,-100.0
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,R95p,199.167,105.35,-93.817,-47.1
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,R99p,56.883,39.85,-17.033,-29.94
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,CDD,5.667,7.5,1.833,32.35
OBSERVED,OBSERVED,RAINY,351007,EL_NINO,CWD,49.5,73.0,23.5,47.47
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,PRCPTOT,900.683,961.04,60.357,6.7
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,wet_day_freq,73.642,69.674,-3.968,-5.39
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,SDII,7.7,9.324,1.624,21.09
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,Rx1day,50.733,76.6,25.867,50.99
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,Rx5day,86.683,128.56,41.877,48.31
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,R20mm,6.0,7.4,1.4,23.33
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,R50mm,0.333,1.0,0.667,200.0
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,R95p,199.167,287.64,88.473,44.42
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,R99p,56.883,134.7,77.817,136.8
OBSERVED,OBSERVED,RAINY,351007,LA_NINA,CDD,5.667,7.8,2.133,37.65
