season_type,ENSO_phase,station,index,observed_pct_response,raw_dir_agreement,qdm_dir_agreement
HOT_DRY,EL_NINO,351011,Rx5day,38.18,0.43,0.57
HOT_DRY,EL_NINO,351011,SDII,30.0,0.43,0.71
HOT_DRY,EL_NINO,351011,wet_day_freq,-16.98,0.14,0.43
HOT_DRY,EL_NINO,351012,CDD,-3.41,0.86,0.71
HOT_DRY,EL_NINO,351012,CWD,-19.12,0.57,0.71
HOT_DRY,EL_NINO,351012,PRCPTOT,22.53,0.43,0.86
HOT_DRY,EL_NINO,351012,R20mm,-3.85,0.14,0.14
HOT_DRY,EL_NINO,351012,R50mm,25.0,0.0,0.71
HOT_DRY,EL_NINO,351012,R95p,71.62,0.0,0.86
HOT_DRY,EL_NINO,351012,R99p,0.0,1.0,0.86
HOT_DRY,EL_NINO,351012,Rx1day,109.45,0.57,0.86
HOT_DRY,EL_NINO,351012,Rx5day,65.65,0.43,0.71
HOT_DRY,EL_NINO,351012,SDII,111.11,0.43,0.86
HOT_DRY,EL_NINO,351012,wet_day_freq,-25.78,0.14,0.43
HOT_DRY,EL_NINO,351201,CDD,15.35,0.57,0.43
HOT_DRY,EL_NINO,351201,CWD,-40.22,0.43,0.43
HOT_DRY,EL_NINO,351201,PRCPTOT,8.01,0.43,0.86
HOT_DRY,EL_NINO,351201,R20mm,56.25,0.57,0.71
HOT_DRY,EL_NINO,351201,R50mm,0.0,0.86,0.14
HOT_DRY,EL_NINO,351201,R95p,47.45,0.0,0.57
HOT_DRY,EL_NINO,351201,R99p,99.67,0.0,0.29
HOT_DRY,EL_NINO,351201,Rx1day,23.34,0.43,0.71
HOT_DRY,EL_NINO,351201,Rx5day,10.95,0.43,0.71
HOT_DRY,EL_NINO,351201,SDII,78.05,0.43,0.71
HOT_DRY,EL_NINO,351201,wet_day_freq,-34.98,0.14,0.14
HOT_DRY,LA_NINA,351001,CDD,9.2,0.71,0.57
HOT_DRY,LA_NINA,351001,CWD,48.15,0.57,0.57
HOT_DRY,LA_NINA,351001,PRCPTOT,-7.56,0.43,0.43
HOT_DRY,LA_NINA,351001,R20mm,3.7,0.43,0.57
HOT_DRY,LA_NINA,351001,R50mm,29.63,0.14,0.14
HOT_DRY,LA_NINA,351001,R95p,-39.89,0.14,0.43
HOT_DRY,LA_NINA,351001,R99p,-82.98,0.0,0.57
HOT_DRY,LA_NINA,351001,Rx1day,-39.39,0.43,0.57
HOT_DRY,LA_NINA,351001,Rx5day,-21.33,0.43,0.43
HOT_DRY,LA_NINA,351001,SDII,-26.11,0.57,0.86
HOT_DRY,LA_NINA,351001,wet_day_freq,9.33,0.57,0.71
HOT_DRY,LA_NINA,351002,CDD,8.71,0.71,0.43
HOT_DRY,LA_NINA,351002,CWD,29.63,0.57,0.71
HOT_DRY,LA_NINA,351002,PRCPTOT,10.23,0.57,0.57
