model,scenario,window,index,delta_abs_Bias-corrected,delta_abs_Raw,delta_pct_Bias-corrected,delta_pct_Raw,sign_preserved,abs_pct_difference
CanESM5,ssp245,Long-term,Rx5day,8.97315384615382,-5.552095499999993,6.020995104789691,-4.872550163936722,False,10.893545268726413
CanESM5,ssp245,Long-term,SDII,0.09029871380169041,0.06749251566485803,0.7774320463098089,1.0696999420131477,True,0.2922678957033388
CanESM5,ssp245,Mid-term,CDD,-2.6269230769230774,6.049999999999997,-4.087372830640336,27.94457274826789,False,32.03194557890823
CanESM5,ssp245,Mid-term,CWD,1.0538461538461537,2.1999999999999993,11.012861736334402,9.128630705394187,True,1.8842310309402155
CanESM5,ssp245,Mid-term,PRCPTOT,-17.95073076923086,35.04652500000043,-1.9386532403953125,2.6107144885742306,False,4.549367728969543
CanESM5,ssp245,Mid-term,R10mm,-1.3076923076923066,1.1999999999999815,-4.410429368270849,2.588996763754005,False,6.999426132024854
CanESM5,ssp245,Mid-term,R20mm,-0.36153846153846025,1.0500000000000007,-2.8381642512077194,20.38834951456312,False,23.22651376577084
CanESM5,ssp245,Mid-term,R50mm,0.11153846153846159,-0.14999999999999986,6.636155606407326,-27.27272727272725,False,33.90888287913457
CanESM5,ssp245,Mid-term,R95p,1.4879230769230958,9.682588461538472,0.49851184819344535,6.4585028468000605,True,5.9599909986066155
CanESM5,ssp245,Mid-term,R99p,10.025115384615418,4.326384615384633,8.646532238107495,7.459618710999193,True,1.1869135271083024
CanESM5,ssp245,Mid-term,Rx1day,2.326807692307696,2.6555500000000194,3.45779537181146,5.403950680594005,True,1.9461553087825454
CanESM5,ssp245,Mid-term,Rx5day,6.4193461538461065,7.88303999999998,4.307387617657411,6.918200136204373,True,2.610812518546962
CanESM5,ssp245,Mid-term,SDII,-0.26897805765573324,0.058491247081915,-2.3157822849501075,0.9270373610385231,False,3.2428196459886305
CanESM5,ssp245,Near-term,CDD,-0.05384615384615188,-1.75,-0.0837821663674416,-8.083140877598153,True,7.999358711230711
CanESM5,ssp245,Near-term,CWD,0.5076923076923077,1.29999999999999,5.305466237942122,5.394190871369252,True,0.08872463342713033
CanESM5,ssp245,Near-term,PRCPTOT,75.65338461538443,89.5502550000001,8.17045729875721,6.670851052537002,True,1.4996062462202078
CanESM5,ssp245,Near-term,R10mm,2.26923076923077,4.549999999999983,7.653392139058247,9.81661272923405,True,2.1632205901758033
CanESM5,ssp245,Near-term,R20mm,0.8692307692307679,0.5500000000000007,6.823671497584531,10.67961165048545,True,3.855940152900919
CanESM5,ssp245,Near-term,R50mm,0.47307692307692295,0.04999999999999993,28.14645308924484,9.09090909090908,True,19.05554399833576
CanESM5,ssp245,Near-term,R95p,37.40661538461535,13.05409615384616,12.532664664767331,8.707373808864855,True,3.8252908559024767
CanESM5,ssp245,Near-term,R99p,26.92661538461539,-5.171011538461521,23.223857188066635,-8.915937406473724,False,32.13979459454036
CanESM5,ssp245,Near-term,Rx1day,-1.1241923076923115,-4.523950000000006,-1.6706266578950584,-9.206078846744782,True,7.535452188849725
CanESM5,ssp245,Near-term,Rx5day,-4.046384615384625,-0.664432000000005,-2.7151280786041587,-0.5831092513673138,True,2.1320188272368448
CanESM5,ssp245,Near-term,SDII,-0.1356148580269494,0.21735764524011003,-1.1675840346679642,3.4449369418085256,False,4.61252097647649
CanESM5,ssp585,Long-term,CDD,2.67307692307692,13.95000000000001,4.15918611609814,64.43418013856818,True,60.27499402247004
CanESM5,ssp585,Long-term,CWD,-1.0807692307692296,-0.8000000000000007,-11.294212218649506,-3.319502074688799,True,7.974710143960706
CanESM5,ssp585,Long-term,PRCPTOT,-492.46065384615383,-565.1435049999998,-53.18504603625935,-42.09913355538401,True,11.085912480875344
CanESM5,ssp585,Long-term,R10mm,-18.06153846153846,-21.800000000000004,-60.91581268647036,-47.03344120819849,True,13.882371478271871
CanESM5,ssp585,Long-term,R20mm,-8.830769230769231,-3.250000000000001,-69.32367149758454,-63.106796116504874,True,6.216875381079667
CanESM5,ssp585,Long-term,R50mm,-1.1807692307692308,-0.4499999999999999,-70.25171624713958,-81.81818181818181,True,11.56646557104223
CanESM5,ssp585,Long-term,R95p,-205.85211538461536,-94.68657307692308,-68.96842994540029,-63.158059872130806,True,5.810370073269482
CanESM5,ssp585,Long-term,R99p,-76.25996153846152,-42.86994999999999,-65.77322959604423,-73.91702532003592,True,8.143795723991687
CanESM5,ssp585,Long-term,Rx1day,-20.275230769230774,-17.610199999999985,-30.130379639033993,-35.83613649729652,True,5.705756858262529
CanESM5,ssp585,Long-term,Rx5day,-59.49623076923079,-36.013176000000016,-39.92202968508376,-31.605365329663783,True,8.316664355419974
CanESM5,ssp585,Long-term,SDII,-4.528157373119496,-1.3306686410391526,-38.98543516719767,-21.089985372992093,True,17.89544979420558
CanESM5,ssp585,Mid-term,CDD,-2.680769230769215,4.049999999999997,-4.171154997007756,18.706697459584284,False,22.877852456592038
CanESM5,ssp585,Mid-term,CWD,0.7423076923076941,6.2500000000000036,7.757234726688122,25.93360995850623,True,18.17637523181811
CanESM5,ssp585,Mid-term,PRCPTOT,-17.16323076923061,1.9407600000004095,-1.85360436709659,0.14457268590384728,False,1.9981770530004372
CanESM5,ssp585,Mid-term,R10mm,-0.6269230769230774,4.75,-2.1144117265533806,10.24811218985976,False,12.362523916413142
CanESM5,ssp585,Mid-term,R20mm,-1.1999999999999993,-0.5499999999999998,-9.42028985507246,-10.679611650485434,True,1.2593217954129745
CanESM5,ssp585,Mid-term,R50mm,-0.1846153846153844,-0.25,-10.98398169336383,-45.45454545454546,True,34.47056376118163
CanESM5,ssp585,Mid-term,R95p,-32.95773076923075,-23.381926923076904,-11.042116042723617,-15.596267691869736,True,4.554151649146119
CanESM5,ssp585,Mid-term,R99p,-7.630423076923066,-31.816719230769216,-6.581141123449091,-54.85887529566148,True,48.277734172212384
CanESM5,ssp585,Mid-term,Rx1day,1.3408846153846241,-13.424049999999987,1.9926462477058948,-27.317468748028602,False,29.310114995734498
CanESM5,ssp585,Mid-term,Rx5day,-5.584423076923088,-15.309840000000023,-3.7471534073430286,-13.436001488419134,True,9.688848081076106
CanESM5,ssp585,Mid-term,SDII,-1.0589446356239876,0.03354505254169737,-9.117045640427937,0.5316610353785537,False,9.64870667580649
CanESM5,ssp585,Near-term,CDD,2.6269230769230916,7.45000000000001,4.0873728306403585,34.41108545034647,True,30.32371261970611
CanESM5,ssp585,Near-term,CWD,0.05384615384615543,2.0,0.5627009646302417,8.29875518672199,True,7.736054222091749
CanESM5,ssp585,Near-term,PRCPTOT,39.57026923076921,30.79067000000009,4.273532462479945,2.2936838468837397,True,1.9798486155962056
CanESM5,ssp585,Near-term,R10mm,0.46538461538461817,2.299999999999983,1.5695939810611068,4.962243797195216,True,3.3926498161341088
CanESM5,ssp585,Near-term,R20mm,0.18076923076923102,-0.40000000000000036,1.4190821256038668,-7.766990291262142,False,9.18607241686601
CanESM5,ssp585,Near-term,R50mm,0.27692307692307705,-0.14999999999999986,16.475972540045774,-27.27272727272725,False,43.748699812773026
CanESM5,ssp585,Near-term,R95p,23.37188461538466,-11.427699999999987,7.830486384735034,-7.622531234860508,False,15.453017619595542
CanESM5,ssp585,Near-term,R99p,27.973307692307714,-19.49916153846153,24.126615753392414,-33.62075339854447,False,57.74736915193689
CanESM5,ssp585,Near-term,Rx1day,15.929346153846154,-5.393699999999988,23.67209786560569,-10.975989450742638,False,34.648087316348324
CanESM5,ssp585,Near-term,Rx5day,9.57184615384611,-4.498164000000031,6.422718235329308,-3.947613965864679,False,10.370332201193987
CanESM5,ssp585,Near-term,SDII,-0.09463508754578775,0.06906035939075572,-0.8147663091304451,1.0945489541763094,False,1.9093152633067545
EC-Earth3,ssp245,Long-term,CDD,-3.5730769230769255,4.511538461538471,-5.747339767384314,13.537218695903091,False,19.284558463287404
