model,station,variant,scale,n,r,rmse,mae,pbias_pct,nse,kge
ACCESS-ESM1-5,351201,Raw,Monthly,408,0.25634108638460895,102.69171519911802,69.45732598039216,-38.92668099257558,-0.16335006161041177,0.05619758322623902
ACCESS-ESM1-5,351201,Bias-corrected,Daily,12418,0.035932656675123485,14.566140714508613,5.73565227894991,33.37941377938836,-1.3310929013605395,-0.03698171668191885
ACCESS-ESM1-5,351201,Bias-corrected,Monthly,408,0.32143423697409024,156.5589278826184,96.23973039215686,33.37941377938836,-1.7039289710435268,0.0161987624650195
CanESM5,351001,Raw,Daily,12410,0.07501136265351285,11.500187644858762,5.414241337630942,54.39185990224088,-0.3896994648137222,-0.11831998492705487
CanESM5,351001,Raw,Monthly,408,0.5008246213118476,111.38886586087526,80.00094852941176,54.37545598356687,-0.27481722998872393,0.2591733493557701
CanESM5,351001,Bias-corrected,Daily,12410,0.046932604388203805,13.569846752204828,4.9307969379532635,12.503040213464287,-0.9349106860635494,0.03865933389710696
CanESM5,351001,Bias-corrected,Monthly,408,0.4090243804723922,123.23150807365721,72.05139705882353,12.491086923158635,-0.5602992044478488,0.3441477954355273
CanESM5,351002,Raw,Daily,12410,0.06014412508182353,10.72049341259949,5.3663212731668,56.47813028195348,-0.5342334989034827,-0.11992029710381003
CanESM5,351002,Raw,Monthly,408,0.39390011065197156,115.79300508872693,84.36110049019608,56.39952697470124,-0.8219512632930848,0.1426902092803949
CanESM5,351002,Bias-corrected,Daily,12410,0.05764610392297342,10.924405717936727,4.186583400483481,-14.389828733826949,-0.5931532513254609,0.03144792224019943
CanESM5,351002,Bias-corrected,Monthly,408,0.4590420576237782,93.24835937420235,59.03191176470588,-14.432833098614699,-0.18155652957712443,0.4357618618614467
CanESM5,351003,Raw,Daily,12410,0.06188878404232522,11.707774630288805,5.823957856567286,11.793503559620152,-0.3638384290678951,-0.002548073178040955
CanESM5,351003,Raw,Monthly,408,0.38491413948130154,118.61727891989555,85.34179166666667,11.789680767167544,-0.21568060624065888,0.37321300705585536
CanESM5,351003,Bias-corrected,Daily,12410,0.044366411377088404,13.537821509861796,5.505489121676067,-25.279907328051443,-0.8235252588213446,0.010124953030755335
CanESM5,351003,Bias-corrected,Monthly,408,0.3603735723947497,127.10820112847813,83.55696078431374,-25.282462390709195,-0.39595275213553305,0.31140083461825085
CanESM5,351004,Raw,Daily,12410,0.053226713948845636,11.45238396974936,5.655239564867044,39.877006963535024,-0.42764464873175334,-0.07100745286056331
CanESM5,351004,Raw,Monthly,408,0.35834119150374427,118.9576532889219,85.69220343137253,39.854567281983265,-0.5876823061452137,0.23654574241406134
CanESM5,351004,Bias-corrected,Daily,12410,0.03848026784379072,13.631623211412535,5.027811442385174,-6.736177222501532,-1.022662709351299,0.03481415804969812
CanESM5,351004,Bias-corrected,Monthly,408,0.33342958481018303,126.0204430836521,74.47220588235294,-6.751139013069247,-0.7818077067401759,0.2753468278588581
