scenario,window,index,model_median_abs,model_q25_abs,model_q75_abs,model_median_pct,model_q25_pct,model_q75_pct,model_agreement,model_classification,obs_median_pct,sign_reversal
ssp245,Long-term,R99p,28.662230769230774,-10.820442307692325,47.756076923076904,24.720802988716684,-9.624081632148492,30.226034112258738,0.7142857142857143,ambiguous,61.286893299272954,False
ssp245,Long-term,Rx5day,8.97315384615382,-8.65371153846155,31.017519230769224,6.020995104789691,-5.615432394655876,18.427108257218524,0.7142857142857143,ambiguous,21.74693901546123,False
ssp245,Long-term,SDII,0.09029871380169041,-1.009698084473401,0.23524036477122934,0.7774320463098089,-8.37562566561733,1.8964792004979307,0.5714285714285714,ambiguous,16.38704949618169,False
ssp585,Long-term,CDD,0.12692307692308447,-2.365384615384606,3.5134615384615344,0.2112405581871845,-3.844080801630883,5.606072808827882,0.5714285714285714,ambiguous,27.948303715670484,False
ssp585,Long-term,CWD,-1.73076923076923,-2.463461538461538,-0.5999999999999996,-13.983840894965809,-21.846556508825284,-6.151171149975162,0.8571428571428571,robust decrease,-70.77199281867146,False
ssp585,Long-term,PRCPTOT,-492.46065384615383,-524.8620384615382,-189.24648076923086,-46.72778398626971,-52.769206014941716,-17.274815087288825,1.0,robust decrease,-45.82002272592995,False
ssp585,Long-term,R50mm,-1.1807692307692308,-1.5346153846153845,-0.5576923076923075,-68.58552631578947,-72.2603610475464,-25.866647894895138,0.8571428571428571,robust decrease,-65.83184257602862,False
ssp585,Long-term,R99p,-76.25996153846152,-99.29298076923077,-33.823923076923094,-62.59948680188961,-68.95140812383774,-22.761434397227056,0.8571428571428571,robust decrease,-48.74670858714875,False
ssp585,Long-term,Rx5day,-44.950192307692305,-59.76969230769232,-13.853326923076892,-25.166259827870153,-38.96459882585411,-8.318235942986458,0.8571428571428571,robust decrease,-7.135501007412639,False
ssp585,Long-term,SDII,-3.447622217076555,-4.386285624799807,-1.9590997811255626,-27.714803739551122,-37.314622227246915,-15.857427818657989,1.0,robust decrease,-13.149719370512663,False
