model,station,index,bc_hist_mean,obs_mean,bias_abs,bias_pct
ACCESS-ESM1-5,351012,R10mm,46.3,25.55,20.749999999999996,81.21330724070448
ACCESS-ESM1-5,351012,R20mm,24.15,12.7,11.45,90.15748031496064
ACCESS-ESM1-5,351012,R50mm,4.2,3.15,1.0500000000000003,33.33333333333334
ACCESS-ESM1-5,351012,R95p,389.9755,302.75,87.22550000000001,28.811065235342696
ACCESS-ESM1-5,351012,R99p,57.849000000000004,129.48,-71.63099999999999,-55.32205746061167
ACCESS-ESM1-5,351012,Rx1day,79.4605,113.89000000000001,-34.42950000000002,-30.230485556238484
ACCESS-ESM1-5,351012,Rx5day,225.78250000000003,198.625,27.157500000000027,13.672750157331668
ACCESS-ESM1-5,351012,SDII,14.46691584039416,11.876607222495185,2.590308617898975,21.810173304314855
ACCESS-ESM1-5,351201,CDD,63.9,50.8,13.100000000000001,25.787401574803155
ACCESS-ESM1-5,351201,CWD,10.1,9.6,0.5,5.208333333333334
ACCESS-ESM1-5,351201,PRCPTOT,1386.0455,1090.825,295.2204999999999,27.063965347328846
ACCESS-ESM1-5,351201,R10mm,43.15,31.15,12.0,38.52327447833066
ACCESS-ESM1-5,351201,R20mm,22.8,15.45,7.350000000000001,47.572815533980595
ACCESS-ESM1-5,351201,R50mm,4.55,3.2,1.3499999999999996,42.187499999999986
ACCESS-ESM1-5,351201,R95p,457.38,323.06,134.32,41.57741595988361
ACCESS-ESM1-5,351201,R99p,140.63899999999998,124.1,16.538999999999987,13.327155519742133
ACCESS-ESM1-5,351201,Rx1day,87.291,98.265,-10.974000000000004,-11.167760647229434
ACCESS-ESM1-5,351201,Rx5day,229.337,180.43,48.90699999999998,27.10580280441167
ACCESS-ESM1-5,351201,SDII,14.749966898587834,11.589308549365157,3.160658349222677,27.272190879720885
CESM2,351001,CDD,61.25,57.05,4.200000000000003,7.3619631901840545
CESM2,351001,CWD,8.9,8.6,0.3000000000000007,3.4883720930232642
CESM2,351001,PRCPTOT,1177.4135,984.85,192.5635000000001,19.55257145758238
CESM2,351001,R10mm,37.5,28.45,9.05,31.810193321616875
CESM2,351001,R20mm,19.1,15.15,3.950000000000001,26.07260726072608
CESM2,351001,R50mm,3.2,2.95,0.25,8.47457627118644
CESM2,351001,R95p,312.6,267.175,45.42500000000001,17.001965004210724
CESM2,351001,R99p,110.78699999999999,96.975,13.811999999999998,14.242846094354213
CESM2,351001,Rx1day,99.329,102.19500000000001,-2.866000000000014,-2.8044424874015497
CESM2,351001,Rx5day,208.2575,170.39000000000001,37.86749999999998,22.224015493866997
CESM2,351001,SDII,14.531872997320528,12.152706418698024,2.3791665786225042,19.57725708704642
CESM2,351002,CDD,71.0,59.8,11.200000000000003,18.72909698996656
CESM2,351002,CWD,8.75,9.75,-1.0,-10.256410256410257
CESM2,351002,PRCPTOT,878.0375,1046.465,-168.4274999999999,-16.09490045056451
CESM2,351002,R10mm,30.5,32.1,-1.6000000000000014,-4.984423676012465
CESM2,351002,R20mm,12.65,16.1,-3.450000000000001,-21.428571428571434
CESM2,351002,R50mm,1.35,3.1,-1.75,-56.45161290322581
CESM2,351002,R95p,139.346,292.915,-153.56900000000002,-52.427837427239986
CESM2,351002,R99p,29.159,96.6,-67.441,-69.81469979296067
CESM2,351002,Rx1day,66.728,81.535,-14.807000000000002,-18.160299257987372
CESM2,351002,Rx5day,150.066,157.66500000000002,-7.599000000000018,-4.819712681952251
CESM2,351002,SDII,11.385258222560731,13.168351679857171,-1.7830934572964399,-13.540749067508045
CESM2,351003,CDD,57.6,44.7,12.899999999999999,28.859060402684555
CESM2,351003,CWD,8.6,50.6,-42.0,-83.00395256916995
CESM2,351003,PRCPTOT,1096.9914999999999,1411.8899999999999,-314.8985,-22.30333099604077
CESM2,351003,R10mm,34.75,40.6,-5.850000000000001,-14.408866995073893
CESM2,351003,R20mm,17.35,16.45,0.9000000000000021,5.471124620060803
CESM2,351003,R50mm,2.95,2.95,0.0,0.0
CESM2,351003,R95p,326.304,310.125,16.178999999999974,5.216928657799266
CESM2,351003,R99p,148.23399999999998,90.52000000000001,57.71399999999997,63.75828546177636
CESM2,351003,Rx1day,93.576,76.995,16.58099999999999,21.535164621079275
CESM2,351003,Rx5day,202.9145,134.19,68.7245,51.214322974886365
CESM2,351003,SDII,14.496354227765204,11.782532762553084,2.7138214652121206,23.03258153320916
CESM2,351004,CDD,83.15,61.3,21.85000000000001,35.644371941272446
CESM2,351004,CWD,7.5,7.65,-0.15000000000000036,-1.9607843137254948
CESM2,351004,PRCPTOT,1080.2334999999998,1080.7050000000002,-0.4715000000003329,-0.04362892741315463
CESM2,351004,R10mm,35.45,31.85,3.6000000000000014,11.302982731554163
CESM2,351004,R20mm,18.9,16.7,2.1999999999999993,13.173652694610775
CESM2,351004,R50mm,3.25,2.65,0.6000000000000001,22.641509433962266
CESM2,351004,R95p,336.87649999999996,289.88,46.99649999999997,16.212398233751887
CESM2,351004,R99p,106.40599999999999,119.07000000000001,-12.664000000000016,-10.63576047703033
CESM2,351004,Rx1day,101.33200000000001,98.32000000000001,3.0120000000000005,3.06346623270952
CESM2,351004,Rx5day,206.31900000000002,158.125,48.19400000000002,30.478418972332026
CESM2,351004,SDII,18.636438771399163,13.454353710188059,5.1820850612111045,38.516045979132144
CESM2,351005,CDD,73.55,54.25,19.299999999999997,35.576036866359445
CESM2,351005,CWD,8.1,18.4,-10.299999999999999,-55.97826086956522
CESM2,351005,PRCPTOT,1055.324,1107.915,-52.590999999999894,-4.746844297622101
CESM2,351005,R10mm,34.1,33.55,0.5500000000000043,1.639344262295095
CESM2,351005,R20mm,17.4,14.8,2.599999999999998,17.56756756756755
CESM2,351005,R50mm,2.8,2.45,0.34999999999999964,14.28571428571427
CESM2,351005,R95p,313.43449999999996,250.195,63.239499999999964,25.27608465396989
CESM2,351005,R99p,98.172,87.85499999999999,10.317000000000007,11.743213249103647
CESM2,351005,Rx1day,93.49199999999999,76.25,17.24199999999999,22.61245901639343
CESM2,351005,Rx5day,197.1625,138.75,58.412499999999994,42.09909909909909
CESM2,351005,SDII,15.427721511457055,11.970070850572295,3.4576506608847595,28.88579945806626
CESM2,351006,CDD,66.85,44.45,22.39999999999999,50.39370078740155
CESM2,351006,CWD,9.0,46.55,-37.55,-80.66595059076262
CESM2,351006,PRCPTOT,1141.321,1099.6,41.721000000000004,3.7941978901418705
CESM2,351006,R10mm,36.9,28.85,8.049999999999997,27.902946273830146
CESM2,351006,R20mm,17.9,9.25,8.649999999999999,93.5135135135135
CESM2,351006,R50mm,3.15,1.4,1.75,125.00000000000001
CESM2,351006,R95p,683.307,351.10499999999996,332.20200000000006,94.61614047079935
CESM2,351006,R99p,370.053,174.83,195.22299999999998,111.66447406051591
CESM2,351006,Rx1day,87.7615,57.404999999999994,30.356500000000004,52.88128211828239
CESM2,351006,Rx5day,208.2045,129.66500000000002,78.53949999999998,60.57108703196696
CESM2,351006,SDII,14.11710975232864,9.307368680142666,4.8097410721859735,51.67670087516344
CESM2,351007,CDD,50.55,39.2,11.349999999999994,28.954081632653047
CESM2,351007,CWD,11.4,49.1,-37.7,-76.78207739307537
CESM2,351007,PRCPTOT,1086.4135,1196.15,-109.73649999999998,-9.174142039041923
CESM2,351007,R10mm,36.55,30.95,5.599999999999998,18.09369951534733
CESM2,351007,R20mm,12.8,9.7,3.1000000000000014,31.958762886597953
CESM2,351007,R50mm,1.2,1.5,-0.30000000000000004,-20.000000000000004
CESM2,351007,R95p,439.5705,389.235,50.33549999999997,12.931904890361855
CESM2,351007,R99p,152.847,200.07,-47.222999999999985,-23.603238866396755
CESM2,351007,Rx1day,63.4045,64.30499999999999,-0.9004999999999939,-1.4003576704766254
CESM2,351007,Rx5day,155.496,134.305,21.191000000000003,15.778265887345968
CESM2,351007,SDII,9.222832029621403,9.249164907588192,-0.02633287796678907,-0.2847054650867461
CESM2,351008,CDD,52.15,40.8,11.350000000000001,27.8186274509804
CESM2,351008,CWD,12.1,34.6,-22.5,-65.02890173410404
CESM2,351008,PRCPTOT,974.1545,1110.105,-135.95050000000003,-12.246634327383449
CESM2,351008,R10mm,32.4,29.5,2.8999999999999986,9.830508474576268
CESM2,351008,R20mm,10.8,8.75,2.0500000000000007,23.428571428571434
CESM2,351008,R50mm,0.75,1.3,-0.55,-42.307692307692314
CESM2,351008,R95p,375.636,331.855,43.781000000000006,13.192810112850493
CESM2,351008,R99p,103.77000000000001,137.325,-33.55499999999998,-24.43473511742216
CESM2,351008,Rx1day,59.876999999999995,63.19,-3.3130000000000024,-5.242918183256848
CESM2,351008,Rx5day,137.8935,122.14500000000001,15.748499999999979,12.89328257398991
CESM2,351008,SDII,8.714392187020474,7.644398250904906,1.0699939361155675,13.997098280285263
CESM2,351009,CDD,50.95,33.25,17.700000000000003,53.23308270676692
CESM2,351009,CWD,13.0,89.65,-76.65,-85.49916341327385
CESM2,351009,PRCPTOT,1042.0049999999999,1184.405,-142.4000000000001,-12.022914459158827
CESM2,351009,R10mm,35.45,24.9,10.550000000000004,42.369477911646605
CESM2,351009,R20mm,11.85,2.25,9.6,426.6666666666667
CESM2,351009,R50mm,0.8,0.05,0.75,1500.0
CESM2,351009,R95p,591.5755,203.46,388.1155,190.7576427799076
CESM2,351009,R99p,372.1555,64.595,307.56050000000005,476.1366978868334
CESM2,351009,Rx1day,60.157500000000006,28.880000000000003,31.277500000000003,108.30159279778394
CESM2,351009,Rx5day,138.2555,79.56,58.69550000000001,73.77513826043239
CESM2,351009,SDII,8.808388597232854,5.081984642051293,3.726403955181561,73.32576183617577
CESM2,351010,CDD,52.75,35.1,17.65,50.284900284900274
CESM2,351010,CWD,10.5,73.75,-63.25,-85.76271186440678
CESM2,351010,PRCPTOT,1006.308,1163.26,-156.952,-13.492426456682084
CESM2,351010,R10mm,34.5,27.55,6.949999999999999,25.22686025408348
CESM2,351010,R20mm,12.65,3.2,9.45,295.31249999999994
CESM2,351010,R50mm,1.15,0.15,0.9999999999999999,666.6666666666666
CESM2,351010,R95p,581.938,202.725,379.21299999999997,187.05783697126648
CESM2,351010,R99p,373.28650000000005,68.795,304.49150000000003,442.60702085907405
CESM2,351010,Rx1day,63.106500000000004,28.964999999999996,34.14150000000001,117.87156913516316
CESM2,351010,Rx5day,151.9325,83.66499999999999,68.26750000000001,81.59624693719
CESM2,351010,SDII,9.774124991143726,5.173072086955942,4.6010529041877835,88.94236977268261
CESM2,351011,CDD,36.85,42.25,-5.399999999999999,-12.781065088757394
CESM2,351011,CWD,30.45,11.1,19.35,174.32432432432435
CESM2,351011,PRCPTOT,1209.1934999999999,1145.975,63.21849999999995,5.516568860577234
CESM2,351011,R10mm,37.25,34.1,3.1499999999999986,9.237536656891493
CESM2,351011,R20mm,7.85,15.75,-7.9,-50.15873015873016
CESM2,351011,R50mm,0.25,3.1,-2.85,-91.93548387096774
CESM2,351011,R95p,21.4565,352.71500000000003,-331.2585,-93.9167599903605
CESM2,351011,R99p,0.0,136.48499999999999,-136.48499999999999,-100.0
CESM2,351011,Rx1day,41.102999999999994,111.39000000000001,-70.28700000000002,-63.099919202800976
CESM2,351011,Rx5day,110.85499999999999,183.615,-72.76000000000002,-39.626392179288196
CESM2,351011,SDII,6.4875608795630795,12.145212615611134,-5.657651736048055,-46.58338981053208
CESM2,351012,CDD,53.95,56.05,-2.0999999999999943,-3.7466547725245216
CESM2,351012,CWD,10.7,8.4,2.299999999999999,27.380952380952365
CESM2,351012,PRCPTOT,1566.166,933.915,632.251,67.69898759523083
CESM2,351012,R10mm,50.25,25.55,24.7,96.67318982387475
CESM2,351012,R20mm,26.0,12.7,13.3,104.7244094488189
CESM2,351012,R50mm,4.6,3.15,1.4499999999999997,46.031746031746025
CESM2,351012,R95p,404.46799999999996,302.75,101.71799999999996,33.59801816680428
CESM2,351012,R99p,74.646,129.48,-54.83399999999999,-42.34939759036144
CESM2,351012,Rx1day,90.2755,113.89000000000001,-23.61450000000002,-20.73448063921329
CESM2,351012,Rx5day,216.4445,198.625,17.819500000000005,8.971428571428573
CESM2,351012,SDII,14.908287303483828,11.876607222495185,3.031680080988643,25.526482640988696
CESM2,351201,CDD,57.3,50.8,6.5,12.795275590551181
CESM2,351201,CWD,10.9,9.6,1.3000000000000007,13.541666666666673
CESM2,351201,PRCPTOT,1490.5345000000002,1090.825,399.70950000000016,36.642862053950005
CESM2,351201,R10mm,46.75,31.15,15.600000000000001,50.08025682182986
CESM2,351201,R20mm,24.05,15.45,8.600000000000001,55.66343042071198
CESM2,351201,R50mm,4.95,3.2,1.75,54.6875
CESM2,351201,R95p,490.7545,323.06,167.6945,51.90815947502012
CESM2,351201,R99p,152.6585,124.1,28.55850000000001,23.012489927477848
CESM2,351201,Rx1day,104.07650000000001,98.265,5.811500000000009,5.914109805118821
CESM2,351201,Rx5day,238.167,180.43,57.736999999999995,31.99966746106523
CESM2,351201,SDII,15.20499753413831,11.589308549365157,3.6156889847731524,31.198487548864286
CanESM5,351001,CDD,69.75,57.05,12.700000000000003,22.261174408413677
CanESM5,351001,CWD,7.2,8.6,-1.3999999999999995,-16.279069767441854
CanESM5,351001,PRCPTOT,947.309,984.85,-37.541000000000054,-3.8118495202315126
