model,scenario,station,index,future_mean,window,obs_baseline,model_baseline,delta_obs_abs,delta_obs_pct,delta_model_abs,delta_model_pct
ACCESS-ESM1-5,ssp245,351008,CDD,59.25,Near-term,40.8,54.65,18.450000000000003,45.22058823529412,4.600000000000001,8.417200365965236
ACCESS-ESM1-5,ssp245,351008,CWD,11.45,Near-term,34.6,11.2,-23.150000000000002,-66.90751445086705,0.25,2.232142857142857
ACCESS-ESM1-5,ssp245,351008,PRCPTOT,924.1119999999999,Near-term,1110.105,921.119,-185.99300000000017,-16.7545412370902,2.9929999999998245,0.3249308721239953
ACCESS-ESM1-5,ssp245,351008,R10mm,29.4,Near-term,29.5,30.4,-0.10000000000000142,-0.33898305084746244,-1.0,-3.2894736842105265
ACCESS-ESM1-5,ssp245,351008,R20mm,10.25,Near-term,8.75,11.1,1.5,17.142857142857142,-0.8499999999999996,-7.657657657657655
ACCESS-ESM1-5,ssp245,351008,R50mm,0.9,Near-term,1.3,0.75,-0.4,-30.769230769230766,0.15000000000000002,20.000000000000004
ACCESS-ESM1-5,ssp245,351008,R95p,380.51000000000005,Near-term,331.855,386.88,48.65500000000003,14.66152385831162,-6.369999999999948,-1.6465053763440725
ACCESS-ESM1-5,ssp245,351008,R99p,106.171,Near-term,137.325,95.0055,-31.153999999999982,-22.686328053886754,11.165500000000009,11.752477488145432
ACCESS-ESM1-5,ssp245,351008,Rx1day,55.9365,Near-term,63.19,49.5315,-7.253499999999995,-11.478873239436613,6.405000000000001,12.931165016201813
ACCESS-ESM1-5,ssp245,351008,Rx5day,138.448,Near-term,122.14500000000001,144.8715,16.302999999999997,13.34725121781489,-6.42349999999999,-4.433929378794304
ACCESS-ESM1-5,ssp245,351008,SDII,8.52700212119087,Near-term,7.644398250904906,8.565960710671789,0.8826038702859638,11.545759931875414,-0.03895858948091835,-0.45480700643866256
ACCESS-ESM1-5,ssp245,351009,CDD,52.35,Near-term,33.25,49.65,19.1,57.443609022556394,2.700000000000003,5.438066465256804
ACCESS-ESM1-5,ssp245,351009,CWD,12.65,Near-term,89.65,11.35,-77.0,-85.88957055214723,1.3000000000000007,11.453744493392076
ACCESS-ESM1-5,ssp245,351009,PRCPTOT,980.4979999999999,Near-term,1184.405,967.4770000000001,-203.90700000000004,-17.215986085840573,13.020999999999844,1.345871788166524
ACCESS-ESM1-5,ssp245,351009,R10mm,31.85,Near-term,24.9,32.95,6.950000000000003,27.91164658634539,-1.1000000000000014,-3.33839150227618
ACCESS-ESM1-5,ssp245,351009,R20mm,10.9,Near-term,2.25,11.85,8.65,384.44444444444446,-0.9499999999999993,-8.016877637130795
ACCESS-ESM1-5,ssp245,351009,R50mm,1.15,Near-term,0.05,0.65,1.0999999999999999,2199.9999999999995,0.4999999999999999,76.9230769230769
ACCESS-ESM1-5,ssp245,351009,R95p,548.5055,Near-term,203.46,553.6785,345.04549999999995,169.58886267571017,-5.173000000000002,-0.934296708288294
ACCESS-ESM1-5,ssp245,351009,R99p,361.7375,Near-term,64.595,364.86749999999995,297.14250000000004,460.0085145909127,-3.1299999999999386,-0.857845656299873
ACCESS-ESM1-5,ssp245,351009,Rx1day,59.859,Near-term,28.880000000000003,48.571,30.979,107.2680055401662,11.288000000000004,23.240205060632896
ACCESS-ESM1-5,ssp245,351009,Rx5day,141.2155,Near-term,79.56,137.464,61.65549999999999,77.49560080442433,3.751499999999993,2.7290781586451676
ACCESS-ESM1-5,ssp245,351009,SDII,8.599285491182135,Near-term,5.081984642051293,8.57530606241903,3.5173008491308417,69.21116644128853,0.02397942876310566,0.2796335033240929
ACCESS-ESM1-5,ssp245,351010,CDD,60.3,Near-term,35.1,54.4,25.199999999999996,71.79487179487178,5.899999999999999,10.845588235294116
ACCESS-ESM1-5,ssp245,351010,CWD,10.6,Near-term,73.75,10.7,-63.15,-85.62711864406779,-0.09999999999999964,-0.9345794392523332
ACCESS-ESM1-5,ssp245,351010,PRCPTOT,943.2545,Near-term,1163.26,940.742,-220.00549999999998,-18.912839777865653,2.5125000000000455,0.2670764141496867
ACCESS-ESM1-5,ssp245,351010,R10mm,30.3,Near-term,27.55,31.85,2.75,9.98185117967332,-1.5500000000000007,-4.8665620094191535
ACCESS-ESM1-5,ssp245,351010,R20mm,11.7,Near-term,3.2,12.4,8.5,265.625,-0.7000000000000011,-5.64516129032259
ACCESS-ESM1-5,ssp245,351010,R50mm,1.15,Near-term,0.15,0.85,0.9999999999999999,666.6666666666666,0.29999999999999993,35.29411764705882
ACCESS-ESM1-5,ssp245,351010,R95p,535.3199999999999,Near-term,202.725,554.2335,332.5949999999999,164.06215316315203,-18.913500000000113,-3.412550847251224
ACCESS-ESM1-5,ssp245,351010,R99p,361.59250000000003,Near-term,68.795,358.52750000000003,292.7975,425.60869249218695,3.0649999999999977,0.8548856084958608
ACCESS-ESM1-5,ssp245,351010,Rx1day,62.783,Near-term,28.964999999999996,53.336,33.818000000000005,116.75470395304681,9.447000000000003,17.712239388030603
ACCESS-ESM1-5,ssp245,351010,Rx5day,148.9675,Near-term,83.66499999999999,153.563,65.30250000000001,78.05235164047095,-4.595499999999987,-2.992582848733085
ACCESS-ESM1-5,ssp245,351010,SDII,9.36749709237991,Near-term,5.173072086955942,9.426408357293331,4.194425005423968,81.08189746669754,-0.058911264913421135,-0.6249598222406814
ACCESS-ESM1-5,ssp245,351011,CDD,35.15,Near-term,42.25,36.3,-7.100000000000001,-16.804733727810653,-1.1499999999999986,-3.1680440771349825
ACCESS-ESM1-5,ssp245,351011,CWD,27.25,Near-term,11.1,29.5,16.15,145.49549549549548,-2.25,-7.627118644067797
ACCESS-ESM1-5,ssp245,351011,PRCPTOT,1141.712,Near-term,1145.975,1139.73,-4.26299999999992,-0.3719976439276529,1.981999999999971,0.17390083616294832
ACCESS-ESM1-5,ssp245,351011,R10mm,33.6,Near-term,34.1,34.9,-0.5,-1.466275659824047,-1.2999999999999972,-3.7249283667621698
ACCESS-ESM1-5,ssp245,351011,R20mm,7.65,Near-term,15.75,7.6,-8.1,-51.42857142857143,0.05000000000000071,0.6578947368421146
ACCESS-ESM1-5,ssp245,351011,R50mm,0.35,Near-term,3.1,0.2,-2.75,-88.70967741935483,0.14999999999999997,74.99999999999997
ACCESS-ESM1-5,ssp245,351011,R95p,32.8695,Near-term,352.71500000000003,19.185,-319.8455,-90.68100307613796,13.684500000000003,71.32916340891323
