season_type,variable,model,p_val_el_vs_la,diagnostic_only
RAINY,Rx1day,FGOALS-g3,0.8356643356643356,False
RAINY,Rx5day,FGOALS-g3,0.4452214452214452,False
RAINY,SDII,FGOALS-g3,0.1013986013986013,False
RAINY,R95p,FGOALS-g3,0.1806526806526806,False
RAINY,R99p,FGOALS-g3,0.8862477072704644,False
RAINY,CWD,FGOALS-g3,0.6678058142504256,False
RAINY,CDD,FGOALS-g3,0.4452214452214452,False
HOT_DRY,PRCPTOT,FGOALS-g3,0.2702706993728666,False
HOT_DRY,Rx1day,FGOALS-g3,0.8506311026434865,False
HOT_DRY,Rx5day,FGOALS-g3,0.6784313725490196,False
HOT_DRY,SDII,FGOALS-g3,1.0,False
HOT_DRY,R95p,FGOALS-g3,1.0,False
HOT_DRY,R99p,FGOALS-g3,0.9620673205104424,False
HOT_DRY,CWD,FGOALS-g3,0.0967867819893253,False
HOT_DRY,CDD,FGOALS-g3,0.4726680955783123,False
RAINY,PRCPTOT,MIROC6,0.2948717948717949,False
RAINY,Rx1day,MIROC6,0.7307692307692307,False
RAINY,Rx5day,MIROC6,0.3659673659673659,False
RAINY,SDII,MIROC6,0.5337995337995338,False
RAINY,R95p,MIROC6,0.3659673659673659,False
RAINY,R99p,MIROC6,0.615125914752179,False
RAINY,CWD,MIROC6,0.942978424057606,False
RAINY,CDD,MIROC6,0.7744933061125463,False
HOT_DRY,PRCPTOT,MIROC6,0.7920774787647853,False
HOT_DRY,Rx1day,MIROC6,0.8506311026434865,False
HOT_DRY,Rx5day,MIROC6,0.7920774787647853,False
HOT_DRY,SDII,MIROC6,0.7344923394458999,False
HOT_DRY,R95p,MIROC6,1.0,False
HOT_DRY,R99p,MIROC6,0.2397600352369628,False
HOT_DRY,CWD,MIROC6,0.1893293212103035,False
HOT_DRY,CDD,MIROC6,0.7344923394458999,False
RAINY,PRCPTOT,MIROC6,0.3659673659673659,False
RAINY,Rx1day,MIROC6,0.0512820512820512,False
RAINY,Rx5day,MIROC6,0.1806526806526806,False
RAINY,SDII,MIROC6,0.1013986013986013,False
RAINY,R95p,MIROC6,0.1806526806526806,False
RAINY,R99p,MIROC6,0.0524701595395043,False
RAINY,CWD,MIROC6,0.3524489752286811,False
RAINY,CDD,MIROC6,0.5197427420397585,False
HOT_DRY,PRCPTOT,MIROC6,0.8506311026434865,False
HOT_DRY,Rx1day,MIROC6,0.910105580693816,False
HOT_DRY,Rx5day,MIROC6,0.6784313725490196,False
HOT_DRY,SDII,MIROC6,0.7344923394458999,False
HOT_DRY,R95p,MIROC6,0.6802135423364514,False
HOT_DRY,R99p,MIROC6,0.7563611602870911,False
HOT_DRY,CWD,MIROC6,0.4175366135630407,False
HOT_DRY,CDD,MIROC6,0.7283560871056942,False
RAINY,PRCPTOT,MRI-ESM2-0,0.8356643356643356,False
RAINY,Rx1day,MRI-ESM2-0,0.8356643356643356,False
RAINY,Rx5day,MRI-ESM2-0,0.9452214452214452,False
RAINY,SDII,MRI-ESM2-0,0.7307692307692307,False
RAINY,R95p,MRI-ESM2-0,1.0,False
RAINY,R99p,MRI-ESM2-0,0.9452214452214452,False
RAINY,CWD,MRI-ESM2-0,0.0734265734265734,False
RAINY,CDD,MRI-ESM2-0,0.6282051282051282,False
HOT_DRY,PRCPTOT,MRI-ESM2-0,0.7344923394458999,False
HOT_DRY,Rx1day,MRI-ESM2-0,0.6238787012780821,False
HOT_DRY,Rx5day,MRI-ESM2-0,0.343145193299992,False
HOT_DRY,SDII,MRI-ESM2-0,0.6238787012780821,False
HOT_DRY,R95p,MRI-ESM2-0,1.0,False
HOT_DRY,R99p,MRI-ESM2-0,0.5055179696547507,False
