source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_la,p_val_el_vs_la,diagnostic_only
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,8,12,8,86.63461538461539,83.6474358974359,77.98076923076923,8.65384615384616,5.666666666666671,11.097410604192364,7.266748869708185,48.0,1.0,False
RAW_CMIP6,CESM2,RAINY,PRCPTOT,6,7,8,548.6642307692308,687.9368461538462,609.1767403846154,-60.5125096153846,78.76010576923079,-9.933489840268502,12.928941725434903,9.0,0.1013986013986013,False
RAW_CMIP6,CESM2,RAINY,Rx1day,6,7,8,41.362205128205126,48.44136263736264,37.60215384615385,3.760051282051279,10.83920879120879,9.999563582009753,28.82603170966357,15.0,0.4452214452214452,False
RAW_CMIP6,CESM2,RAINY,Rx5day,6,7,8,95.53234615384616,119.20186813186815,89.13824038461539,6.394105769230762,30.06362774725278,7.173246568073761,33.72697017299608,19.0,0.8356643356643356,False
RAW_CMIP6,CESM2,RAINY,SDII,6,7,8,4.485820694877299,5.236225858980289,4.900723876478153,-0.4149031816008541,0.3355019825021355,-8.466161164318024,6.8459678806315445,10.0,0.1375291375291375,False
RAW_CMIP6,CESM2,RAINY,R95p,6,7,8,165.06589743589743,248.7860989010989,207.6837211538461,-42.61782371794871,41.10237774725277,-20.52054127361222,19.790851935287364,10.0,0.1375291375291375,False
RAW_CMIP6,CESM2,RAINY,R99p,6,7,8,55.60729487179487,93.97665934065934,66.44444230769231,-10.837147435897442,27.532217032967026,-16.31008863873453,41.43644837211555,11.0,0.1806526806526806,False
RAW_CMIP6,CESM2,RAINY,CWD,6,7,8,18.205128205128204,23.56043956043956,19.740384615384617,-1.5352564102564124,3.8200549450549417,-7.777236564377345,19.351471713868182,12.0,0.2342657342657342,False
RAW_CMIP6,CESM2,RAINY,CDD,6,7,8,8.333333333333334,8.857142857142858,10.586538461538462,-2.253205128205128,-1.729395604395604,-21.283681501665143,-16.33579862462696,21.5,1.0,False
RAW_CMIP6,CESM2,HOT_DRY,PRCPTOT,8,12,8,389.28140384615386,403.21523717948713,364.4996057692308,24.78179807692311,38.71563141025638,6.798854562441632,10.621583891305422,44.0,0.7920774787647853,False
RAW_CMIP6,CESM2,HOT_DRY,Rx1day,8,12,8,19.751951923076923,29.448416666666663,22.61380769230769,-2.861855769230768,6.834608974358972,-12.655346716352668,30.223167488435976,22.0,0.0473446058585377,False
RAW_CMIP6,CESM2,HOT_DRY,Rx5day,8,12,8,48.99800961538461,69.29622435897434,56.1795576923077,-7.181548076923086,13.116666666666646,-12.78320508725972,23.34775709432584,25.0,0.0824958323410335,False
RAW_CMIP6,CESM2,HOT_DRY,SDII,8,12,8,3.213851447771837,3.418058890885592,3.0170483596957407,0.1968030880760962,0.4010105311898511,6.523033926308798,13.291485033746412,35.0,0.343145193299992,False
RAW_CMIP6,CESM2,HOT_DRY,R95p,8,12,8,35.7778076923077,59.100391025641024,35.803769230769234,-0.0259615384615372,23.29662179487179,-0.0725106295211686,65.06751187204898,25.0,0.0824958323410335,False
RAW_CMIP6,CESM2,HOT_DRY,R99p,8,12,8,10.804278846153847,14.264666666666663,18.766990384615383,-7.962711538461535,-4.502323717948718,-42.42934735549888,-23.990653939054543,43.5,0.7275983637286653,False
RAW_CMIP6,CESM2,HOT_DRY,CWD,8,12,8,19.846153846153847,19.730769230769237,17.625,2.2211538461538467,2.105769230769233,12.602291325695584,11.947626841243878,59.5,0.3957103521905413,False
RAW_CMIP6,CESM2,HOT_DRY,CDD,8,12,8,12.144230769230768,14.871794871794874,9.89423076923077,2.2499999999999982,4.977564102564104,22.740524781341087,50.307742144476855,37.0,0.4268635389378423,False
QDM_CMIP6,CESM2,RAINY,PRCPTOT,6,7,8,786.7857692307692,1046.5574725274726,893.5275961538462,-106.74182692307691,153.0298763736264,-11.9461141863489,17.12648574395882,8.0,0.0734265734265734,False
QDM_CMIP6,CESM2,RAINY,Rx1day,6,7,8,59.74384615384616,73.84615384615384,73.37788461538462,-13.634038461538452,0.4682692307692235,-18.58058260060539,0.6381612569286917,16.0,0.5337995337995338,False
QDM_CMIP6,CESM2,RAINY,Rx5day,6,7,8,138.57384615384618,188.94692307692307,154.11288461538462,-15.53903846153844,34.834038461538455,-10.082893782903875,22.60293715770283,13.0,0.2948717948717949,False
