source_type,model,season_type,variable,anom_el_nino,anom_la_nina,asymmetry_sum_anom,asymmetry_pct,p_val_el_vs_la,significant_asymmetry_p05,low_n_flag
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,SDII,-0.1882392865686373,-0.11194070968889624,-0.30017999625753355,-13.797471851202545,0.7920774787647853,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R95p,-1.8679062500000003,1.4871631944444443,-0.380743055555556,-17.512221375789156,0.07751424266509128,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R99p,0.0,0.9413402777777778,0.9413402777777778,,0.266717246715916,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CWD,-2.2395833333333357,-2.4861111111111125,-4.725694444444448,-38.642816581487814,0.9384797984036732,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,3.822916666666668,0.49652777777777857,4.319444444444446,32.21963221963223,0.11526553941414623,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,48.73020833333328,73.545744047619,122.27595238095228,15.782119905977323,0.8356643356643356,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,11.388819444444458,10.975029761904764,22.363849206349222,56.329453473794935,0.7307692307692307,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,21.2131597222222,22.005342261904758,43.21850198412696,39.83000573574754,0.8356643356643356,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,SDII,0.08819708877793353,0.716699227063943,0.8048963158418765,9.605814244139768,0.36596736596736595,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,R95p,43.3214236111111,78.37638392857143,121.69780753968253,147.879017360067,0.4452214452214452,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,R99p,19.878020833333338,16.444270833333327,36.322291666666665,319.0392973146072,0.6165905559145692,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,CWD,1.7916666666666643,2.214285714285708,4.0059523809523725,18.347873500545216,0.9452214452214451,False,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,CDD,1.9652777777777768,0.1934523809523796,2.1587301587301564,16.1652180372929,0.5337995337995338,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,PRCPTOT,-71.61385416666667,-29.52100694444445,-101.13486111111112,-36.83738784593498,0.7920774787647853,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx1day,6.576041666666665,8.638819444444447,15.214861111111112,49.35850212781296,1.0,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx5day,2.414270833333319,6.9081250000000125,9.322395833333331,12.571923850623149,0.7344923394458999,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,SDII,0.8118277777165961,0.477184999569392,1.289012777285988,15.573256818741601,0.6238787012780821,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,R95p,-17.5003125,6.652256944444446,-10.848055555555554,-21.348267773083432,0.7280611426419807,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,R99p,-0.38052083333333364,11.753680555555551,11.373159722222217,96.92345477357192,0.27637166095237053,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,CWD,-1.6874999999999991,-2.0138888888888893,-3.7013888888888884,-47.25177304964539,0.33411952703865366,False,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,3.4270833333333286,-2.8854166666666785,0.5416666666666501,0.9550045913681984,0.5713582599031516,False,False
RAW_CMIP6,CESM2,RAINY,PRCPTOT,-78.1302465277779,48.73525744047606,-29.394989087301838,-2.9477438403686897,0.36596736596736595,False,False
RAW_CMIP6,CESM2,RAINY,Rx1day,-5.49403472222221,-1.4683065476190365,-6.962341269841247,-13.91797291690547,0.5337995337995338,False,False
RAW_CMIP6,CESM2,RAINY,Rx5day,-43.89761458333332,-26.2286919642857,-70.12630654761902,-44.8016537476426,0.36596736596736595,False,False
RAW_CMIP6,CESM2,RAINY,SDII,-0.77634250426373,-0.3045180527439406,-1.0808605570076706,-12.891850688031164,0.8356643356643356,False,False
