source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_neu,p_val_el_vs_neu,mwu_stat_la_vs_neu,p_val_la_vs_neu,mwu_stat_el_vs_la,p_val_el_vs_la,low_n_flag
QDM_CMIP6,ACCESS-ESM1-5,RAINY,CDD,6,7,8,15.319444444444445,13.547619047619047,13.354166666666668,1.9652777777777768,0.1934523809523796,14.716588663546535,1.448629373746368,26.0,0.8462836882024691,18.0,0.27116035987740905,26.0,0.5337995337995338,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,PRCPTOT,8,12,8,202.93020833333333,245.02305555555554,274.5440625,-71.61385416666667,-29.52100694444445,-26.084648676992124,-10.752739168942854,22.0,0.32820512820512815,42.0,0.6784313725490196,44.0,0.7920774787647853,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx1day,8,12,8,37.40125,39.46402777777778,30.825208333333332,6.576041666666665,8.638819444444447,21.333324321949696,28.025177805863265,32.0,1.0,61.0,0.34314519329999205,48.0,1.0,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx5day,8,12,8,76.56677083333332,81.06062500000002,74.1525,2.414270833333319,6.9081250000000125,3.255818527134377,9.316105323488772,28.0,0.7209013209013208,53.0,0.7344923394458999,43.0,0.7344923394458999,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,SDII,8,12,8,9.088919668570977,8.754276890423773,8.277091890854381,0.8118277777165961,0.477184999569392,9.808128125454425,5.765128693287176,39.0,0.5053613053613053,53.0,0.7344923394458999,55.0,0.6238787012780821,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,R95p,8,12,8,33.314375,57.466944444444444,50.8146875,-17.5003125,6.652256944444446,-34.439476775292576,13.091209002209148,30.5,0.9157395749897528,52.0,0.7855571560139146,43.0,0.7280611426419807,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,R99p,8,12,8,11.353645833333333,23.487847222222218,11.734166666666667,-0.38052083333333364,11.753680555555551,-3.2428449683971334,100.16629974196904,24.0,0.3654215579150202,54.0,0.6502687105748859,35.0,0.27637166095237053,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,CWD,8,12,8,6.145833333333334,5.819444444444444,7.833333333333333,-1.6874999999999991,-2.0138888888888893,-21.542553191489354,-25.709219858156036,17.0,0.12724688586820398,22.0,0.04897047875023358,61.0,0.33411952703865366,False
QDM_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,8,12,8,60.14583333333333,53.83333333333332,56.71875,3.4270833333333286,-2.8854166666666785,6.042240587695124,-5.0872359963269265,38.0,0.5737373737373737,47.0,0.9699293482575216,56.0,0.5713582599031516,False
RAW_CMIP6,CESM2,RAINY,PRCPTOT,6,7,8,919.0727222222222,1045.9382261904761,997.2029687500001,-78.1302465277779,48.73525744047606,-7.834939222625323,4.887195382256633,17.0,0.4135864135864136,34.0,0.5358197358197359,14.0,0.36596736596736595,False
RAW_CMIP6,CESM2,RAINY,Rx1day,6,7,8,44.53006944444445,48.555797619047624,50.02410416666666,-5.49403472222221,-1.4683065476190365,-10.982774831744285,-2.935198085161185,18.0,0.4908424908424909,25.0,0.778865578865579,16.0,0.5337995337995338,False
RAW_CMIP6,CESM2,RAINY,Rx5day,6,7,8,112.62854166666666,130.29746428571428,156.52615624999999,-43.89761458333332,-26.2286919642857,-28.04490676511666,-16.756746982525932,11.0,0.1078921078921079,17.0,0.23185703185703188,14.0,0.36596736596736595,False
RAW_CMIP6,CESM2,RAINY,SDII,6,7,8,7.607717962796635,8.079542414316425,8.384060467060365,-0.77634250426373,-0.3045180527439406,-9.259743620813039,-3.6321070672181266,19.0,0.5727605727605728,25.0,0.778865578865579,19.0,0.8356643356643356,False
RAW_CMIP6,CESM2,RAINY,R95p,6,7,8,208.8412638888889,231.27083333333331,246.2093125,-37.36804861111111,-14.938479166666696,-15.177349805203288,-6.06738998414883,19.0,0.5727605727605728,30.0,0.8665112665112666,14.0,0.36596736596736595,False
RAW_CMIP6,CESM2,RAINY,R99p,6,7,8,74.43411111111111,83.30905952380952,92.58078125,-18.146670138888894,-9.271721726190478,-19.60090409032803,-10.014736969170347,16.0,0.344988344988345,30.0,0.8665112665112666,11.0,0.18065268065268064,False
RAW_CMIP6,CESM2,RAINY,CWD,6,7,8,20.75,26.333333333333332,19.510416666666664,1.2395833333333357,6.822916666666668,6.353443673251482,34.97063534436734,26.0,0.8518148518148518,45.0,0.054079254079254076,14.0,0.36596736596736595,False
