model,season_type,variable,obs_anom_el,raw_anom_el,qdm_anom_el,dist_raw_el,dist_qdm_el,assessment_el
CESM2,HOT_DRY,Rx5day,-27.990624999999994,-7.957645833333316,12.185416666666669,20.032979166666678,40.17604166666666,farther
CESM2,HOT_DRY,SDII,-2.057851545611433,0.38617434965393915,1.3297108791017518,2.444025895265372,3.3875624247131846,farther
CESM2,HOT_DRY,R95p,-42.014583333333334,-13.993958333333339,20.347395833333344,28.020624999999995,62.36197916666668,farther
CESM2,HOT_DRY,R99p,-18.86458333333334,-26.720072916666666,-1.0196874999999999,7.855489583333327,17.84489583333334,farther
CESM2,HOT_DRY,CWD,-1.802083333333333,-0.13541666666666607,0.6875,1.666666666666667,2.489583333333333,farther
CESM2,HOT_DRY,CDD,-4.020833333333336,5.958333333333329,-4.635416666666671,9.979166666666664,0.6145833333333357,closer
CanESM5,RAINY,PRCPTOT,-77.3249999999997,-61.359125000000176,-57.26885416666664,15.965874999999528,20.056145833333062,farther
CanESM5,RAINY,Rx1day,-13.091666666666676,5.5747638888888815,7.559826388888894,18.666430555555557,20.65149305555557,farther
CanESM5,RAINY,Rx5day,-17.45069444444445,14.894958333333307,5.124097222222247,32.34565277777776,22.574791666666698,closer
CanESM5,RAINY,SDII,-0.747409652979746,-0.45912218976971886,-0.19262823273097673,0.2882874632100272,0.5547814202487693,farther
CanESM5,RAINY,R95p,-60.97534722222221,-11.105111111111057,-31.33923611111109,49.870236111111154,29.63611111111112,closer
CanESM5,RAINY,R99p,-36.02638888888889,14.986125000000015,7.627187500000005,51.012513888888904,43.653576388888894,closer
CanESM5,RAINY,CWD,-1.7743055555555571,-2.8749999999999964,1.0416666666666714,1.1006944444444393,2.8159722222222285,farther
CanESM5,RAINY,CDD,1.322916666666666,1.3611111111111125,1.7083333333333357,0.03819444444444642,0.3854166666666696,farther
CanESM5,HOT_DRY,PRCPTOT,-75.15104166666666,-77.61179166666665,-45.3228125,2.4607499999999902,29.82822916666666,farther
CanESM5,HOT_DRY,Rx1day,-9.634374999999999,-6.781666666666668,-2.7064583333333374,2.8527083333333305,6.927916666666661,farther
CanESM5,HOT_DRY,Rx5day,-27.990624999999994,-19.47933333333333,2.4437499999999943,8.511291666666665,30.43437499999999,farther
CanESM5,HOT_DRY,SDII,-2.057851545611433,-0.6227076873906876,1.3083304795429296,1.4351438582207452,3.3661820251543624,farther
CanESM5,HOT_DRY,R95p,-42.014583333333334,-6.468708333333334,3.1004166666666606,35.545875,45.114999999999995,farther
CanESM5,HOT_DRY,R99p,-18.86458333333334,-7.236375,0.07406250000000014,11.62820833333334,18.93864583333334,farther
CanESM5,HOT_DRY,CWD,-1.802083333333333,-10.791666666666664,-1.416666666666666,8.989583333333332,0.38541666666666696,closer
CanESM5,HOT_DRY,CDD,-4.020833333333336,4.25,22.89583333333333,8.270833333333336,26.916666666666664,farther
EC-Earth3,RAINY,PRCPTOT,-77.3249999999997,77.22597156545123,86.88982638888888,154.55097156545094,164.21482638888858,farther
EC-Earth3,RAINY,Rx1day,-13.091666666666676,1.2455763888888853,-5.247673611111111,14.337243055555561,7.843993055555565,closer
EC-Earth3,RAINY,Rx5day,-17.45069444444445,7.0677659027777935,7.287743055555566,24.518460347222245,24.738437500000018,farther
EC-Earth3,RAINY,SDII,-0.747409652979746,0.24042111449947168,0.22120347579077304,0.9878307674792177,0.9686131287705191,closer
EC-Earth3,RAINY,R95p,-60.97534722222221,13.182809027777779,1.3088194444443957,74.15815624999999,62.28416666666661,closer
EC-Earth3,RAINY,R99p,-36.02638888888889,0.3437604166666617,-8.691006944444439,36.37014930555555,27.33538194444445,closer
EC-Earth3,RAINY,CWD,-1.7743055555555571,8.71180555555555,6.090277777777775,10.486111111111107,7.864583333333332,closer
EC-Earth3,RAINY,CDD,1.322916666666666,-6.538194444444446,-2.5451388888888893,7.8611111111111125,3.8680555555555554,closer
EC-Earth3,HOT_DRY,PRCPTOT,-75.15104166666666,10.809559016875028,46.94666666666666,85.96060068354168,122.09770833333332,farther
EC-Earth3,HOT_DRY,Rx1day,-9.634374999999999,1.3965593749999954,12.343541666666674,11.030934374999994,21.977916666666673,farther
EC-Earth3,HOT_DRY,Rx5day,-27.990624999999994,-0.2628888541666612,12.186770833333341,27.727736145833333,40.177395833333335,farther
EC-Earth3,HOT_DRY,SDII,-2.057851545611433,-0.2824770362727227,1.806386200902395,1.77537450933871,3.864237746513828,farther
EC-Earth3,HOT_DRY,R95p,-42.014583333333334,6.053583333333336,30.243125,48.06816666666667,72.25770833333334,farther
