,Station,Year,Month,Monthly_mm
400,500001,2014,5,111.2
401,500001,2014,6,38.1
402,500001,2014,7,31.9
403,500001,2014,8,44.7
404,500001,2014,9,111.1
405,500001,2014,10,230.2
406,500001,2014,11,130.7
407,500001,2014,12,52.300000000000004
408,500002,1981,1,0.0
409,500002,1981,2,0.0
410,500002,1981,3,4.8
411,500002,1981,4,86.0
412,500002,1981,5,191.0
413,500002,1981,6,59.6
414,500002,1981,7,398.3
415,500002,1981,8,212.8
416,500002,1981,9,155.20000000000002
417,500002,1981,10,80.6
418,500002,1981,11,90.8
419,500002,1981,12,19.4
420,500002,1982,1,0.0
421,500002,1982,2,0.0
422,500002,1982,3,0.0
423,500002,1982,4,192.3
424,500002,1982,5,146.3
425,500002,1982,6,42.3
426,500002,1982,7,146.6
427,500002,1982,8,177.1
428,500002,1982,9,282.6
429,500002,1982,10,7.7
430,500002,1982,11,0.0
431,500002,1982,12,0.0
432,500002,1983,1,0.0
433,500002,1983,2,0.0
434,500002,1983,3,28.3
435,500002,1983,4,25.8
436,500002,1983,5,249.39999999999998
437,500002,1983,6,70.2
438,500002,1983,7,163.1
439,500002,1983,8,252.3
440,500002,1983,9,194.3
441,500002,1983,10,162.6
442,500002,1983,11,59.4
443,500002,1983,12,6.3
444,500002,1984,1,0.0
445,500002,1984,2,0.0
446,500002,1984,3,0.0
447,500002,1984,4,86.2
448,500002,1984,5,220.7
449,500002,1984,6,150.2
450,500002,1984,7,211.0
451,500002,1984,8,365.1
452,500002,1984,9,198.4
453,500002,1984,10,121.4
454,500002,1984,11,8.9
455,500002,1984,12,0.0
456,500002,1985,1,6.1
457,500002,1985,2,2.4
458,500002,1985,3,0.0
459,500002,1985,4,187.9
460,500002,1985,5,263.8
461,500002,1985,6,218.0
462,500002,1985,7,172.3
463,500002,1985,8,361.5
464,500002,1985,9,137.0
465,500002,1985,10,70.9
466,500002,1985,11,162.5
467,500002,1985,12,0.0
468,500002,1986,1,0.0
469,500002,1986,2,0.0
470,500002,1986,3,0.0
471,500002,1986,4,175.3
472,500002,1986,5,165.7
473,500002,1986,6,62.4
474,500002,1986,7,289.0
475,500002,1986,8,206.0
476,500002,1986,9,176.8
477,500002,1986,10,46.2
478,500002,1986,11,0.0
479,500002,1986,12,0.0
480,500002,1987,1,2.4
481,500002,1987,2,2.3
482,500002,1987,3,28.2
483,500002,1987,4,125.8
484,500002,1987,5,109.6
485,500002,1987,6,104.1
486,500002,1987,7,191.20000000000002
487,500002,1987,8,302.1
488,500002,1987,9,212.0
489,500002,1987,10,67.4
490,500002,1987,11,70.60000000000001
491,500002,1987,12,0.0
492,500002,1988,1,0.0
493,500002,1988,2,28.2
494,500002,1988,3,0.0
495,500002,1988,4,176.9
496,500002,1988,5,147.3
497,500002,1988,6,159.5
498,500002,1988,7,180.6
499,500002,1988,8,408.3
500,500002,1988,9,190.7
501,500002,1988,10,138.6
502,500002,1988,11,27.8
503,500002,1988,12,0.0
504,500002,1989,1,0.0
505,500002,1989,2,0.0
506,500002,1989,3,7.3
507,500002,1989,4,44.8
508,500002,1989,5,254.4
509,500002,1989,6,98.2
510,500002,1989,7,308.0
511,500002,1989,8,169.7
512,500002,1989,9,251.9
513,500002,1989,10,48.3
514,500002,1989,11,10.0
515,500002,1989,12,0.0
516,500002,1990,1,1.0
517,500002,1990,2,51.5
518,500002,1990,3,24.9
519,500002,1990,4,100.6
520,500002,1990,5,146.5
521,500002,1990,6,105.7
522,500002,1990,7,379.8
523,500002,1990,8,187.9
524,500002,1990,9,218.60000000000002
525,500002,1990,10,41.5
526,500002,1990,11,51.0
527,500002,1990,12,0.0
528,500002,1991,1,0.5
529,500002,1991,2,0.0
530,500002,1991,3,43.3
531,500002,1991,4,127.99999999999999
532,500002,1991,5,264.0
533,500002,1991,6,206.8
534,500002,1991,7,281.0
535,500002,1991,8,290.1
536,500002,1991,9,180.9
537,500002,1991,10,76.2
538,500002,1991,11,43.5
539,500002,1991,12,4.1
540,500002,1992,1,0.0
541,500002,1992,2,31.9
542,500002,1992,3,0.0
543,500002,1992,4,34.0
544,500002,1992,5,26.5
545,500002,1992,6,34.7
546,500002,1992,7,287.4
547,500002,1992,8,122.0
548,500002,1992,9,137.2
549,500002,1992,10,139.9
550,500002,1992,11,45.5
551,500002,1992,12,118.4
552,500002,1993,1,0.0
553,500002,1993,2,0.0
554,500002,1993,3,7.9
555,500002,1993,4,111.19999999999999
556,500002,1993,5,138.4
557,500002,1993,6,173.1
558,500002,1993,7,319.3
559,500002,1993,8,226.4
560,500002,1993,9,72.5
561,500002,1993,10,150.7
562,500002,1993,11,0.0
563,500002,1993,12,3.7
564,500002,1994,1,0.0
565,500002,1994,2,0.0
566,500002,1994,3,90.1
567,500002,1994,4,96.0
568,500002,1994,5,290.9
569,500002,1994,6,207.6
570,500002,1994,7,380.5
571,500002,1994,8,538.7
572,500002,1994,9,165.8
573,500002,1994,10,33.5
574,500002,1994,11,3.0
575,500002,1994,12,37.900000000000006
576,500002,1995,1,0.0
577,500002,1995,2,7.5
578,500002,1995,3,55.7
579,500002,1995,4,78.9
580,500002,1995,5,158.3
581,500002,1995,6,117.1
582,500002,1995,7,275.9
583,500002,1995,8,521.2
584,500002,1995,9,121.8
585,500002,1995,10,145.6
586,500002,1995,11,79.39999999999999
587,500002,1995,12,0.0
588,500002,1996,1,0.0
589,500002,1996,2,31.0
590,500002,1996,3,41.900000000000006
591,500002,1996,4,135.5
592,500002,1996,5,125.8
593,500002,1996,6,169.79999999999998
594,500002,1996,7,177.7
595,500002,1996,8,265.7
596,500002,1996,9,86.5
597,500002,1996,10,84.6
598,500002,1996,11,46.9
599,500002,1996,12,0.0
600,500002,1997,1,0.0
601,500002,1997,2,0.0
602,500002,1997,3,46.9
603,500002,1997,4,91.3
604,500002,1997,5,207.8
605,500002,1997,6,77.9
606,500002,1997,7,139.6
607,500002,1997,8,298.2
608,500002,1997,9,335.4
609,500002,1997,10,80.0
610,500002,1997,11,9.3
611,500002,1997,12,0.0
612,500002,1998,1,25.3
613,500002,1998,2,0.0
614,500002,1998,3,17.4
615,500002,1998,4,58.5
616,500002,1998,5,328.3
617,500002,1998,6,131.4
618,500002,1998,7,122.2
619,500002,1998,8,281.0
620,500002,1998,9,254.5
621,500002,1998,10,14.3
622,500002,1998,11,11.0
623,500002,1998,12,0.0
624,500002,1999,1,38.7
625,500002,1999,2,18.0
626,500002,1999,3,27.5
627,500002,1999,4,97.1
628,500002,1999,5,175.6
629,500002,1999,6,154.6
630,500002,1999,7,128.7
631,500002,1999,8,287.0
632,500002,1999,9,304.5
633,500002,1999,10,73.7
634,500002,1999,11,3.1999999999999997
635,500002,1999,12,11.2
636,500002,2000,1,0.0
637,500002,2000,2,0.9
638,500002,2000,3,20.4
639,500002,2000,4,92.4
640,500002,2000,5,127.0
641,500002,2000,6,91.10000000000001
642,500002,2000,7,277.2
643,500002,2000,8,138.5
644,500002,2000,9,144.1
645,500002,2000,10,97.5
646,500002,2000,11,3.0
647,500002,2000,12,3.6
648,500002,2001,1,5.1
649,500002,2001,2,0.0
650,500002,2001,3,134.1
651,500002,2001,4,45.2
652,500002,2001,5,305.2
653,500002,2001,6,80.9
654,500002,2001,7,354.7
655,500002,2001,8,420.0
656,500002,2001,9,278.2
657,500002,2001,10,184.5
658,500002,2001,11,12.1
659,500002,2001,12,14.8
660,500002,2002,1,6.0
661,500002,2002,2,6.5
662,500002,2002,3,5.4
663,500002,2002,4,73.7
664,500002,2002,5,481.8
665,500002,2002,6,88.5
666,500002,2002,7,217.9
667,500002,2002,8,272.2
668,500002,2002,9,259.4
669,500002,2002,10,27.2
670,500002,2002,11,87.2
671,500002,2002,12,63.300000000000004
672,500002,2003,1,8.8
673,500002,2003,2,13.0
674,500002,2003,3,76.8
675,500002,2003,4,87.2
676,500002,2003,5,56.3
677,500002,2003,6,172.0
678,500002,2003,7,297.8
679,500002,2003,8,196.9
680,500002,2003,9,252.3
681,500002,2003,10,29.7
682,500002,2003,11,0.0
683,500002,2003,12,0.0
684,500002,2004,1,13.4
685,500002,2004,2,0.0
686,500002,2004,3,77.6
687,500002,2004,4,116.19999999999999
688,500002,2004,5,329.1
689,500002,2004,6,149.9
690,500002,2004,7,162.6
691,500002,2004,8,285.2
692,500002,2004,9,305.5
693,500002,2004,10,19.9
694,500002,2004,11,46.1
695,500002,2004,12,0.0
696,500002,2005,1,16.2
697,500002,2005,2,0.0
698,500002,2005,3,28.7
699,500002,2005,4,44.7
700,500002,2005,5,126.1
701,500002,2005,6,147.2
702,500002,2005,7,250.4
703,500002,2005,8,414.8
704,500002,2005,9,320.8
705,500002,2005,10,96.9
706,500002,2005,11,18.1
707,500002,2005,12,0.0
708,500002,2006,1,0.0
709,500002,2006,2,10.0
710,500002,2006,3,56.900000000000006
711,500002,2006,4,99.2
712,500002,2006,5,175.1
713,500002,2006,6,123.9
714,500002,2006,7,193.2
715,500002,2006,8,325.9
716,500002,2006,9,204.3
717,500002,2006,10,126.5
718,500002,2006,11,8.2
719,500002,2006,12,1.6
720,500002,2007,1,34.9
721,500002,2007,2,5.4
722,500002,2007,3,14.5
723,500002,2007,4,188.0
724,500002,2007,5,518.7
725,500002,2007,6,169.9
726,500002,2007,7,206.0
727,500002,2007,8,145.6
728,500002,2007,9,66.4
729,500002,2007,10,269.8
730,500002,2007,11,119.8
731,500002,2007,12,16.2
732,500002,2008,1,23.3
733,500002,2008,2,1.3
734,500002,2008,3,62.2
735,500002,2008,4,142.5
736,500002,2008,5,265.9
737,500002,2008,6,143.8
738,500002,2008,7,136.3
739,500002,2008,8,104.6
740,500002,2008,9,189.2
741,500002,2008,10,182.4
742,500002,2008,11,167.7
743,500002,2008,12,24.3
744,500002,2009,1,11.2
745,500002,2009,2,4.9
746,500002,2009,3,59.3
747,500002,2009,4,132.8
748,500002,2009,5,174.6
749,500002,2009,6,132.6
750,500002,2009,7,174.6
751,500002,2009,8,130.5
752,500002,2009,9,191.8
753,500002,2009,10,147.8
754,500002,2009,11,77.6
755,500002,2009,12,28.9
756,500002,2010,1,50.699999999999996
757,500002,2010,2,9.1
758,500002,2010,3,52.6
759,500002,2010,4,34.6
760,500002,2010,5,109.4
761,500002,2010,6,116.2
762,500002,2010,7,154.1
763,500002,2010,8,205.0
764,500002,2010,9,172.8
765,500002,2010,10,268.7
766,500002,2010,11,146.9
767,500002,2010,12,91.8
768,500002,2011,1,52.9
769,500002,2011,2,25.7
770,500002,2011,3,222.4
771,500002,2011,4,57.3
772,500002,2011,5,143.3
773,500002,2011,6,154.2
774,500002,2011,7,187.3
775,500002,2011,8,175.4
776,500002,2011,9,198.7
777,500002,2011,10,202.3
778,500002,2011,11,84.0
779,500002,2011,12,63.5
780,500002,2012,1,127.7
781,500002,2012,2,46.0
782,500002,2012,3,55.4
783,500002,2012,4,57.2
784,500002,2012,5,158.29999999999998
785,500002,2012,6,139.8
786,500002,2012,7,165.8
787,500002,2012,8,127.6
788,500002,2012,9,243.3
789,500002,2012,10,154.5
790,500002,2012,11,191.6
791,500002,2012,12,70.0
792,500002,2013,1,61.6
793,500002,2013,2,24.6
794,500002,2013,3,18.0
795,500002,2013,4,89.1
796,500002,2013,5,103.1
797,500002,2013,6,192.0
798,500002,2013,7,202.3
799,500002,2013,8,132.4
800,500002,2013,9,240.5
801,500002,2013,10,237.70000000000002
802,500002,2013,11,263.6
803,500002,2013,12,27.2
804,500002,2014,1,7.2
805,500002,2014,2,6.1
806,500002,2014,3,34.7
807,500002,2014,4,54.7
808,500002,2014,5,118.3
809,500002,2014,6,172.0
810,500002,2014,7,172.5
811,500002,2014,8,180.5
812,500002,2014,9,186.2
813,500002,2014,10,270.9
814,500002,2014,11,159.6
815,500002,2014,12,83.5
816,500003,1981,1,0.0
817,500003,1981,2,0.0
818,500003,1981,3,2.2
819,500003,1981,4,99.9
820,500003,1981,5,336.3
821,500003,1981,6,69.8
822,500003,1981,7,380.9
823,500003,1981,8,101.2
824,500003,1981,9,44.3
825,500003,1981,10,136.0
826,500003,1981,11,130.3
827,500003,1981,12,0.4
828,500003,1982,1,2.0
829,500003,1982,2,0.0
830,500003,1982,3,18.6
831,500003,1982,4,195.1
832,500003,1982,5,69.5
833,500003,1982,6,118.2
834,500003,1982,7,195.6
835,500003,1982,8,122.2
836,500003,1982,9,182.5
837,500003,1982,10,61.8
838,500003,1982,11,2.1
839,500003,1982,12,0.0
840,500003,1983,1,10.100000000000001
841,500003,1983,2,0.0
842,500003,1983,3,0.0
843,500003,1983,4,3.1
844,500003,1983,5,232.4
845,500003,1983,6,99.6
846,500003,1983,7,158.2
847,500003,1983,8,155.8
848,500003,1983,9,270.5
849,500003,1983,10,70.3
850,500003,1983,11,16.0
851,500003,1983,12,7.6
852,500003,1984,1,1.0
853,500003,1984,2,38.2
854,500003,1984,3,2.3
855,500003,1984,4,163.3
856,500003,1984,5,191.7
857,500003,1984,6,53.7
858,500003,1984,7,136.7
859,500003,1984,8,243.7
860,500003,1984,9,166.7
861,500003,1984,10,108.89999999999999
862,500003,1984,11,7.3
863,500003,1984,12,0.0
864,500003,1985,1,0.0
865,500003,1985,2,0.5
866,500003,1985,3,0.0
867,500003,1985,4,169.0
868,500003,1985,5,250.3
869,500003,1985,6,127.0
