station,model,scenario,scale,period,mk_trend,mk_p_value,mk_slope,mk_intercept,mk_z,mk_tau,mk_s_stat,mk_n,sp_rho,sp_p_value,sp_trend
331008,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.45366236627030876,-7.054999999999988,1345.8425,-0.7493233021470662,-0.09885057471264368,-43.0,30,-0.14883203559510566,0.4324918823902118,no trend
331009,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.4754490495282657,-5.74777777777778,1189.912777777778,-0.7136412401400631,-0.09425287356321839,-41.0,30,-0.14616240266963293,0.44088472389295164,no trend
331010,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.6427431760684212,-2.810000000000059,947.9900000000009,-0.46386680609104103,-0.06206896551724138,-27.0,30,-0.11101223581757509,0.5592119516282,no trend
331011,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.5441196833389506,-5.4060000000000175,1062.1620000000003,-0.6065950541190537,-0.08045977011494253,-35.0,30,-0.12480533926585094,0.5111055955366677,no trend
331201,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.5924901808547871,-3.372222222222225,1051.2172222222223,-0.5352309301050473,-0.07126436781609195,-31.0,30,-0.10834260289210233,0.5687567157299825,no trend
331301,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.5924901808547871,-3.9761111111111074,1121.313611111111,-0.5352309301050473,-0.07126436781609195,-31.0,30,-0.12525027808676306,0.5095885796995016,no trend
331401,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.6427431760684212,-3.1566666666666756,1201.1266666666668,-0.46386680609104103,-0.06206896551724138,-27.0,30,-0.11501668520578419,0.5450342669201209,no trend
331402,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.13396533563924473,-10.702499999999997,1387.24625,-1.4986466042941324,-0.19540229885057472,-85.0,30,-0.3067853170189099,0.09915368989561775,no trend
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,wet,near_future,no trend,0.4324504235358999,-5.689642857142859,1135.5001785714287,-0.7850053641540694,-0.10344827586206896,-45.0,30,-0.15061179087875418,0.4269456096965033,no trend
331002,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.00047080045125880154,-9.982000000000001,878.974,-3.4968420766863093,-0.4528735632183908,-197.0,30,-0.6249165739710789,0.00022271117689531144,decreasing
331003,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0010279989595816108,-8.795000000000002,767.9525,-3.2827497046442904,-0.42528735632183906,-185.0,30,-0.5884315906562848,0.0006257266811826142,decreasing
331004,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0021502307218466132,-7.6324999999999985,654.28625,-3.0686573326022715,-0.39770114942528734,-173.0,30,-0.5626251390433815,0.0012105458453759259,decreasing
331005,ACCESS-ESM1-5,ssp585,wet,mid_future,decreasing,0.0048191095611576085,-8.262857142857143,688.9264285714286,-2.8188828985532495,-0.36551724137931035,-159.0,30,-0.5248053392658508,0.0029064431671361438,decreasing
