year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
1988,1371.0710204081631,1143.8607142857143,1075.8060714285714,1285.130357142857,1010.8614285714284,2720.902142857143,609.7867667989125,ssp245,wet
1989,1124.5384693877552,1165.8878571428572,1063.9610714285714,1253.2785714285715,792.8885714285715,1278.5135714285716,172.87199098833267,ssp245,wet
1990,1018.3332653061225,1032.565,841.8864285714285,1248.1967857142856,600.2471428571429,1315.3542857142857,273.2361329524813,ssp245,wet
1991,1135.5972448979592,1170.3657142857144,1106.959642857143,1207.4996428571426,889.0864285714287,1260.8099999999997,124.11360817515752,ssp245,wet
1992,1115.3617346938775,1046.802857142857,929.4492857142858,1218.7717857142857,782.0764285714286,1682.2107142857144,300.1202203094306,ssp245,wet
1993,1071.4569387755103,1117.3007142857143,987.9635714285714,1186.0749999999998,817.0792857142857,1217.7414285714287,150.37753565401042,ssp245,wet
1994,1267.3678571428572,1247.7478571428571,1103.3985714285714,1394.119642857143,909.5892857142859,1719.2014285714286,275.20781439223526,ssp245,wet
1995,1316.1341836734696,1289.9971428571428,1071.0432142857144,1553.386785714286,818.9414285714284,1855.1407142857145,377.05175558089843,ssp245,wet
1996,1018.6598979591837,925.4578571428572,916.4760714285715,1115.5921428571428,813.4814285714285,1327.5435714285716,184.23428382995982,ssp245,wet
1997,1103.3328571428572,1252.305,879.0710714285714,1292.8332142857143,806.1714285714285,1321.045,235.94168567922986,ssp245,wet
1998,1475.5955102040814,1449.5692857142853,1306.6800000000003,1641.005,961.4249999999998,2022.804285714286,341.2980438632039,ssp245,wet
1999,1154.6698979591836,1152.862142857143,948.2949999999998,1350.0603571428571,750.5607142857143,1582.5557142857142,294.89215637281524,ssp245,wet
2000,1059.807857142857,1076.3735714285715,849.3021428571428,1234.610357142857,692.6521428571428,1481.804285714286,289.0045293901001,ssp245,wet
2001,1312.5594897959184,1327.0228571428572,1217.2185714285715,1357.04,750.1835714285714,1962.1928571428568,360.797018056395,ssp245,wet
2002,1005.6432653061225,902.1714285714286,817.9760714285715,1215.232857142857,710.9935714285714,1359.9200000000003,260.388825431641,ssp245,wet
2003,1073.4448979591837,997.5378571428571,919.8110714285713,1173.5628571428572,861.1650000000001,1468.6635714285715,234.74362077733045,ssp245,wet
