Scenario,Station,Index,n_models_available,n_sig_increasing,n_sig_decreasing,n_non_sig,median_sen_slope,median_Z,median_p_descriptive_only,sign_agreement_pct,sig_agreement_pct
SSP5-8.5,465004,R95p,7,1,4,2,-3.932499999999999,-2.0176226702276243,0.042152446195432174,71.42857142857143,57.142857142857146
SSP5-8.5,465004,R99p,7,0,2,5,0.0,-0.7270731780338198,0.15008615654032306,85.71428571428571,71.42857142857143
SSP5-8.5,465004,Rx1day,7,1,2,4,-0.2247058823529412,-0.8301539983512568,0.3068953415213692,71.42857142857143,57.142857142857146
SSP5-8.5,465004,Rx5day,7,1,3,3,-1.715000000000002,-1.739052385736359,0.031680601196788824,71.42857142857143,42.857142857142854
SSP5-8.5,465004,SDII,7,0,3,4,-0.04083796296296308,-1.70892297973899,0.08746521723972575,71.42857142857143,57.142857142857146
SSP5-8.5,465005,CDD,7,2,0,5,0.0,0.0,0.4797112223242379,57.142857142857146,71.42857142857143
SSP5-8.5,465005,CWD,7,1,1,5,0.0,0.8463137100323119,0.3679967899538913,57.142857142857146,71.42857142857143
SSP5-8.5,465005,PRCPTOT,7,0,4,3,-10.054499999999985,-4.079951383887646,4.504512061711698e-05,100.0,57.142857142857146
SSP5-8.5,465005,R10mm,7,0,5,2,-0.4,-3.2870958768984875,0.0010122636331227756,85.71428571428571,71.42857142857143
SSP5-8.5,465005,R20mm,7,0,3,4,-0.045454545454545456,-1.8279427533274557,0.0675581437060038,57.142857142857146,57.142857142857146
SSP5-8.5,465005,R50mm,7,0,1,6,0.0,0.0,0.17148410465074881,100.0,85.71428571428571
SSP5-8.5,465005,R95p,7,0,5,2,-3.5700000000000016,-3.3918346520307288,0.0006942632317357901,85.71428571428571,71.42857142857143
SSP5-8.5,465005,R99p,7,0,1,6,0.0,-0.12597888272638916,0.17998615617932934,85.71428571428571,85.71428571428571
SSP5-8.5,465005,Rx1day,7,0,2,5,-0.02363636363636362,-0.2969780017095683,0.1518136973947853,57.142857142857146,71.42857142857143
SSP5-8.5,465005,Rx5day,7,1,3,3,-0.5645454545454552,-1.5465197394182923,0.030843956485250998,71.42857142857143,42.857142857142854
SSP5-8.5,465005,SDII,7,0,6,1,-0.026695196295256466,-3.135793445498475,0.0017138986878999461,85.71428571428571,85.71428571428571
SSP5-8.5,465006,CDD,7,3,1,3,0.1,1.443459062719138,0.001969693717807783,85.71428571428571,42.857142857142854
SSP5-8.5,465006,CWD,7,1,2,4,0.0,0.06654405030053955,0.10231084935829063,42.857142857142854,57.142857142857146
SSP5-8.5,465006,PRCPTOT,7,1,4,2,-13.298947368421045,-2.9825883230144004,0.0028582216519770056,85.71428571428571,57.142857142857146
SSP5-8.5,465006,R10mm,7,0,5,2,-0.4,-2.7377073096300024,0.006186911193501253,85.71428571428571,71.42857142857143
SSP5-8.5,465006,R20mm,7,0,4,3,-0.2,-2.59435112734711,0.009476964602746024,85.71428571428571,57.142857142857146
SSP5-8.5,465006,R50mm,7,0,2,5,0.0,-1.3592690253339876,0.14324985349843206,57.142857142857146,71.42857142857143
SSP5-8.5,465006,R95p,7,0,2,5,-2.1357142857142923,-1.637950611520922,0.06859850454340623,71.42857142857143,71.42857142857143
SSP5-8.5,465006,R99p,7,1,1,5,0.0,-1.3039281201105077,0.10951325588876207,85.71428571428571,71.42857142857143
