Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
EC-Earth3,SSP5-8.5,SDII,13,-0.026695196295256466,-3.093010607487869,0.0019813705294003258
FGOALS-g3,SSP2-4.5,CDD,13,0.2,6.601509998390435,4.069908128224443e-11
FGOALS-g3,SSP2-4.5,CWD,13,-0.037037037037037035,-0.8576903431828539,0.3408428360634296
FGOALS-g3,SSP2-4.5,PRCPTOT,13,-5.216363636363605,-5.0005184767466675,5.717634813931047e-07
FGOALS-g3,SSP2-4.5,R10mm,13,-0.25,-5.275262174540224,1.325664290036599e-07
FGOALS-g3,SSP2-4.5,R20mm,13,0.0,-1.0352199994978049,0.3005661808511547
FGOALS-g3,SSP2-4.5,R50mm,13,0.0,0.47409478892577633,0.23443386004880318
FGOALS-g3,SSP2-4.5,R95p,13,-1.161764705882353,-1.0596528068443054,0.28930258019233135
FGOALS-g3,SSP2-4.5,R99p,13,0.0,-0.7879716004530474,0.37390791660216294
FGOALS-g3,SSP2-4.5,Rx1day,13,-0.07000000000000028,-1.5380003690599235,0.09579330407246145
FGOALS-g3,SSP2-4.5,Rx5day,13,-0.25333333333333347,-1.1212734048831565,0.26217150242908616
FGOALS-g3,SSP2-4.5,SDII,13,-0.01770480853245508,-3.568577829813808,0.00035892423572033924
FGOALS-g3,SSP5-8.5,CDD,13,0.04,1.4222150630259096,0.15496382725165114
FGOALS-g3,SSP5-8.5,CWD,13,0.2,3.3323696355302515,0.0008610980272607087
FGOALS-g3,SSP5-8.5,PRCPTOT,13,-1.5474999999999852,-1.297794109638811,0.1943580942773403
FGOALS-g3,SSP5-8.5,R10mm,13,-0.16666666666666666,-2.7377073096300024,0.006186911193501253
FGOALS-g3,SSP5-8.5,R20mm,13,0.0,-0.3050445083267683,0.4851848493762959
FGOALS-g3,SSP5-8.5,R50mm,13,0.0,0.05034367317802237,0.3757649392480419
FGOALS-g3,SSP5-8.5,R95p,13,-0.03153846153845909,0.0,0.6443001316963748
FGOALS-g3,SSP5-8.5,R99p,13,0.0,0.29769062487422737,0.5295956912483128
FGOALS-g3,SSP5-8.5,Rx1day,13,0.01,0.10487948798605652,0.5583593292833202
FGOALS-g3,SSP5-8.5,Rx5day,13,0.34833333333333233,2.0838738668489594,0.037171642028490944
FGOALS-g3,SSP5-8.5,SDII,13,-0.007993052631579012,-2.1790927433883107,0.029324779232653163
MIROC6,SSP2-4.5,CDD,13,-0.09523809523809523,-2.709418479830013,0.006740126629578893
MIROC6,SSP2-4.5,CWD,13,0.07692307692307693,1.5994616485532653,0.10971806362748704
MIROC6,SSP2-4.5,PRCPTOT,13,16.753333333333405,4.175464650253669,2.973784325387112e-05
MIROC6,SSP2-4.5,R10mm,13,0.875,4.843487606369477,1.2757968267419158e-06
MIROC6,SSP2-4.5,R20mm,13,0.3333333333333333,5.701006749346549,1.1910191994646021e-08
MIROC6,SSP2-4.5,R50mm,13,0.0,-0.8771298449926459,0.3349515195897955
MIROC6,SSP2-4.5,R95p,13,11.989000000000004,4.450559282836835,8.564694608024956e-06
MIROC6,SSP2-4.5,R99p,13,0.2322222222222226,0.8914506854469811,0.27355417287209494
MIROC6,SSP2-4.5,Rx1day,13,-0.10095238095238084,-0.7513187406058897,0.4524608533106803
MIROC6,SSP2-4.5,Rx5day,13,0.6566666666666632,1.1423295028552911,0.25331708233381756
MIROC6,SSP2-4.5,SDII,13,0.05263410097231537,3.828829735985817,0.00012875404106484195
MIROC6,SSP5-8.5,CDD,13,-0.07142857142857142,-2.004371244852822,0.04503030721631648
MIROC6,SSP5-8.5,CWD,13,0.0,0.05806093997411695,0.42722770615313665
MIROC6,SSP5-8.5,PRCPTOT,13,-11.105416666666665,-3.860613098502839,0.00011310287388586583
MIROC6,SSP5-8.5,R10mm,13,-0.5,-3.664467953885801,0.00024785326881448155
MIROC6,SSP5-8.5,R20mm,13,-0.11764705882352941,-2.0631728860187053,0.03909620525209939
MIROC6,SSP5-8.5,R50mm,13,0.0,-2.2426556584263326,0.02491902809824643
MIROC6,SSP5-8.5,R95p,13,-6.583636363636365,-2.7423817456523136,0.006099540810054882
MIROC6,SSP5-8.5,R99p,13,0.0,-1.0127442066151378,0.31118235661303584
MIROC6,SSP5-8.5,Rx1day,13,-0.20315789473684207,-1.218004303188955,0.22322233748736564
MIROC6,SSP5-8.5,Rx5day,13,-0.5645454545454552,-1.6132731169353915,0.10668518438408882
MIROC6,SSP5-8.5,SDII,13,-0.041797835966004615,-3.2235939604869475,0.0012659275981976614
MRI-ESM2-0,SSP2-4.5,CDD,13,0.25,3.3449151377448536,0.0008230775007963426
MRI-ESM2-0,SSP2-4.5,CWD,13,-0.6,-2.6396726429066373,0.00829861433716778
MRI-ESM2-0,SSP2-4.5,PRCPTOT,13,-9.980000000000018,-2.6533339590518414,0.007970097216909965
MRI-ESM2-0,SSP2-4.5,R10mm,13,-0.29411764705882354,-1.398864607046132,0.16185358777934966
MRI-ESM2-0,SSP2-4.5,R20mm,13,0.0,0.43736205591856614,0.35510884874678805
MRI-ESM2-0,SSP2-4.5,R50mm,13,0.0,0.37619588185324604,0.6363924243732647
MRI-ESM2-0,SSP2-4.5,R95p,13,-0.7342857142857184,-0.41653442819279424,0.44521761721689
MRI-ESM2-0,SSP2-4.5,R99p,13,0.0,-0.8810444938296552,0.27428921465714706
MRI-ESM2-0,SSP2-4.5,Rx1day,13,-0.03739130434782606,-0.5085893622620163,0.10899597175534642
MRI-ESM2-0,SSP2-4.5,Rx5day,13,0.02066666666666682,0.11468942121427783,0.8237912887312012
MRI-ESM2-0,SSP2-4.5,SDII,13,-0.0085775728696082,-0.7357150540098357,0.2014220780131939
MRI-ESM2-0,SSP5-8.5,CDD,13,0.4,2.975709679373448,0.0029231144439542216
MRI-ESM2-0,SSP5-8.5,CWD,13,0.0,0.15194243767945514,0.7248937483417696
MRI-ESM2-0,SSP5-8.5,PRCPTOT,13,-2.4341176470588164,-0.45375899891688537,0.650002297158528
MRI-ESM2-0,SSP5-8.5,R10mm,13,0.07142857142857142,0.2747976729739745,0.7379665567953742
MRI-ESM2-0,SSP5-8.5,R20mm,13,0.0,1.3090352877009512,0.1905223977677989
MRI-ESM2-0,SSP5-8.5,R50mm,13,0.0,0.0,0.17148410465074881
MRI-ESM2-0,SSP5-8.5,R95p,13,0.291249999999998,0.38315129601770653,0.5822833949483557
MRI-ESM2-0,SSP5-8.5,R99p,13,0.0,1.0307226091576058,0.257469158360898
MRI-ESM2-0,SSP5-8.5,Rx1day,13,0.1380952380952382,1.809497350712979,0.0703737713664923
MRI-ESM2-0,SSP5-8.5,Rx5day,13,0.42625000000000074,1.345588278315163,0.1784353339910335
MRI-ESM2-0,SSP5-8.5,SDII,13,0.01245381050971114,1.1207930514495628,0.26237596257141205
