source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_a66ff45ee66c4de6,LA_NINA,4,10,30.027173913043477,32.01086956521739,-1.983695652173914,-6.196943972835317,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_dc4d6a079af8a48b,LA_NINA,4,10,17.255434782608695,17.93478260869565,-0.6793478260869534,-3.787878787878771,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_e28e705640008453,LA_NINA,4,10,31.79347826086957,36.35869565217391,-4.565217391304337,-12.556053811659165,True
RAW,RAINY,wet_day_frequency_pct,FGOALS-g3,grid_55d8abe4f8a2fad6,LA_NINA,6,4,9.96376811594203,12.63586956521739,-2.6721014492753614,-21.146953405017914,True
RAW,RAINY,wet_day_frequency_pct,FGOALS-g3,grid_bec124c723ff4cc0,LA_NINA,6,4,15.48913043478261,18.88586956521739,-3.3967391304347814,-17.98561151079136,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_646dc39f1698cf7c,LA_NINA,12,4,61.68478260869566,62.63586956521739,-0.9510869565217277,-1.5184381778741682,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_e76c7caef96c7398,LA_NINA,12,4,57.42753623188406,60.32608695652174,-2.89855072463768,-4.804804804804803,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_6cf183365c07226e,LA_NINA,12,3,54.71014492753624,57.971014492753625,-3.2608695652173836,-5.624999999999986,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_734a0a607f8697f4,LA_NINA,12,3,59.375,64.1304347826087,-4.7554347826087024,-7.415254237288146,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_f7737890dbe1030c,LA_NINA,12,3,70.78804347826087,70.10869565217389,0.6793478260869819,0.9689922480620519,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,EL_NINO,4,13,26.9725,46.512692307692305,-19.540192307692305,-42.01045206850074,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_91a222defd5ca790,EL_NINO,4,13,50.3115,40.66046153846154,9.651038461538462,23.735683502779114,True
RAW,RAINY,Rx1day,CESM2,grid_07764f63e0a851cb,EL_NINO,11,4,37.153636363636366,54.572,-17.418363636363637,-31.918133175188075,True
RAW,RAINY,Rx1day,CESM2,grid_75b745206e31761f,EL_NINO,11,4,38.95854545454546,52.31525,-13.35670454545454,-25.53118745576967,True
RAW,RAINY,Rx1day,CESM2,grid_a881af875d124648,EL_NINO,11,4,39.543727272727274,55.404250000000005,-15.86052272727273,-28.62690628836728,True
RAW,RAINY,Rx1day,CanESM5,grid_a0c557522bffc319,EL_NINO,5,10,44.82299999999999,62.54879999999999,-17.7258,-28.33915278950196,True
