source_type,season_type,metric,phase_contrast_absolute,phase_contrast_absolute_ci_low,phase_contrast_absolute_ci_high,phase_contrast_absolute_permutation_p,phase_contrast_absolute_valid_bootstrap,phase_contrast_pct,phase_contrast_pct_ci_low,phase_contrast_pct_ci_high,phase_contrast_pct_permutation_p,phase_contrast_pct_valid_bootstrap,neutral_centered_asymmetry_absolute,neutral_centered_asymmetry_absolute_ci_low,neutral_centered_asymmetry_absolute_ci_high,neutral_centered_asymmetry_absolute_permutation_p,neutral_centered_asymmetry_absolute_valid_bootstrap,neutral_centered_asymmetry_pct,neutral_centered_asymmetry_pct_ci_low,neutral_centered_asymmetry_pct_ci_high,neutral_centered_asymmetry_pct_permutation_p,neutral_centered_asymmetry_pct_valid_bootstrap,resampling_unit,bootstrap_repetitions,permutation_repetitions,true_asymmetry_p_bh_primary
RAW,RAINY,Rx1day,-1.95207196969697,-6.402990327380953,5.96423828327922,0.5962,5000,-7.49011987689334,-17.53400208597182,14.772117460425882,0.4362,5000,-15.2724875,-34.40860164772729,0.119806235119057,0.034,5000,-26.36521160149271,-55.44315156723558,1.5439092719973844,0.1742,5000,management-season climate year,5000,4999,0.6966857142857142
RAW,RAINY,CDD,1.6654761904761886,-1.7197104978354987,3.733541666666664,0.1872,5000,7.000485093118412,-12.439247145781211,26.760786695134186,0.4152,5000,4.384090909090908,0.8177408008657989,9.983674242424238,0.0828,5000,22.802986180971036,9.300247527250447,80.14335994911555,0.2032,5000,management-season climate year,5000,4999,0.6966857142857142
RAW,HOT_DRY,PRCPTOT,19.431700000000035,-6.610499916666651,57.74057615800869,0.2516,5000,5.973391070720454,-2.919183686844675,27.47070493882504,0.4456,5000,-9.187792191142186,-72.48124788194446,69.29086295995657,0.7708,5000,-8.317300009294595,-34.84842460123888,36.671587492342006,0.5862,5000,management-season climate year,5000,4999,0.7805714285714287
RAW,HOT_DRY,wet_day_frequency_pct,2.3103967855349055,0.07978163641146946,4.769797421731127,0.0474,5000,9.139589130790629,0.32265976658077833,16.01984068633083,0.0184,5000,-0.10359116022097936,-5.333837605764395,3.7841223003515867,0.9632,5000,0.3558274676706936,-18.421372976752124,13.181514138035876,0.9594,5000,management-season climate year,5000,4999,0.9594
RAW,HOT_DRY,Rx1day,0.5424666666666695,-3.0167414853896113,5.139043011363638,0.8086,5000,2.2747556496731036,-15.6148903060871,26.161435945485113,0.832,5000,3.1658264568764576,-10.724806875000006,9.487131628787884,0.459,5000,15.741240424109018,-40.73202108715693,48.26163763681786,0.4502,5000,management-season climate year,5000,4999,0.7805714285714287
RAW,HOT_DRY,CDD,-1.9155844155844157,-5.78344696969697,0.4610389610389607,0.2288,5000,-12.646876932591208,-26.433317368035727,1.692482337382184,0.0664,5000,-0.05416666666666714,-6.3336458333333345,6.321691919191918,0.9874,5000,0.9652278177458009,-22.646298038682993,29.110628094032727,0.944,5000,management-season climate year,5000,4999,0.9594
QDM,RAINY,PRCPTOT,-4.999158676150046,-105.24019315199905,114.75985267213741,0.929,5000,-0.5757430071995273,-10.3384576372009,11.198520123599952,0.9238,5000,-316.7277150127013,-515.3502365651419,-52.251797769780104,0.0224,5000,-28.03983744309901,-45.6040414371604,-5.167414452104654,0.0682,5000,management-season climate year,5000,4999,0.4092
QDM,RAINY,wet_day_frequency_pct,-0.06469979296065809,-1.636985636645963,4.684325666407861,0.9608,5000,-0.4135575022947725,-3.1087566898288763,8.804342524867934,0.8728,5000,-6.156023550724639,-10.487208189229252,-1.4824417260728666,0.03,5000,-10.558464659328294,-18.01717766328689,-3.931479767571969,0.0578,5000,management-season climate year,5000,4999,0.4092
QDM,RAINY,Rx1day,-6.182805656065273,-16.194663126702807,6.814384319802134,0.5158,5000,-7.014415583913575,-22.656340078100307,9.760151510137964,0.6152,5000,-40.4676489793392,-70.09573538785128,4.7867551563934905,0.0382,5000,-34.580897574869,-67.4443543148037,11.887488400224626,0.2902,5000,management-season climate year,5000,4999,0.7805714285714287
QDM,RAINY,CDD,0.03125,-1.5416666666666667,1.8631547619047615,0.9654,5000,1.6938737590911508,-12.953102321713748,18.54966308754272,0.7982,5000,1.1916666666666673,-0.34375,3.6333854166666653,0.3992,5000,7.597411856764744,-7.858967993575926,37.972431539220565,0.5712,5000,management-season climate year,5000,4999,0.7805714285714287
QDM,HOT_DRY,PRCPTOT,14.783822174414723,-25.79440519449442,82.16628166649745,0.6534,5000,5.521358036003562,-10.62194231108991,38.408544795342074,0.6794,5000,97.67598061326197,-89.10963842871016,190.0951902417818,0.13,5000,52.664133688516586,-37.82706339496535,117.01195150558438,0.0678,5000,management-season climate year,5000,4999,0.4092
QDM,HOT_DRY,wet_day_frequency_pct,2.0131215469613277,0.16574585635359185,4.594995186673361,0.0448,5000,12.734499205087452,1.1453926444661522,32.15349723008479,0.0638,5000,1.4053867403314886,-1.882901628757978,5.120319214241855,0.4906,5000,8.846153846153832,-13.594042035352357,40.36408864698727,0.5214,5000,management-season climate year,5000,4999,0.7805714285714287
QDM,HOT_DRY,Rx1day,-1.4100387699740935,-8.406542847752956,14.54784462650023,0.8514,5000,-1.454406827450704,-14.856287501364582,34.7743358743528,0.9166,5000,10.115550498063499,-25.949821166642142,45.09708184587793,0.4968,5000,20.898684662783513,-47.04610448783774,143.96568527998113,0.501,5000,management-season climate year,5000,4999,0.7805714285714287
QDM,HOT_DRY,CDD,-6.7709790209790235,-14.13374999999999,2.1826893939393828,0.0616,5000,-14.23368298368299,-30.07965806613427,4.665032109377165,0.0462,5000,0.19375000000000142,-8.13367424242424,17.059772727272733,0.9816,5000,6.363357452505433,-12.53338883558374,42.199678811308964,0.683,5000,management-season climate year,5000,4999,0.7805714285714287
