source_type,season_type,metric,station,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
OBSERVED,RAINY,Rx1day,351012,EL_NINO,6,8,61.583333333333336,90.4875,-28.90416666666666,-31.942717686604958,True
OBSERVED,RAINY,Rx1day,351201,EL_NINO,6,8,67.7,89.4,-21.700000000000003,-24.272930648769577,True
OBSERVED,RAINY,Rx1day,351001,LA_NINA,7,8,95.92857142857143,72.875,23.05357142857143,31.634403332516545,True
OBSERVED,RAINY,Rx1day,351002,LA_NINA,7,8,77.04285714285713,85.7125,-8.669642857142875,-10.114794058209567,True
OBSERVED,RAINY,Rx1day,351003,LA_NINA,7,8,77.61428571428571,76.9,0.7142857142857082,0.9288500835964996,True
OBSERVED,RAINY,Rx1day,351004,LA_NINA,7,8,93.68571428571428,89.98750000000001,3.698214285714272,4.109697775484674,True
OBSERVED,RAINY,Rx1day,351005,LA_NINA,7,8,77.24285714285715,76.82499999999999,0.4178571428571587,0.5439077681186577,True
OBSERVED,RAINY,Rx1day,351006,LA_NINA,7,8,54.228571428571435,56.6625,-2.4339285714285666,-4.295483911632149,True
OBSERVED,RAINY,Rx1day,351007,LA_NINA,7,8,68.84285714285714,45.525,23.317857142857143,51.21989487722601,True
OBSERVED,RAINY,Rx1day,351008,LA_NINA,7,8,43.48571428571429,52.525000000000006,-9.039285714285718,-17.209492078602032,True
OBSERVED,RAINY,Rx1day,351009,LA_NINA,7,8,28.042857142857144,29.612499999999997,-1.5696428571428527,-5.300609057468478,True
OBSERVED,RAINY,Rx1day,351010,LA_NINA,7,8,31.557142857142857,31.4,0.15714285714285836,0.5004549590536891,True
OBSERVED,RAINY,Rx1day,351011,LA_NINA,7,8,84.74285714285715,89.2125,-4.469642857142858,-5.010108288796815,True
OBSERVED,RAINY,Rx1day,351012,LA_NINA,7,8,105.67142857142858,90.4875,15.18392857142858,16.78013932468969,True
OBSERVED,RAINY,Rx1day,351201,LA_NINA,7,8,80.82857142857144,89.4,-8.57142857142857,-9.587727708533075,True
OBSERVED,RAINY,CDD,351001,EL_NINO,6,8,16.833333333333332,13.25,3.583333333333332,27.044025157232696,True
OBSERVED,RAINY,CDD,351002,EL_NINO,6,8,16.166666666666668,16.0,0.16666666666666785,1.041666666666674,True
OBSERVED,RAINY,CDD,351003,EL_NINO,6,8,14.666666666666666,10.625,4.041666666666666,38.03921568627451,True
OBSERVED,RAINY,CDD,351004,EL_NINO,6,8,12.166666666666666,15.625,-3.458333333333334,-22.133333333333336,True
OBSERVED,RAINY,CDD,351005,EL_NINO,6,8,17.166666666666668,9.375,7.791666666666668,83.11111111111111,True
OBSERVED,RAINY,CDD,351006,EL_NINO,6,8,6.333333333333333,6.25,0.08333333333333304,1.3333333333333286,True
OBSERVED,RAINY,CDD,351007,EL_NINO,6,8,6.666666666666667,5.5,1.166666666666667,21.212121212121218,True
OBSERVED,RAINY,CDD,351008,EL_NINO,6,8,5.666666666666667,8.75,-3.083333333333333,-35.238095238095234,True
OBSERVED,RAINY,CDD,351009,EL_NINO,6,8,3.8333333333333335,3.25,0.5833333333333335,17.948717948717952,True
OBSERVED,RAINY,CDD,351010,EL_NINO,6,8,3.6666666666666665,3.25,0.4166666666666665,12.820512820512816,True
OBSERVED,RAINY,CDD,351011,EL_NINO,6,8,15.833333333333334,13.875,1.958333333333334,14.11411411411412,True
OBSERVED,RAINY,CDD,351012,EL_NINO,6,8,16.0,13.25,2.75,20.754716981132077,True
OBSERVED,RAINY,CDD,351201,EL_NINO,6,8,14.333333333333334,10.875,3.458333333333334,31.800766283524908,True
OBSERVED,RAINY,CDD,351001,LA_NINA,7,8,12.428571428571429,13.25,-0.8214285714285712,-6.199460916442046,True
OBSERVED,RAINY,CDD,351002,LA_NINA,7,8,13.857142857142858,16.0,-2.1428571428571423,-13.392857142857139,True
OBSERVED,RAINY,CDD,351003,LA_NINA,7,8,10.714285714285714,10.625,0.08928571428571352,0.8403361344537743,True
OBSERVED,RAINY,CDD,351004,LA_NINA,7,8,14.714285714285714,15.625,-0.9107142857142865,-5.828571428571433,True
OBSERVED,RAINY,CDD,351005,LA_NINA,7,8,12.857142857142858,9.375,3.4821428571428577,37.14285714285715,True
OBSERVED,RAINY,CDD,351006,LA_NINA,7,8,11.142857142857142,6.25,4.892857142857142,78.28571428571428,True
OBSERVED,RAINY,CDD,351007,LA_NINA,7,8,7.714285714285714,5.5,2.2142857142857144,40.25974025974026,True
OBSERVED,RAINY,CDD,351008,LA_NINA,7,8,7.142857142857143,8.75,-1.6071428571428568,-18.367346938775505,True
OBSERVED,RAINY,CDD,351009,LA_NINA,7,8,2.2857142857142856,3.25,-0.9642857142857144,-29.670329670329675,True
OBSERVED,RAINY,CDD,351010,LA_NINA,7,8,2.857142857142857,3.25,-0.3928571428571428,-12.087912087912086,True
OBSERVED,RAINY,CDD,351011,LA_NINA,7,8,13.142857142857142,13.875,-0.7321428571428577,-5.276705276705281,True
OBSERVED,RAINY,CDD,351012,LA_NINA,7,8,10.285714285714286,13.25,-2.9642857142857135,-22.371967654986516,True
OBSERVED,RAINY,CDD,351201,LA_NINA,7,8,12.428571428571429,10.875,1.5535714285714288,14.285714285714288,True
OBSERVED,HOT_DRY,PRCPTOT,351001,EL_NINO,7,8,127.61428571428571,180.53750000000002,-52.92321428571431,-29.314250106329325,True
OBSERVED,HOT_DRY,PRCPTOT,351002,EL_NINO,7,4,129.12857142857143,165.55,-36.42142857142858,-22.00025887733529,True
OBSERVED,HOT_DRY,PRCPTOT,351003,EL_NINO,6,7,183.26666666666665,271.65714285714284,-88.39047619047619,-32.53751227036881,True
OBSERVED,HOT_DRY,PRCPTOT,351004,EL_NINO,7,7,158.75714285714284,256.75714285714287,-98.00000000000003,-38.16836365659602,True
OBSERVED,HOT_DRY,PRCPTOT,351005,EL_NINO,4,8,124.725,232.7625,-108.0375,-46.41533752215241,True
OBSERVED,HOT_DRY,PRCPTOT,351006,EL_NINO,8,8,123.075,264.0375,-140.96250000000003,-53.387302939923316,True
OBSERVED,HOT_DRY,PRCPTOT,351007,EL_NINO,8,8,142.1875,268.8125,-126.625,-47.10532434317601,True
OBSERVED,HOT_DRY,PRCPTOT,351008,EL_NINO,8,7,181.4375,254.4857142857143,-73.0482142857143,-28.704249466711577,True
OBSERVED,HOT_DRY,PRCPTOT,351009,EL_NINO,8,8,131.64999999999998,167.1875,-35.53750000000002,-21.256074766355155,True
OBSERVED,HOT_DRY,PRCPTOT,351010,EL_NINO,8,8,122.81249999999999,169.45,-46.6375,-27.52286810268516,True
OBSERVED,HOT_DRY,PRCPTOT,351011,EL_NINO,8,8,263.9,338.3125,-74.41250000000002,-21.99519674856827,True
OBSERVED,HOT_DRY,PRCPTOT,351012,EL_NINO,7,8,122.54285714285713,149.4125,-26.869642857142864,-17.98353073346799,True
OBSERVED,HOT_DRY,PRCPTOT,351201,EL_NINO,7,8,141.6142857142857,193.8625,-52.24821428571431,-26.951171209343894,True
OBSERVED,HOT_DRY,PRCPTOT,351001,LA_NINA,12,8,206.11666666666667,180.53750000000002,25.57916666666665,14.168339910914158,True
OBSERVED,HOT_DRY,PRCPTOT,351002,LA_NINA,7,4,187.51428571428573,165.55,21.964285714285722,13.267463433576395,True
OBSERVED,HOT_DRY,PRCPTOT,351003,LA_NINA,10,7,278.73,271.65714285714284,7.072857142857174,2.6035969709718247,True
OBSERVED,HOT_DRY,PRCPTOT,351004,LA_NINA,10,7,217.71999999999997,256.75714285714287,-39.037142857142896,-15.203916986591013,True
OBSERVED,HOT_DRY,PRCPTOT,351005,LA_NINA,8,8,289.125,232.7625,56.36250000000001,24.214596423392948,True
OBSERVED,HOT_DRY,PRCPTOT,351006,LA_NINA,11,8,244.60909090909084,264.0375,-19.428409090909184,-7.358200668809992,True
OBSERVED,HOT_DRY,PRCPTOT,351007,LA_NINA,12,8,294.83333333333337,268.8125,26.02083333333337,9.67991939858949,True
OBSERVED,HOT_DRY,PRCPTOT,351008,LA_NINA,12,7,280.24999999999994,254.4857142857143,25.76428571428565,10.124059728303555,True
OBSERVED,HOT_DRY,PRCPTOT,351009,LA_NINA,12,8,233.14999999999998,167.1875,65.96249999999998,39.454205607476624,True
OBSERVED,HOT_DRY,PRCPTOT,351010,LA_NINA,12,8,215.85833333333335,169.45,46.40833333333336,27.387626635192305,True
OBSERVED,HOT_DRY,PRCPTOT,351011,LA_NINA,12,8,367.42499999999995,338.3125,29.112499999999955,8.605209680399026,True
OBSERVED,HOT_DRY,PRCPTOT,351012,LA_NINA,12,8,268.90833333333336,149.4125,119.49583333333337,79.97713265846791,True
OBSERVED,HOT_DRY,PRCPTOT,351201,LA_NINA,10,8,243.75,193.8625,49.88749999999999,25.733445096395634,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351001,EL_NINO,7,8,5.445935280189424,6.491712707182321,-1.0457774269928972,-16.109422492401226,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351002,EL_NINO,7,4,5.445935280189424,6.629834254143646,-1.1838989739542223,-17.85714285714285,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351003,EL_NINO,6,7,13.259668508287293,18.074191002367797,-4.814522494080505,-26.637554585152838,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351004,EL_NINO,7,7,7.813733228097869,8.129439621152327,-0.3157063930544588,-3.883495145631062,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351005,EL_NINO,4,8,9.668508287292818,13.121546961325969,-3.4530386740331505,-26.315789473684216,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351006,EL_NINO,8,8,17.679558011049725,17.748618784530386,-0.0690607734806612,-0.3891050583657487,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351007,EL_NINO,8,8,18.57734806629834,18.093922651933703,0.48342541436463904,2.6717557251908293,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351008,EL_NINO,8,7,16.229281767955804,17.12707182320442,-0.8977900552486169,-5.241935483870956,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351009,EL_NINO,8,8,24.792817679558013,26.38121546961326,-1.5883977900552466,-6.020942408376956,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351010,EL_NINO,8,8,21.408839779005525,23.549723756906076,-2.1408839779005504,-9.090909090909083,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351011,EL_NINO,8,8,8.149171270718233,11.602209944751383,-3.4530386740331505,-29.76190476190477,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351012,EL_NINO,7,8,5.445935280189424,6.077348066298343,-0.6314127861089185,-10.389610389610386,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351201,EL_NINO,7,8,6.708760852407261,9.66850828729282,-2.959747434885559,-30.6122448979592,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351001,LA_NINA,12,8,8.287292817679559,6.491712707182321,1.7955801104972373,27.6595744680851,True
OBSERVED,HOT_DRY,wet_day_frequency_pct,351002,LA_NINA,7,4,8.839779005524862,6.629834254143646,2.209944751381216,33.33333333333334,True
