source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,EC-Earth3,-3.997990959316928,-11.777456647398854,5,10,11
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,FGOALS-g3,0.0,0.08421407217145949,2,11,6
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,MIROC6,4.940147329650095,19.321741854636606,2,12,5
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,MRI-ESM2-0,-2.2099447513812116,-7.692307692307679,3,15,4
RAW,HOT_DRY,Rx1day,EL_NINO,ACCESS-ESM1-5,-3.1492499999999994,-18.19163366318063,2,10,12
RAW,HOT_DRY,Rx1day,EL_NINO,CESM2,2.3635428571428534,11.256788514058721,3,14,5
RAW,HOT_DRY,Rx1day,EL_NINO,CanESM5,2.2993888888888847,13.332023398443514,1,6,9
RAW,HOT_DRY,Rx1day,EL_NINO,EC-Earth3,-3.948259595959602,-17.11861942625012,5,9,11
RAW,HOT_DRY,Rx1day,EL_NINO,FGOALS-g3,-6.345420512820512,-20.20318337327543,2,13,6
RAW,HOT_DRY,Rx1day,EL_NINO,MIROC6,-1.554790909090908,-4.3061432011994105,2,11,5
RAW,HOT_DRY,Rx1day,EL_NINO,MRI-ESM2-0,-5.397000000000002,-22.0700089964832,3,12,4
RAW,HOT_DRY,Rx1day,LA_NINA,ACCESS-ESM1-5,-5.447937499999997,-31.460397243273814,2,8,12
RAW,HOT_DRY,Rx1day,LA_NINA,CESM2,7.154490909090907,34.074521156239136,3,11,5
RAW,HOT_DRY,Rx1day,LA_NINA,CanESM5,1.068688888888886,6.196335618203353,1,5,9
RAW,HOT_DRY,Rx1day,LA_NINA,EC-Earth3,-7.796121818181822,-34.44097542952154,5,10,11
RAW,HOT_DRY,Rx1day,LA_NINA,FGOALS-g3,9.511246969696973,35.94442379738446,2,11,6
RAW,HOT_DRY,Rx1day,LA_NINA,MIROC6,10.060216666666662,28.15980848838504,2,12,5
RAW,HOT_DRY,Rx1day,LA_NINA,MRI-ESM2-0,-6.094116666666672,-25.554798421900518,3,15,4
RAW,HOT_DRY,CDD,EL_NINO,ACCESS-ESM1-5,0.7166666666666668,4.837584477872248,2,10,12
RAW,HOT_DRY,CDD,EL_NINO,CESM2,-1.8857142857142861,-13.865546218487399,3,14,5
RAW,HOT_DRY,CDD,EL_NINO,CanESM5,6.777777777777775,36.52694610778441,1,6,9
RAW,HOT_DRY,CDD,EL_NINO,EC-Earth3,6.020202020202021,31.53439153439154,5,9,11
RAW,HOT_DRY,CDD,EL_NINO,FGOALS-g3,-3.910256410256409,-7.178181184972354,2,13,6
RAW,HOT_DRY,CDD,EL_NINO,MIROC6,-7.072727272727274,-19.33793145357317,2,11,5
RAW,HOT_DRY,CDD,EL_NINO,MRI-ESM2-0,3.833333333333332,18.253968253968246,3,12,4
RAW,HOT_DRY,CDD,LA_NINA,ACCESS-ESM1-5,-0.7708333333333339,-3.8723566601264467,2,8,12
RAW,HOT_DRY,CDD,LA_NINA,CESM2,-3.5999999999999996,-26.470588235294112,3,11,5
RAW,HOT_DRY,CDD,LA_NINA,CanESM5,-1.1555555555555586,-6.227544910179656,1,5,9
RAW,HOT_DRY,CDD,LA_NINA,EC-Earth3,-0.25454545454545396,-1.0852713178294549,5,10,11
RAW,HOT_DRY,CDD,LA_NINA,FGOALS-g3,-0.46969696969696884,-0.9996398621186381,2,11,6
RAW,HOT_DRY,CDD,LA_NINA,MIROC6,-7.425000000000001,-20.322248217468807,2,12,5
RAW,HOT_DRY,CDD,LA_NINA,MRI-ESM2-0,1.8833333333333329,7.458745874587457,3,15,4
QDM,RAINY,PRCPTOT,EL_NINO,ACCESS-ESM1-5,234.9297991294298,26.3611129592411,2,4,13
QDM,RAINY,PRCPTOT,EL_NINO,CESM2,-100.61720586836918,-9.57940010137135,3,11,4
QDM,RAINY,PRCPTOT,EL_NINO,CanESM5,-304.26688916329067,-30.5632657358924,1,5,10
QDM,RAINY,PRCPTOT,EL_NINO,EC-Earth3,15.92106798323698,1.4973620807642836,5,6,10
QDM,RAINY,PRCPTOT,EL_NINO,FGOALS-g3,-167.16897630892203,-14.529967679926415,2,6,4
QDM,RAINY,PRCPTOT,EL_NINO,MIROC6,-168.38772100965144,-17.972773625568493,2,12,4
QDM,RAINY,PRCPTOT,EL_NINO,MRI-ESM2-0,-287.0738949927411,-24.552196956351313,3,7,3
QDM,RAINY,PRCPTOT,LA_NINA,CESM2,-43.35933613621705,-4.1280855038059325,3,5,4
QDM,RAINY,PRCPTOT,LA_NINA,CanESM5,-324.12680684233806,-32.55817206035915,1,7,10
QDM,RAINY,PRCPTOT,LA_NINA,EC-Earth3,-62.11309885626315,-6.360938535255651,5,4,10
QDM,RAINY,PRCPTOT,LA_NINA,FGOALS-g3,-322.3099117118943,-27.842221601094327,2,6,4
QDM,RAINY,PRCPTOT,LA_NINA,MIROC6,102.68133602322115,10.993352162568678,2,12,4
QDM,RAINY,PRCPTOT,LA_NINA,MRI-ESM2-0,-277.2122946659938,-23.70877664628362,3,12,3
QDM,RAINY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,-3.937604515050168,-5.716382456536399,2,4,13
QDM,RAINY,wet_day_frequency_pct,EL_NINO,CESM2,-4.7369071146245005,-9.18560606060608,3,11,4
QDM,RAINY,wet_day_frequency_pct,EL_NINO,CanESM5,-6.576086956521728,-15.25851197982343,1,5,10
QDM,RAINY,wet_day_frequency_pct,EL_NINO,EC-Earth3,-2.3369565217391255,-3.0006978367062045,5,6,10
QDM,RAINY,wet_day_frequency_pct,EL_NINO,FGOALS-g3,-1.641757246376816,-4.019252070107455,2,6,4
QDM,RAINY,wet_day_frequency_pct,EL_NINO,MIROC6,-4.58559782608695,-10.042344411631424,2,12,4
QDM,RAINY,wet_day_frequency_pct,EL_NINO,MRI-ESM2-0,-5.53830227743272,-6.96387894565572,3,7,3
QDM,RAINY,wet_day_frequency_pct,LA_NINA,CESM2,2.513586956521735,3.2484635645302835,3,5,4
QDM,RAINY,wet_day_frequency_pct,LA_NINA,CanESM5,-6.840062111801238,-15.871014231669962,1,7,10
QDM,RAINY,wet_day_frequency_pct,LA_NINA,EC-Earth3,-3.953804347826093,-7.115869017632232,5,4,10
QDM,RAINY,wet_day_frequency_pct,LA_NINA,FGOALS-g3,-1.551177536231883,-4.372036717554149,2,6,4
QDM,RAINY,wet_day_frequency_pct,LA_NINA,MIROC6,-0.9737318840579654,-2.7957238302436607,2,12,4
QDM,RAINY,wet_day_frequency_pct,LA_NINA,MRI-ESM2-0,-3.9855072463768124,-5.011389521640092,3,12,3
QDM,RAINY,Rx1day,EL_NINO,ACCESS-ESM1-5,5.333895150471875,9.91419281552562,2,4,13
QDM,RAINY,Rx1day,EL_NINO,CESM2,-2.392797311350897,-3.7983600873771963,3,11,4
QDM,RAINY,Rx1day,EL_NINO,CanESM5,-34.818902697766305,-39.64184734179712,1,5,10
QDM,RAINY,Rx1day,EL_NINO,EC-Earth3,-3.4297431267480647,-5.664124677444983,5,6,10
QDM,RAINY,Rx1day,EL_NINO,FGOALS-g3,-0.40077077167573805,4.934184513955456,2,6,4
QDM,RAINY,Rx1day,EL_NINO,MIROC6,-12.448497278335282,-15.508896309270815,2,12,4
QDM,RAINY,Rx1day,EL_NINO,MRI-ESM2-0,-43.44571460109271,-47.85521511110124,3,7,3
QDM,RAINY,Rx1day,LA_NINA,CESM2,-15.52456778874771,-24.48763073412788,3,5,4
QDM,RAINY,Rx1day,LA_NINA,CanESM5,-47.270549834093444,-53.81823593212082,1,7,10
QDM,RAINY,Rx1day,LA_NINA,EC-Earth3,-8.82965531764438,-10.378948750641431,5,4,10
QDM,RAINY,Rx1day,LA_NINA,FGOALS-g3,-62.61716208690406,-45.65370244099084,2,6,4
QDM,RAINY,Rx1day,LA_NINA,MIROC6,10.431927796341814,21.162425296795018,2,12,4
QDM,RAINY,Rx1day,LA_NINA,MRI-ESM2-0,-27.426763791205495,-32.13400332606811,3,12,3
QDM,RAINY,CDD,EL_NINO,ACCESS-ESM1-5,4.3125,36.25,2,4,13
QDM,RAINY,CDD,EL_NINO,CESM2,1.5227272727272734,11.936758893280627,3,11,4
QDM,RAINY,CDD,EL_NINO,CanESM5,6.199999999999999,52.54237288135592,1,5,10
QDM,RAINY,CDD,EL_NINO,EC-Earth3,0.9333333333333336,13.636363636363628,5,6,10
QDM,RAINY,CDD,EL_NINO,FGOALS-g3,0.6041666666666674,-3.6904761904761845,2,6,4
QDM,RAINY,CDD,EL_NINO,MIROC6,0.9583333333333326,7.017837235228533,2,12,4
QDM,RAINY,CDD,EL_NINO,MRI-ESM2-0,-2.8095238095238093,-19.04761904761905,3,7,3
QDM,RAINY,CDD,LA_NINA,CESM2,-0.4500000000000002,-7.826086956521742,3,5,4
QDM,RAINY,CDD,LA_NINA,CanESM5,7.485714285714284,63.43825665859563,1,7,10
QDM,RAINY,CDD,LA_NINA,EC-Earth3,2.2,18.56617647058824,5,4,10
QDM,RAINY,CDD,LA_NINA,FGOALS-g3,-0.02083333333333348,-5.436507936507939,2,6,4
QDM,RAINY,CDD,LA_NINA,MIROC6,1.6458333333333335,12.15161649944259,2,12,4
QDM,RAINY,CDD,LA_NINA,MRI-ESM2-0,-1.166666666666666,-8.333333333333334,3,12,3
QDM,HOT_DRY,PRCPTOT,EL_NINO,ACCESS-ESM1-5,-85.26404014531641,-29.43779850251404,2,10,12
QDM,HOT_DRY,PRCPTOT,EL_NINO,CESM2,51.5036974821989,28.924573416572926,3,14,5
QDM,HOT_DRY,PRCPTOT,EL_NINO,CanESM5,60.06420673268059,32.38492609343817,1,6,9
QDM,HOT_DRY,PRCPTOT,EL_NINO,EC-Earth3,-155.64904141852557,-42.25990403200518,5,9,11
QDM,HOT_DRY,PRCPTOT,EL_NINO,FGOALS-g3,67.27524887870808,32.57377038190989,2,13,6
QDM,HOT_DRY,PRCPTOT,EL_NINO,MIROC6,22.490540407235343,14.410533971452898,2,11,5
QDM,HOT_DRY,PRCPTOT,EL_NINO,MRI-ESM2-0,-59.23548111125652,-22.12285130270254,3,12,4
QDM,HOT_DRY,PRCPTOT,LA_NINA,ACCESS-ESM1-5,-85.56674258802451,-29.465491961431756,2,8,12
QDM,HOT_DRY,PRCPTOT,LA_NINA,CESM2,81.82592424286554,45.95359302037922,3,11,5
QDM,HOT_DRY,PRCPTOT,LA_NINA,CanESM5,37.61177388058138,20.279207595078415,1,5,9
QDM,HOT_DRY,PRCPTOT,LA_NINA,EC-Earth3,-104.84381776169585,-36.491532270327504,5,10,11
QDM,HOT_DRY,PRCPTOT,LA_NINA,FGOALS-g3,102.79856487520843,49.78116707884904,2,11,6
QDM,HOT_DRY,PRCPTOT,LA_NINA,MIROC6,173.0608192816117,110.32115185303545,2,12,5
QDM,HOT_DRY,PRCPTOT,LA_NINA,MRI-ESM2-0,-51.439967607622236,-17.372430898493548,3,15,4
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,-0.30386740331491957,-1.248012718600973,2,10,12
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,CESM2,1.4048934490923504,9.213250517598384,3,14,5
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,CanESM5,-1.3198281154082263,-11.813186813186817,1,6,9
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,EC-Earth3,-4.771471622300352,-28.521825396825395,5,9,11
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,FGOALS-g3,0.42853095339283254,1.467521367521373,2,13,6
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,MIROC6,-0.07282772476142618,-1.66166587706831,2,11,5
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,MRI-ESM2-0,-0.6445672191528544,-6.222222222222221,3,12,4
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,ACCESS-ESM1-5,1.7092541436464082,11.48648648648648,2,8,12
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,CESM2,3.2546459065796096,35.274904735982595,3,11,5
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,CanESM5,2.308164518109269,20.65934065934065,1,5,9
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,EC-Earth3,-3.329984932194879,-19.501915708812273,5,10,11
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,FGOALS-g3,0.9249958144985788,5.738383838383852,2,11,6
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,MIROC6,6.1625230202578285,49.48288618670786,2,12,5
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,MRI-ESM2-0,0.7090239410681392,3.540229885057467,3,15,4
QDM,HOT_DRY,Rx1day,EL_NINO,ACCESS-ESM1-5,-26.912684812603302,-39.21633007227453,2,10,12
QDM,HOT_DRY,Rx1day,EL_NINO,CESM2,-1.0016572226699836,-2.069419597162503,3,14,5
QDM,HOT_DRY,Rx1day,EL_NINO,CanESM5,20.367282727191416,62.42376163286586,1,6,9
QDM,HOT_DRY,Rx1day,EL_NINO,EC-Earth3,-10.40297346747056,-19.08271881290603,5,9,11
QDM,HOT_DRY,Rx1day,EL_NINO,FGOALS-g3,20.23372434938238,45.085469411537176,2,13,6
QDM,HOT_DRY,Rx1day,EL_NINO,MIROC6,15.278564961561205,51.38221377120897,2,11,5
QDM,HOT_DRY,Rx1day,EL_NINO,MRI-ESM2-0,-54.65687972284538,-51.85592598520901,3,12,4
