Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
CanESM5,SSP5-8.5,351002,R99p,1995-2014,2021-2050,24.8275,28.010666666666665,3.183166666666665,12.821132480784069,mm
CanESM5,SSP5-8.5,351003,PRCPTOT,1995-2014,2021-2050,866.2639999999999,940.6713333333333,74.40733333333344,8.589452330159565,mm
CanESM5,SSP5-8.5,351003,SDII,1995-2014,2021-2050,13.424398336480218,13.385945118737263,-0.03845321774295485,-0.2864427647268176,mm day-1
CanESM5,SSP5-8.5,351003,Rx1day,1995-2014,2021-2050,79.793,99.977,20.183999999999997,25.295451982003428,mm
CanESM5,SSP5-8.5,351003,Rx5day,1995-2014,2021-2050,161.251,185.15633333333332,23.905333333333317,14.824920982402167,mm
CanESM5,SSP5-8.5,351003,CDD,1995-2014,2021-2050,68.55,64.26666666666667,-4.283333333333331,-6.248480427911498,days
CanESM5,SSP5-8.5,351003,CWD,1995-2014,2021-2050,6.65,7.133333333333334,0.4833333333333334,7.268170426065164,days
CanESM5,SSP5-8.5,351003,R10mm,1995-2014,2021-2050,27.85,28.7,0.8499999999999979,3.0520646319569043,days
CanESM5,SSP5-8.5,351003,R20mm,1995-2014,2021-2050,13.85,14.0,0.15000000000000036,1.0830324909747318,days
CanESM5,SSP5-8.5,351003,R50mm,1995-2014,2021-2050,2.05,2.6333333333333333,0.5833333333333335,28.45528455284554,days
CanESM5,SSP5-8.5,351003,R95p,1995-2014,2021-2050,241.362,288.09833333333336,46.73633333333336,19.363583883682335,mm
CanESM5,SSP5-8.5,351003,R99p,1995-2014,2021-2050,81.12100000000001,130.403,49.28199999999998,60.75122348097283,mm
CanESM5,SSP5-8.5,351004,PRCPTOT,1995-2014,2021-2050,858.0615,898.2326666666667,40.171166666666636,4.681618586391143,mm
CanESM5,SSP5-8.5,351004,SDII,1995-2014,2021-2050,17.578564338728498,16.668035903009173,-0.9105284357193248,-5.179765640549379,mm day-1
CanESM5,SSP5-8.5,351004,Rx1day,1995-2014,2021-2050,81.465,96.58433333333333,15.11933333333333,18.55929949467051,mm
CanESM5,SSP5-8.5,351004,Rx5day,1995-2014,2021-2050,171.8315,176.8493333333333,5.0178333333333,2.9202057441931775,mm
CanESM5,SSP5-8.5,351004,CDD,1995-2014,2021-2050,83.0,83.43333333333334,0.4333333333333371,0.5220883534136592,days
CanESM5,SSP5-8.5,351004,CWD,1995-2014,2021-2050,5.65,5.933333333333334,0.2833333333333332,5.014749262536871,days
CanESM5,SSP5-8.5,351004,R10mm,1995-2014,2021-2050,27.7,28.833333333333332,1.1333333333333329,4.091456077015642,days
CanESM5,SSP5-8.5,351004,R20mm,1995-2014,2021-2050,15.45,14.4,-1.049999999999999,-6.7961165048543615,days
CanESM5,SSP5-8.5,351004,R50mm,1995-2014,2021-2050,2.7,2.6333333333333333,-0.06666666666666687,-2.469135802469143,days
CanESM5,SSP5-8.5,351004,R95p,1995-2014,2021-2050,259.06399999999996,265.418,6.354000000000042,2.4526757866782116,mm
CanESM5,SSP5-8.5,351004,R99p,1995-2014,2021-2050,66.43449999999999,90.42633333333333,23.991833333333346,36.1135153170918,mm
CanESM5,SSP5-8.5,351005,PRCPTOT,1995-2014,2021-2050,846.0799999999999,886.436,40.35600000000011,4.76976172465962,mm
CanESM5,SSP5-8.5,351005,SDII,1995-2014,2021-2050,14.490064722549542,13.880977672154668,-0.6090870503948747,-4.20348053688821,mm day-1
CanESM5,SSP5-8.5,351005,Rx1day,1995-2014,2021-2050,78.65700000000001,88.09200000000001,9.435000000000002,11.995118044166446,mm
CanESM5,SSP5-8.5,351005,Rx5day,1995-2014,2021-2050,165.346,163.603,-1.742999999999995,-1.0541531092375958,mm
CanESM5,SSP5-8.5,351005,CDD,1995-2014,2021-2050,73.25,74.23333333333333,0.9833333333333343,1.3424345847554051,days
CanESM5,SSP5-8.5,351005,CWD,1995-2014,2021-2050,6.55,7.0,0.4500000000000002,6.87022900763359,days
CanESM5,SSP5-8.5,351005,R10mm,1995-2014,2021-2050,27.2,28.1,0.9000000000000021,3.3088235294117725,days
CanESM5,SSP5-8.5,351005,R20mm,1995-2014,2021-2050,14.15,13.7,-0.45000000000000107,-3.180212014134283,days
CanESM5,SSP5-8.5,351005,R50mm,1995-2014,2021-2050,2.2,2.2666666666666666,0.06666666666666643,3.030303030303019,days
CanESM5,SSP5-8.5,351005,R95p,1995-2014,2021-2050,247.805,251.14,3.3349999999999795,1.345816266822695,mm
CanESM5,SSP5-8.5,351005,R99p,1995-2014,2021-2050,67.248,77.98433333333332,10.73633333333332,15.965282734554663,mm
CanESM5,SSP5-8.5,351006,PRCPTOT,1995-2014,2021-2050,899.2695,939.414,40.144499999999994,4.464123380143549,mm
CanESM5,SSP5-8.5,351006,SDII,1995-2014,2021-2050,13.306840593648314,12.766646703718093,-0.5401938899302205,-4.059520260489696,mm day-1
CanESM5,SSP5-8.5,351006,Rx1day,1995-2014,2021-2050,78.163,89.20833333333333,11.045333333333332,14.131153273714332,mm
CanESM5,SSP5-8.5,351006,Rx5day,1995-2014,2021-2050,163.808,169.81,6.0020000000000095,3.6640457120531416,mm
CanESM5,SSP5-8.5,351006,CDD,1995-2014,2021-2050,71.35,71.73333333333333,0.38333333333333997,0.537257650081766,days
