Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,CWD,7.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,PRCPTOT,650.45,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,R10mm,21.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,R20mm,5.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,R95p,247.96000000000004,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,R99p,77.77,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,Rx1day,32.79,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,Rx5day,92.57,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2044,OK,SDII,7.391477272727273,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,CDD,58.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,CWD,14.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,PRCPTOT,1023.25,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,R10mm,37.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,R20mm,10.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,R95p,543.0799999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,R99p,378.48,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,Rx1day,59.23,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,Rx5day,164.38,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2045,OK,SDII,10.131188118811881,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,CDD,76.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,CWD,4.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,PRCPTOT,369.97999999999996,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,R10mm,10.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,R20mm,2.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,R95p,103.02000000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,R99p,49.129999999999995,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,Rx1day,25.57,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,Rx5day,50.56,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2046,OK,SDII,5.967419354838709,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,CDD,61.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,CWD,10.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,PRCPTOT,946.8499999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,R10mm,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,R20mm,17.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,R95p,680.13,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,R99p,523.76,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,Rx1day,53.99,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,Rx5day,144.3,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2047,OK,SDII,11.835624999999999,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,CDD,64.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,CWD,9.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,PRCPTOT,617.7800000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,R10mm,24.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,R20mm,5.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,R95p,284.46,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,R99p,98.17999999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,Rx1day,28.17,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,Rx5day,84.92999999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2048,OK,SDII,8.128684210526316,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,CDD,41.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,CWD,6.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,PRCPTOT,561.2299999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,R10mm,16.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,R20mm,4.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,R95p,211.01,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,R99p,123.66,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,Rx1day,40.94,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,Rx5day,59.99,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2049,OK,SDII,6.761807228915662,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,CDD,31.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,CWD,8.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,PRCPTOT,832.7200000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,R10mm,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,R20mm,5.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,R95p,253.06000000000003,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,R99p,90.07,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,Rx1day,35.46,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,Rx5day,69.82,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351010,2050,OK,SDII,7.24104347826087,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,CDD,54.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,CWD,30.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,PRCPTOT,1218.6,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,R10mm,32.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2021,OK,R20mm,9.0,days
