Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
EC-Earth3,SSP5-8.5,R20mm,13,0.0,-0.3985974888431889,0.6901898122162109
EC-Earth3,SSP5-8.5,R50mm,13,0.0,-0.9974166476828011,0.31856231396712786
EC-Earth3,SSP5-8.5,R95p,13,-4.204799999999995,-1.0957664252905344,0.273181005030698
EC-Earth3,SSP5-8.5,R99p,13,-2.3091666666666675,-1.600664463253982,0.10945125610120622
EC-Earth3,SSP5-8.5,Rx1day,13,-0.6422222222222216,-1.2991722415758353,0.1938848254296981
EC-Earth3,SSP5-8.5,Rx5day,13,-1.9654545454545458,-1.4567702818188852,0.14517980183521878
EC-Earth3,SSP5-8.5,SDII,13,-0.05167666258669927,-1.788095824965104,0.07376054909257083
FGOALS-g3,SSP2-4.5,CDD,13,-0.3333333333333333,-2.0874562397464516,0.03684691277733599
FGOALS-g3,SSP2-4.5,CWD,13,-0.125,-4.652237156633226,3.2835313348153013e-06
FGOALS-g3,SSP2-4.5,PRCPTOT,13,-4.362857142857154,-1.2096212198961067,0.22642427181592506
FGOALS-g3,SSP2-4.5,R10mm,13,-0.2,-3.0045628370144715,0.002659628145857437
FGOALS-g3,SSP2-4.5,R20mm,13,-0.05555555555555555,-1.2793952306016838,0.20075791253022923
FGOALS-g3,SSP2-4.5,R50mm,13,0.0,0.1546088547865026,0.38617492842406453
FGOALS-g3,SSP2-4.5,R95p,13,-1.0574074074074067,-0.3179253883016694,0.6627045948252168
FGOALS-g3,SSP2-4.5,R99p,13,0.0,0.9985155261972958,0.31802943948766293
FGOALS-g3,SSP2-4.5,Rx1day,13,0.3966666666666667,1.3866068683841435,0.16556167280530265
FGOALS-g3,SSP2-4.5,Rx5day,13,0.12818181818181787,0.23078990432131732,0.5433714565624854
FGOALS-g3,SSP2-4.5,SDII,13,-0.015489769274317429,-0.5216534661312652,0.5029972724053176
FGOALS-g3,SSP5-8.5,CDD,13,0.25,1.8855182858399644,0.0593598980382611
FGOALS-g3,SSP5-8.5,CWD,13,0.2,6.653404224001361,2.8639020862271495e-11
FGOALS-g3,SSP5-8.5,PRCPTOT,13,15.727500000000049,7.536767996851763,4.817623170413835e-14
FGOALS-g3,SSP5-8.5,R10mm,13,0.4,6.67752562037645,2.4301013831286087e-11
FGOALS-g3,SSP5-8.5,R20mm,13,0.2222222222222222,5.948880168346998,2.699831979502393e-09
FGOALS-g3,SSP5-8.5,R50mm,13,0.07142857142857142,5.0177777795957,5.227258980241021e-07
FGOALS-g3,SSP5-8.5,R95p,13,8.979999999999997,6.3418455783964225,2.2702882066819633e-10
FGOALS-g3,SSP5-8.5,R99p,13,4.015,4.992304204146508,5.966318494910512e-07
FGOALS-g3,SSP5-8.5,Rx1day,13,1.027777777777777,2.5917642664403906,0.009548517467817578
FGOALS-g3,SSP5-8.5,Rx5day,13,2.8948148148148136,5.630403907366358,1.7978808651404577e-08
FGOALS-g3,SSP5-8.5,SDII,13,0.08350049652432823,7.108296767772883,1.1748373235494396e-12
MIROC6,SSP2-4.5,CDD,13,0.48,3.3022923468458467,0.0009589806366161907
MIROC6,SSP2-4.5,CWD,13,0.0,0.07766677862612663,0.0314504099511736
MIROC6,SSP2-4.5,PRCPTOT,13,6.991599999999989,4.085644813521043,4.395457542629575e-05
MIROC6,SSP2-4.5,R10mm,13,0.3333333333333333,4.591018730496528,4.410877458174761e-06
MIROC6,SSP2-4.5,R20mm,13,0.19047619047619047,4.09006223476056,4.312574560061477e-05
MIROC6,SSP2-4.5,R50mm,13,0.0,1.7065403693041485,0.08790751678267074
MIROC6,SSP2-4.5,R95p,13,5.491,2.8648487626714676,0.004172084469809507
MIROC6,SSP2-4.5,R99p,13,0.0,1.1047920260196655,0.19592407742614681
MIROC6,SSP2-4.5,Rx1day,13,0.0745833333333333,0.3513377976771042,0.22453243275258727
MIROC6,SSP2-4.5,Rx5day,13,1.513333333333337,3.543750200430343,0.0003944788124990665
MIROC6,SSP2-4.5,SDII,13,0.04972222222222214,2.599446920607909,0.009337411775550118
