scenario,index,method,n_models,gauges_min,gauges_max,median,q25,q75,mean,sd,min,max,estimator
ssp245,q90,detqm,7,13,13,1.0273768200490514,-0.8099098739578711,3.3391031612776483,2.5277059594182374,5.634533789846297,-2.2984582804668823,13.906636601705937,model_level_gauge_mean_then_ensemble_median
ssp245,q90,qdm,7,13,13,0.42896189690798586,-0.7825633414296098,3.630030791880625,2.835852603450816,6.260860370211371,-2.0429001623202065,15.769971588665896,model_level_gauge_mean_then_ensemble_median
ssp245,q95,qm,7,13,13,0.09407933316501686,-1.8039744606638495,2.028397669475629,1.169984981171758,4.157294442584015,-2.056342517368978,9.70331163478271,model_level_gauge_mean_then_ensemble_median
ssp245,q95,detqm,7,13,13,-0.019435173463684088,-1.4290607724103657,1.6313172616667575,0.7420173886912053,2.9795371184893553,-1.824143650346893,6.633187566136231,model_level_gauge_mean_then_ensemble_median
ssp245,q95,qdm,7,13,13,-0.05429832565259888,-1.0327784076649746,1.2907185016868397,0.781398202051027,2.919699271403457,-1.8180277215068374,6.826233273472894,model_level_gauge_mean_then_ensemble_median
ssp245,q99,qm,7,13,13,1.9547025015770556,-0.8330328814748398,2.9344866685411826,0.7306359998146817,11.273221420884742,-19.640792859698003,18.59763478269103,model_level_gauge_mean_then_ensemble_median
ssp245,q99,detqm,7,13,13,1.4646204690566167,-1.29295217759453,2.108275037454679,0.17107946608654245,9.730573593515665,-17.46897869533825,15.571268769167135,model_level_gauge_mean_then_ensemble_median
ssp245,q99,qdm,7,13,13,0.2619739171032397,-2.2144318734996458,2.0825041415545194,0.25925666705560163,8.321571500903339,-12.992829288494484,14.809507504670707,model_level_gauge_mean_then_ensemble_median
ssp245,Rx1day,qm,7,13,13,1.625873673256943,0.3371683032462328,1.9674486372143847,-0.8625967793846249,6.292486087013294,-14.960765752054536,2.6874807421839857,model_level_gauge_mean_then_ensemble_median
ssp245,Rx1day,detqm,7,13,13,0.8128820272466428,-0.5712352044527101,1.2051039672075545,-1.239207119050395,5.0877680690641265,-12.555421065976597,1.8003516798674999,model_level_gauge_mean_then_ensemble_median
ssp245,Rx1day,qdm,7,13,13,0.5936724254891896,-0.4754926248058913,1.129969963389414,-0.05792400790631474,2.687253530263426,-5.452343134038445,3.1442479760380078,model_level_gauge_mean_then_ensemble_median
ssp245,R10mm,qm,7,13,13,-0.8036236029294396,-2.336297156840449,4.771696104372751,1.2183618683593345,5.540537567106568,-4.640718103276071,9.102076889656248,model_level_gauge_mean_then_ensemble_median
ssp245,R10mm,detqm,7,13,13,-2.4350356957272066,-3.0537221711572524,1.557928642421961,-0.5654272267989094,5.001195837737958,-6.321145236861098,7.789777402466521,model_level_gauge_mean_then_ensemble_median
ssp245,R10mm,qdm,7,13,13,-2.0274449616529333,-2.4198674638000703,1.6179192168535024,-0.04677275798088295,4.337669311472423,-4.705863798937977,8.009795948617866,model_level_gauge_mean_then_ensemble_median
ssp245,R20mm,qm,7,13,13,0.9969142493652352,-1.724088352067624,4.864722837780899,1.1707394210095838,14.285447846260286,-23.658467483367954,24.575460209643254,model_level_gauge_mean_then_ensemble_median
ssp245,R20mm,detqm,7,13,13,0.5230739128138608,0.13872169886395438,3.123768973302853,1.4935181577258434,13.57675443800022,-21.658904501363416,25.065476348296844,model_level_gauge_mean_then_ensemble_median
ssp245,R20mm,qdm,7,13,13,2.110508854182846,-0.7654582303294787,6.089215739339035,3.7469849288189456,9.25548387362482,-8.026389543468063,21.497260172998722,model_level_gauge_mean_then_ensemble_median
ssp245,R50mm,qm,6,9,12,15.537481998379395,-4.834485759682378,25.33947823467385,16.17674831117799,57.6460830552737,-63.89843625520526,112.90229349111205,model_level_gauge_mean_then_ensemble_median
ssp245,R50mm,detqm,6,9,12,6.602215233813846,1.8983391915503272,23.874330826724837,12.316619583202964,50.935514501646395,-63.61059359639234,94.34379742615812,model_level_gauge_mean_then_ensemble_median
ssp245,R50mm,qdm,6,9,12,14.761523834783516,10.546801407265608,18.51997638125186,14.976129436924516,48.026910368983536,-60.02697725884327,91.44601838265572,model_level_gauge_mean_then_ensemble_median
ssp245,R95p,qm,7,6,13,-1.4890024087498406,-3.4284670492733667,2.319433003882254,1.5531796664784223,29.973248754863757,-43.98409039332439,58.563418558205406,model_level_gauge_mean_then_ensemble_median
ssp245,R95p,detqm,7,6,13,-2.5874206326862725,-4.099525134715569,0.806941067649505,-0.5558521937252051,24.854102808748042,-40.07420531386869,45.35582872461065,model_level_gauge_mean_then_ensemble_median
ssp245,R95p,qdm,7,6,13,-1.447570867062216,-3.9493693855254257,0.0832438732779962,1.0720206541815425,27.97159209744881,-39.22049096935305,55.90445744018093,model_level_gauge_mean_then_ensemble_median
ssp245,R99p,qm,7,5,13,-9.205646538523363,-19.35859389004655,3.3831840258446553,-6.333443855646554,18.987677404074162,-28.249324798053205,25.07168407545447,model_level_gauge_mean_then_ensemble_median
ssp245,R99p,detqm,7,5,13,-5.763946235352563,-9.091133946718557,-0.23221271606728155,-3.3489891549550137,20.501383982486406,-33.651466132858644,34.619181609097794,model_level_gauge_mean_then_ensemble_median
ssp245,R99p,qdm,7,5,13,-5.947381765620951,-14.192254754338276,18.906115850403538,5.446740775710865,34.399874995741726,-34.22993967463994,68.87678467810642,model_level_gauge_mean_then_ensemble_median
