model,station,method,period,acf1_daily,acf1_occurrence,P_wet_given_wet,P_wet_given_dry,mean_wet_spell,p90_wet_spell,max_wet_spell,mean_dry_spell,p90_dry_spell,max_dry_spell,n_wet_spells,n_dry_spells,rx1_over_rx5,acf1_daily_obs,acf1_occurrence_obs,P_wet_given_wet_obs,P_wet_given_dry_obs,mean_wet_spell_obs,p90_wet_spell_obs,max_wet_spell_obs,mean_dry_spell_obs,p90_dry_spell_obs,max_dry_spell_obs,n_wet_spells_obs,n_dry_spells_obs,rx1_over_rx5_obs,acf1_daily_bias_pct,acf1_occurrence_bias_pct,P_wet_given_wet_bias_pct,P_wet_given_dry_bias_pct,mean_wet_spell_bias_pct,p90_wet_spell_bias_pct,max_wet_spell_bias_pct,mean_dry_spell_bias_pct,p90_dry_spell_bias_pct,max_dry_spell_bias_pct,n_wet_spells_bias_pct,n_dry_spells_bias_pct,rx1_over_rx5_bias_pct
CanESM5,351001,qm,calibration,0.5068081426756471,0.48872974009075,0.5982558139534884,0.1095260738627357,2.489146164978292,5.0,27,9.11849710982659,13.899999999999975,189,691,692,0.3283960274636168,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,113.59152249092698,49.04863395977178,26.776790351434,-23.93887730862784,31.45256679217913,25.0,-12.903225806451612,31.553166091337967,-0.7142857142858767,58.8235294117647,-23.392461197339244,-23.45132743362832,-45.44021315675735
CanESM5,351001,detqm,calibration,0.5068081426756471,0.48872974009075,0.5982558139534884,0.1095260738627357,2.489146164978292,5.0,27,9.11849710982659,13.899999999999975,189,691,692,0.3283960274636168,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,113.59152249092698,49.04863395977178,26.776790351434,-23.93887730862784,31.45256679217913,25.0,-12.903225806451612,31.553166091337967,-0.7142857142858767,58.8235294117647,-23.392461197339244,-23.45132743362832,-45.44021315675735
CanESM5,351001,qdm,calibration,0.506807745114105,0.48872974009075,0.5982558139534884,0.1095260738627357,2.489146164978292,5.0,27,9.11849710982659,13.899999999999975,189,691,692,0.3283960274636168,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,113.59135494078735,49.04863395977178,26.776790351434,-23.93887730862784,31.45256679217913,25.0,-12.903225806451612,31.553166091337967,-0.7142857142858767,58.8235294117647,-23.392461197339244,-23.45132743362832,-45.44021315675735
CanESM5,351001,raw,validation,0.5825784630177184,0.4644817959571793,0.7718949044585988,0.3074450990894483,4.378048780487805,10.0,31,3.2526132404181185,7.0,34,574,574,0.4159768054018998,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,135.66076656043194,38.669933611064586,58.49153571055656,102.172069051038,124.58254223260796,150.0,82.3529411764706,-50.4556102095436,-46.15384615384615,-73.4375,11.673151750972762,11.45631067961165,12.237901038892105
CanESM5,351001,qm,validation,0.4840313815967873,0.4256391374634249,0.5261096605744126,0.1004705231109881,2.1101928374655645,4.0,9,9.928571428571429,15.0,196,363,364,0.4606653295349838,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,95.7971563788046,27.07355045571109,8.024975388434711,-33.93183499705452,8.247417011706606,0.0,-47.05882352941177,51.23378543964171,15.384615384615383,53.125,-29.377431906614785,-29.320388349514563,24.295655423483844
CanESM5,351001,detqm,validation,0.4854417460585919,0.4262291709079315,0.5267275097783573,0.1004983388704319,2.112947658402204,4.0,9,9.925824175824175,15.0,196,363,364,0.4747026916248758,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,96.36766763402132,27.249703534884905,8.151837048752864,-33.91354369998837,8.388732177518252,0.0,-47.05882352941177,51.19193879176133,15.384615384615383,53.125,-29.377431906614785,-29.320388349514563,28.083184046792983
CanESM5,351001,qdm,validation,0.4565319028008236,0.4304524662441444,0.528,0.0975475337558556,2.1186440677966103,4.0,9,10.225352112676056,15.600000000000025,196,354,355,0.4924482675732132,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,84.67325004780099,28.51055829601864,8.413114754098368,-35.85395640179146,8.680943198349073,0.0,-47.05882352941177,55.75440218953472,20.00000000000017,53.125,-31.1284046692607,-31.067961165048544,32.87125437019313
CanESM5,351002,raw,calibration,0.5938574962614855,0.4665769820600556,0.7883980181668043,0.3218210361067504,4.725853658536585,11.0,56,3.1052631578947367,6.0,46,1025,1026,0.276829190499479,0.1880292596874344,0.4545518699259099,0.582313681868743,0.1276740237691001,2.3922872340425534,4.0,94,7.742782152230971,14.0,149,752,762,0.6283228612856451,215.8324918412534,2.6454873315350658,35.39060522100423,152.0646147165904,97.54541140742144,175.0,-40.42553191489362,-59.89473684210527,-57.142857142857146,-69.12751677852349,36.3031914893617,34.645669291338585,-55.94156960435214
CanESM5,351002,qm,calibration,0.5157276314264615,0.4917256010580452,0.6105487480021311,0.1188231469440832,2.567715458276334,5.0,32,8.405737704918034,12.0,189,731,732,0.2962853412035161,0.1880292596874344,0.4545518699259099,0.582313681868743,0.1276740237691001,2.3922872340425534,4.0,94,7.742782152230971,14.0,149,752,762,0.6283228612856451,174.2805201082895,8.178105424622816,4.848772579544587,-6.932402194062479,7.333075298710559,25.0,-65.95744680851064,8.562239510975282,-14.285714285714286,26.845637583892614,-2.792553191489361,-3.937007874015748,-52.845048388455766
CanESM5,351002,detqm,calibration,0.5157276314264615,0.4917256010580452,0.6105487480021311,0.1188231469440832,2.567715458276334,5.0,32,8.405737704918034,12.0,189,731,732,0.2962853412035161,0.1880292596874344,0.4545518699259099,0.582313681868743,0.1276740237691001,2.3922872340425534,4.0,94,7.742782152230971,14.0,149,752,762,0.6283228612856451,174.2805201082895,8.178105424622816,4.848772579544587,-6.932402194062479,7.333075298710559,25.0,-65.95744680851064,8.562239510975282,-14.285714285714286,26.845637583892614,-2.792553191489361,-3.937007874015748,-52.845048388455766
