model,station,scenario,window,index,raw_change_pct,method,bc_change_pct,S_mod,S_bc,PE_pct
ACCESS-ESM1-5,351001,ssp585,Near,q95,12.714182549808925,qm,12.756804451907264,1.1271418254980892,1.1275680445190726,0.0378141429358314
ACCESS-ESM1-5,351001,ssp585,Near,q99,9.894020325556411,qm,4.29532278251506,1.0989402032555642,1.0429532278251503,-5.094633471826272
ACCESS-ESM1-5,351001,ssp585,Near,wet_day_pct,8.535485839189976,qm,12.63908851924398,1.0853548583918995,1.1263908851924398,3.7808857152342337
ACCESS-ESM1-5,351002,ssp245,Near,CDD,4.5614035087719325,qm,-2.4227234753550597,1.0456140350877192,0.9757727652464494,-6.679450303611375
ACCESS-ESM1-5,351002,ssp245,Near,CWD,7.450980392156858,qm,16.566866267465066,1.0745098039215686,1.1656686626746506,8.483762402202892
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT,12.829883934453768,qm,9.775833368945207,1.1282988393445377,1.097758333689452,-2.706774534380225
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT_dry,16.119059773871008,qm,24.4181717406755,1.16119059773871,1.244181717406755,7.147071275780313
ACCESS-ESM1-5,351002,ssp245,Near,PRCPTOT_wet,9.918338640585612,qm,2.4371156806787844,1.0991833864058562,1.024371156806788,-6.8061645148851495
ACCESS-ESM1-5,351002,ssp245,Near,R10mm,18.120805369127524,qm,6.584992343032155,1.1812080536912752,1.0658499234303216,-9.766114436864823
ACCESS-ESM1-5,351002,ssp245,Near,R20mm,43.08943089430895,qm,10.447761194029852,1.4308943089430894,1.1044776119402986,-22.81207598371777
ACCESS-ESM1-5,351002,ssp245,Near,R50mm,283.3333333333333,qm,39.00709219858155,3.833333333333333,1.3900709219858156,-63.737280296022206
ACCESS-ESM1-5,351002,ssp245,Near,R95p,182.053444539565,qm,40.29631545395392,2.82053444539565,1.4029631545395391,-50.25896043107041
ACCESS-ESM1-5,351002,ssp245,Near,R99p,205.1010647205924,qm,84.03451514822542,3.051010647205924,1.8403451514822544,-39.68080205922525
ACCESS-ESM1-5,351002,ssp245,Near,Rx1day,76.21981210319007,qm,26.542870207310774,1.7621981210319009,1.2654287020731076,-28.19032735478669
ACCESS-ESM1-5,351002,ssp245,Near,Rx5day,41.82126233872263,qm,14.715286241037688,1.4182126233872263,1.1471528624103768,-19.112773113629224
ACCESS-ESM1-5,351002,ssp245,Near,SDII,11.101190255506154,qm,8.372962510480566,1.1110119025550615,1.0837296251048056,-2.455624227563467
ACCESS-ESM1-5,351002,ssp245,Near,q50,1.836909663941652,qm,1.0516802918223302,1.0183690966394163,1.0105168029182232,-0.7710655937130889
ACCESS-ESM1-5,351002,ssp245,Near,q90,4.855592823305915,qm,8.855189352131388,1.0485559282330592,1.088551893521314,3.8143855002233975
ACCESS-ESM1-5,351002,ssp245,Near,q95,13.149502788202616,qm,15.791108536792027,1.1314950278820262,1.1579110853679202,2.334615427815055
